Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1--1A1_R1_001	62.28861408995539	40.0	150.0	150	27.27272727272727	18744257.0
1--1A1_R2_001	64.60477879670364	41.0	150.0	150	27.27272727272727	18744257.0
10--1B2_R1_001	70.88762078292214	40.0	150.0	150	27.27272727272727	21439633.0
10--1B2_R2_001	72.47898606843626	41.0	150.0	150	36.36363636363637	21439633.0
102--2F1_R1_001	83.1419782464337	41.0	150.0	150	27.27272727272727	29862365.0
102--2F1_R2_001	85.03218588035706	42.0	150.0	150	27.27272727272727	29862365.0
103--2G1_R1_001	64.88343921164565	42.0	150.0	150	27.27272727272727	18065709.0
103--2G1_R2_001	67.01285458095111	43.0	150.0	150	27.27272727272727	18065709.0
106--2B2_R1_001	71.26835478745664	41.0	150.0	150	27.27272727272727	22189559.0
106--2B2_R2_001	72.98741527132256	42.0	150.0	150	27.27272727272727	22189559.0
107--2C2_R1_001	61.21074014851695	41.0	150.0	150	27.27272727272727	18122797.0
107--2C2_R2_001	63.245965940297566	42.0	150.0	150	27.27272727272727	18122797.0
108--2D2_R1_001	82.26560803935396	42.0	150.0	150	45.45454545454545	23636244.0
108--2D2_R2_001	83.77541330061983	43.0	150.0	150	45.45454545454545	23636244.0
109--2E2_R1_001	83.92255427748482	46.0	150.0	150	54.54545454545454	17143803.0
109--2E2_R2_001	85.21937817744296	47.0	150.0	150	45.45454545454545	17143803.0
114--2B3_R1_001	57.00714117964918	41.0	150.0	150	27.27272727272727	19731073.0
114--2B3_R2_001	59.168086803478744	43.0	150.0	150	36.36363636363637	19731073.0
2--1B1_R1_001	63.77391053789028	40.0	150.0	150	27.27272727272727	21126403.0
2--1B1_R2_001	65.2628726152789	42.0	150.0	150	45.45454545454545	21126403.0
20--1D3_R1_001	69.1303662551236	41.0	150.0	150	27.27272727272727	16205661.0
20--1D3_R2_001	70.27726785305589	42.0	150.0	150	27.27272727272727	16205661.0
21--1E3_R1_001	63.67451325563204	41.0	150.0	150	27.27272727272727	18708170.0
21--1E3_R2_001	65.99931219439067	42.0	150.0	150	27.27272727272727	18708170.0
27--1C4_R1_001	63.21958810634111	41.0	150.0	150	27.27272727272727	20718611.0
27--1C4_R2_001	65.00955146526772	42.0	150.0	150	27.27272727272727	20718611.0
28--1D4_R1_001	77.69119103578376	40.0	150.0	150	27.27272727272727	24083123.0
28--1D4_R2_001	78.99885260978928	41.0	150.0	150	27.27272727272727	24083123.0
30--1F4_R1_001	59.94694182759066	40.0	150.0	150	27.27272727272727	18013332.0
30--1F4_R2_001	62.46118427069919	42.0	150.0	150	27.27272727272727	18013332.0
34--1B5_R1_001	59.49928308723519	40.0	150.0	150	27.27272727272727	21933878.0
34--1B5_R2_001	61.54368004422813	42.0	150.0	150	27.27272727272727	21933878.0
37--1E5_R1_001	65.00563757964457	40.0	150.0	150	27.27272727272727	18286924.0
37--1E5_R2_001	66.66318959344156	42.0	150.0	150	27.27272727272727	18286924.0
39--1G5_R1_001	55.39233048975546	40.0	150.0	150	27.27272727272727	22837224.0
39--1G5_R2_001	57.933081921115566	41.0	150.0	150	27.27272727272727	22837224.0
44--1D6_R1_001	63.00289530509258	39.0	150.0	150	27.27272727272727	19196958.0
44--1D6_R2_001	64.81230989284862	41.0	150.0	150	27.27272727272727	19196958.0
5--1E1_R1_001	69.05542308623731	40.0	150.0	150	27.27272727272727	21638869.0
5--1E1_R2_001	70.80171081693396	41.0	150.0	150	27.27272727272727	21638869.0
56--1H7_R1_001	58.763716016301444	40.0	150.0	150	27.27272727272727	17472334.0
56--1H7_R2_001	60.9959121127608	41.0	150.0	150	27.27272727272727	17472334.0
57--1A8_R1_001	60.562127080341014	41.0	150.0	150	27.27272727272727	17551947.0
57--1A8_R2_001	62.551622440163854	42.0	150.0	150	27.27272727272727	17551947.0
60--1D8_R1_001	68.3080635041716	40.0	150.0	150	27.27272727272727	17030248.0
60--1D8_R2_001	69.56494217483393	42.0	150.0	150	27.27272727272727	17030248.0
62--1F8_R1_001	83.08816170864888	40.0	150.0	150	36.36363636363637	23461507.0
62--1F8_R2_001	84.53088138876157	41.0	150.0	150	36.36363636363637	23461507.0
64--1H8_R1_001	64.46189119197751	41.0	150.0	150	27.27272727272727	18737436.0
64--1H8_R2_001	66.64450152280067	42.0	150.0	150	27.27272727272727	18737436.0
65--1A9_R1_001	67.41513697034898	40.0	150.0	150	27.27272727272727	22124715.0
65--1A9_R2_001	69.24452921448967	41.0	150.0	150	27.27272727272727	22124715.0
66--1B9_R1_001	81.40072858099643	41.0	150.0	150	27.27272727272727	24292038.0
66--1B9_R2_001	82.79487983916417	42.0	150.0	150	27.27272727272727	24292038.0
68--1D9_R1_001	84.32071768839262	42.0	150.0	150	36.36363636363637	22944943.0
68--1D9_R2_001	86.28176833929032	43.0	150.0	150	36.36363636363637	22944943.0
69--1E9_R1_001	73.75131852528276	40.0	150.0	150	27.27272727272727	22505884.0
69--1E9_R2_001	75.11342426240603	42.0	150.0	150	27.27272727272727	22505884.0
73--1A10_R1_001	77.02921842841359	40.0	150.0	150	27.27272727272727	21764231.0
73--1A10_R2_001	78.35093421878919	41.0	150.0	150	27.27272727272727	21764231.0
74--1B10_R1_001	65.53254352171075	40.0	150.0	150	27.27272727272727	21512364.0
