Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
10--1E7_R1_001	22754436.0	7734364.0	32.0	1027504.0	4639879.0	20559647.0	8766190.0	57.96571595101667	0.6	0.6	12.5	8768.0	10051.0	11357301.0	11378284.0	1069194000.0	39254990.0	179119232.0	720185149.0	143662589.0
1A10_R1_001	23532381.0	8402385.0	37.0	1039923.0	4517027.0	18384855.0	9533909.0	56.74736653630722	0.6	0.6	10.8	6941.0	7868.0	11749229.0	11768306.0	1105371048.0	41468675.0	185485112.0	743822820.0	152121311.0
1A12_R1_001	25470332.0	8630240.0	28.0	1104276.0	4851730.0	18373897.0	7992916.0	60.508960435875494	0.5	0.6	9.9	9096.0	10384.0	12702946.0	12747878.0	1193059368.0	42093488.0	201492791.0	800730638.0	166506036.0
1A1_R1_001	23407118.0	7749689.0	20.0	1048194.0	4622092.0	19378013.0	8116478.0	59.60061145890903	0.6	0.6	11.3	8732.0	9794.0	11691055.0	11697517.0	1090545276.0	39273285.0	183290901.0	729525584.0	152680492.0
1A3_R1_001	26231513.0	9954354.0	9.0	1148180.0	4859707.0	17256076.0	10859202.0	55.758262359015774	0.5	0.6	8.7	11330.0	12226.0	13084162.0	13123786.0	1229755880.0	47045069.0	210175704.0	814869280.0	181446933.0
1A5_R1_001	24604547.0	9143208.0	33.0	1023534.0	4565962.0	19148877.0	8334999.0	58.467055174193206	0.5	0.6	10.6	8292.0	9225.0	12282079.0	12304918.0	1148661452.0	42082754.0	193312143.0	769490505.0	161120431.0
1A6_R1_001	22027508.0	7552272.0	17.0	914311.0	3904810.0	15596219.0	7088456.0	60.07245071729111	0.5	0.6	9.6	7447.0	7677.0	10988607.0	11023760.0	1031924700.0	36668236.0	174707897.0	689193356.0	147608107.0
1A8_R1_001	26802491.0	14024618.0	20.0	2453880.0	10221462.0	14076389.0	12226921.0	50.519236710199024	1.2	1.4	6.9	34095.0	36922.0	13350755.0	13380699.0	1159786591.0	53054030.0	199035220.0	744047942.0	189951698.0
1B10_R1_001	31249963.0	13305749.0	19.0	1704853.0	7638692.0	21019165.0	12327260.0	54.93728949324237	0.7	0.8	8.7	28386.0	30789.0	15601308.0	15589461.0	1416456232.0	56882972.0	244008926.0	922350188.0	219734408.0
1B1_R1_001	23809599.0	8109317.0	13.0	1131117.0	5000933.0	20659191.0	8377917.0	59.08553409147562	0.6	0.7	12.0	11426.0	12813.0	11885469.0	11899878.0	1107869303.0	40296833.0	186290708.0	742782443.0	152004911.0
1B2_R1_001	29242095.0	9865303.0	17.0	1214614.0	5378203.0	20863973.0	11670156.0	57.588624690350386	0.5	0.6	9.9	8798.0	10479.0	14584710.0	14638091.0	1370236864.0	50777554.0	229382303.0	922852071.0	190545700.0
1B4_R1_001	28595565.0	9200188.0	13.0	1572344.0	6738482.0	24996452.0	7448011.0	63.20332897147991	0.7	0.8	11.8	20820.0	22267.0	14268037.0	14284428.0	1325257400.0	45243764.0	225951166.0	879471473.0	186527483.0
1B5_R1_001	24596516.0	7263972.0	13.0	1281067.0	5494552.0	22955170.0	9108239.0	60.0372962528223	0.7	0.7	13.0	13199.0	13962.0	12269676.0	12299666.0	1153032351.0	40968727.0	193985887.0	775594967.0	153720708.0
1C6_R1_001	21295297.0	8655950.0	8.0	1091296.0	4700373.0	15511207.0	6989971.0	57.64643981148645	0.6	0.7	9.5	13301.0	14706.0	10653289.0	10613993.0	1002076741.0	36941218.0	171632041.0	662105018.0	147036806.0
1C8_R1_001	26282922.0	8922154.0	19.0	1138033.0	4924123.0	19513766.0	8891812.0	59.6026685601941	0.5	0.6	10.1	10036.0	10813.0	13110170.0	13151884.0	1223414547.0	44096888.0	206701042.0	818101034.0	173036549.0
1C9_R1_001	24738643.0	7462401.0	21.0	1096688.0	4847484.0	22039888.0	8459393.0	60.84204899224276	0.6	0.6	12.2	8299.0	9619.0	12348875.0	12371829.0	1168121845.0	40660437.0	197622279.0	783655240.0	158860266.0
1D3_R1_001	24271501.0	8671340.0	14.0	1150793.0	5222062.0	20338643.0	6392929.0	61.70338345988905	0.6	0.7	11.5	13666.0	15130.0	12117099.0	12125592.0	1128586248.0	39335770.0	190752550.0	754299596.0	156822604.0
1D7_R1_001	22128993.0	7643899.0	13.0	1001415.0	4387722.0	16311713.0	6952323.0	60.25558461672723	0.6	0.6	10.1	9344.0	10112.0	11039652.0	11069872.0	1036838700.0	36725215.0	175695574.0	693477891.0	145964385.0
1D8_R1_001	23087653.0	7879281.0	14.0	978780.0	4238169.0	18261701.0	9126587.0	57.58449850288778	0.5	0.6	11.0	7361.0	8094.0	11527881.0	11544303.0	1077629142.0	40093521.0	181486250.0	724684972.0	147979270.0
1D9_R1_001	24084305.0	10584542.0	14.0	1051651.0	4632046.0	15188940.0	10792580.0	52.977450531854174	0.6	0.6	8.2	13361.0	14745.0	12025559.0	12030626.0	1107129178.0	45461427.0	189412628.0	725690822.0	171153091.0
1F1_R1_001	29094285.0	9693261.0	11.0	1597052.0	7072643.0	26202699.0	7991705.0	62.19485002015103	0.7	0.8	12.4	23907.0	25641.0	14525605.0	14519121.0	1313622725.0	46779251.0	226550642.0	867748077.0	184451612.0
1F5_R1_001	27090925.0	9195870.0	10.0	1204810.0	5144210.0	19325986.0	9551796.0	59.100693125580584	0.6	0.6	9.7	11107.0	11776.0	13513089.0	13554943.0	1264899178.0	45838591.0	214077513.0	845065354.0	180081305.0
