Sample	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
10--1E7_R1_001	22754436.0	57.96571595101667
1A10_R1_001	23532381.0	56.74736653630722
1A12_R1_001	25470332.0	60.508960435875494
1A1_R1_001	23407118.0	59.60061145890903
1A3_R1_001	26231513.0	55.758262359015774
1A5_R1_001	24604547.0	58.467055174193206
1A6_R1_001	22027508.0	60.07245071729111
1A8_R1_001	26802491.0	50.519236710199024
1B10_R1_001	31249963.0	54.93728949324237
1B1_R1_001	23809599.0	59.08553409147562
1B2_R1_001	29242095.0	57.588624690350386
1B4_R1_001	28595565.0	63.20332897147991
1B5_R1_001	24596516.0	60.0372962528223
1C6_R1_001	21295297.0	57.64643981148645
1C8_R1_001	26282922.0	59.6026685601941
1C9_R1_001	24738643.0	60.84204899224276
1D3_R1_001	24271501.0	61.70338345988905
1D7_R1_001	22128993.0	60.25558461672723
1D8_R1_001	23087653.0	57.58449850288778
1D9_R1_001	24084305.0	52.977450531854174
1F1_R1_001	29094285.0	62.19485002015103
1F5_R1_001	27090925.0	59.100693125580584
1F7_R1_001	22183594.0	61.829869870046196
1F9_R1_001	22913675.0	60.45998261005442
1G4_R1_001	742410.0	2.1521223919636934
1G5_R1_001	21757242.0	50.98324847389387
1H11_R1_001	19937438.0	52.507771042599124
1H2_R1_001	23605198.0	53.41473424655885
1H3_R1_001	24126112.0	61.49562549842615
1H5_R1_001	21954966.0	53.68355720344593
1H6_R1_001	21131314.0	54.33164850560619
1H9_R1_001	24067987.0	58.2850324643544
2A3_R1_001	19848121.0	58.69858795977693
2C2_R1_001	23778303.0	55.9261066974105
2D1_R1_001	23193848.0	60.795208318529134
2D2_R1_001	17677818.0	58.84746528694493
2G2_R1_001	26451900.0	60.62776237604519
2H3_R1_001	18852699.0	58.7242123921062
39--2E2_R1_001	22802024.0	58.74820289611692
6--1E3_R1_001	28414629.0	58.530515323268574
