X1A1_ACR.173_TP1	X1A10_ACR.145_TP4	X1A12_ACR.237_TP3	X1A2_ACR.244_TP4	X1A8_ACR.186_TP2	X1A9_ACR.244_TP2	X1B1_ACR.225_TP3	X1B10_ACR.150_TP4	X1B2_ACR.173_TP3	X1B5_ACR.229_TP1	X1B9_ACR.265_TP4	X1C10_ACR.173_TP4	X1C4_ACR.139_TP4	X1D10_ACR.265_TP2	X1D3_ACR.225_TP4	X1D4_ACR.237_TP4	X1D6_ACR.229_TP2	X1D8_ACR.237_TP2	X1D9_ACR.229_TP4	X1E1_ACR.265_TP3	X1E3_ACR.150_TP2	X1E5_ACR.139_TP3	X1E9_ACR.237_TP1	X1F11_ACR.173_TP2	X1F4_ACR.150_TP3	X1F8_ACR.145_TP3	X1G5_ACR.244_TP3	X1H11_ACR.225_TP1	X1H12_ACR.186_TP3	X1H6_ACR.225_TP2	X1H7_ACR.229_TP3	X1H8_ACR.186_TP4	X2B2_ACR.145_TP1	X2B3_ACR.139_TP2	X2C1_ACR.244_TP1	X2C2_ACR.139_TP1	X2D2_ACR.150_TP1	X2E2_ACR.186_TP1	X2F1_ACR.265_TP1	X2G1_ACR.145_TP2
Cluster_74	5.22943255489488	4.43627705673085	3.34031614673917	3.8286200415383	2.13537069239975	4.19150514047873	5.35283330294695	2.88291244375033	4.12538045712172	5.30206901754415	4.41292609824499	4.05220002253615	3.39093426151313	3.64881591806563	7.19529293845992	4.34509092318255	4.58609979319725	3.83464280700755	4.82373303772592	3.21006366772669	3.61968521236998	3.68416794056761	3.50114911426483	4.41944110890709	3.6270093926973	3.48655185022655	4.13754742561149	5.82073135593359	4.35494169482955	5.61870105713098	4.14422976999939	4.23152785084462	3.98853463914009	4.23709133236465	4.67211906092541	4.10380333994019	3.45016088380478	4.75353289562397	3.8206852514793	3.37607841442587
Cluster_232	4.23692409145928	2.13537069239975	3.34031614673917	4.159987388013	3.75782264876245	5.41722270454924	2.13537069239975	2.13537069239975	4.41397624784429	2.60974881318179	2.13537069239975	3.82243641295304	5.94532100779185	2.72977872404254	2.13537069239975	3.36770729871757	2.61298041316887	3.93903301197444	2.72676890291526	2.13537069239975	2.13537069239975	6.0039389474224	2.837109451533	4.75440099669798	3.21253572317607	2.13537069239975	4.42280054806094	2.13537069239975	3.0443969215829	2.13537069239975	3.19870175452177	3.13720963717804	2.75768434130143	6.11450338517243	4.05848799651584	6.66705940272973	3.72094699536313	3.17100737979874	2.13537069239975	3.25156031950134
Cluster_238	4.23692409145928	2.13537069239975	3.66403579210257	4.21693427941603	3.62824854729072	5.52647382065402	2.13537069239975	3.18135995133725	4.4976198830915	2.60974881318179	2.13537069239975	3.82243641295304	5.98641284257125	2.13537069239975	2.62312285535991	3.46023696304395	2.61298041316887	4.03520900546128	2.72676890291526	2.13537069239975	2.13537069239975	5.87227120015547	2.837109451533	4.51131398759479	3.21253572317607	2.13537069239975	4.45892551273173	2.13537069239975	3.0443969215829	2.13537069239975	3.00991083181454	3.35089716715568	2.13537069239975	6.09419100318889	4.11331839654799	6.65409262039913	3.72094699536313	3.17100737979874	2.13537069239975	3.37607841442587
Cluster_938	2.82009570116592	3.37335491378701	3.34031614673917	2.69850765262869	6.13311659633305	4.58938351995414	2.13537069239975	2.13537069239975	2.88751756830289	3.97327681119523	2.13537069239975	3.53692358835164	3.03674069864751	4.47853256360776	3.80723994046692	3.26571487225743	6.01918738406263	3.93903301197444	2.96607878150592	3.21006366772669	6.58707918370727	2.13537069239975	3.32853826552847	3.47280967597558	3.85906077900098	3.48655185022655	3.49093428596901	3.21925268438921	3.0443969215829	4.38012328869124	3.48918648212356	4.47593526357266	3.0088897161299	3.77007810677145	3.18062850183698	3.15102020208506	2.8096005553845	3.57158703986077	3.14399672666733	4.53317582654102
Cluster_967	4.92293029402467	5.01161615757243	4.59846991624228	4.32381656148641	5.25131982813684	4.4820347407437	3.85040694173976	4.31311333795253	4.22887687064043	5.1523928411825	4.7798176645219	4.93408099755743	4.33869133768635	4.71174691959503	5.31230561404715	4.11446945445901	4.7825512808896	4.62042899920409	4.121940075919	4.6955391128566	5.05137653903891	4.92733373649861	4.00599238297661	4.96070974171063	3.85906077900098	4.61923962949987	4.83038887960887	5.09634029988565	4.48188983768554	4.62478084063024	3.81489321236481	5.20677615565858	5.31657166610488	4.89950183143952	4.48400797446827	4.73703966280873	3.59384697202801	4.87757355581493	4.24413659346688	4.48775551772517
Cluster_1810	5.51333403384576	4.65617360554419	4.89657966302859	4.10038436719902	6.04564927463232	6.34385041314168	4.27935813786345	5.26455251147496	4.41397624784429	5.70137221433565	4.30298648377777	4.05220002253615	4.46501156236177	5.97597225193131	4.90412626871508	4.64634810839469	5.62095588682341	5.93511247228287	4.56648450994121	4.16359573800606	5.79150507221951	4.62717098294889	5.20504672853777	6.32496121196108	5.13635503548287	5.29923521354413	4.56178178747599	5.20355287130764	4.05665091855591	5.61870105713098	5.12371112540426	4.80439594154795	4.93414371884495	5.79992697537257	4.63653460752004	4.76204308550265	4.03604806456793	4.75353289562397	4.41270127997127	5.39865797474524
Cluster_1829	4.15264226058692	5.16010540356742	5.46163247372147	5.63673782065134	5.25131982813684	6.40195374873608	3.1630257361287	4.31311333795253	4.01269449305261	5.11233536970457	4.6087901272828	3.82243641295304	5.19393727400327	5.74990423500471	2.82194884964435	5.5711638616545	5.3530340668925	5.71001771261489	4.7011727143686	5.58355678898134	5.63954529354203	4.92733373649861	4.70424748292339	3.66320707933857	5.23935718783259	5.22018289526518	5.30724760300515	2.91058353899252	5.28310748626352	2.89145886107591	5.12371112540426	4.8615607585641	5.25436506055257	5.19853122440932	4.52379244298388	4.78659801229015	4.8396226239554	4.46536312400883	4.24413659346688	6.02562600640047
Cluster_1888	4.6532095176475	4.01714501955353	4.78500151184581	3.47490423046508	6.34928519968711	5.57809284789285	3.97223245609504	3.18135995133725	4.32469341583309	4.57247064644451	3.53557683764254	3.53692358835164	3.03674069864751	4.25731416459485	3.96962157481449	3.36770729871757	5.18749234617843	4.73384271862272	3.29499585692128	3.78313682267937	5.01340136181098	3.68416794056761	3.64955836463073	6.34914820880244	4.22141263692003	3.48655185022655	4.74659677262893	3.6359530428374	4.21441099062644	4.73225185976567	4.97620403498421	4.61700913292461	3.71461547330992	3.58525289702575	3.81109545011044	2.92841400539033	3.08058032318314	3.86284509394271	3.8206852514793	5.19328091127913
Cluster_2304	5.97576005686203	3.83953681773893	4.59846991624228	4.27147309725284	3.31121950809172	3.25351269936351	5.65118890589359	4.77513555948251	6.26562898137615	3.27290048036273	4.51443498812664	5.46645504165075	5.85940968342334	4.37255975275992	3.80723994046692	4.61218634134626	4.31965411388054	3.83464280700755	3.42380848787343	6.5756250700549	4.76067764177164	6.69029107174252	4.10486529475581	5.69088878806213	5.96220175718749	5.37408162302669	3.99276720214076	3.93766816067951	4.48188983768554	3.89714176223494	4.40544853271686	3.52632151327003	4.21248504073119	4.87546133560981	3.04535942288812	4.48851308374408	5.62753248039266	4.61710942569414	3.8206852514793	5.19328091127913
Cluster_2329	4.31604931731681	4.17251028529191	8.95365670078809	5.82222532224706	6.04564927463232	6.3138916188169	9.26586791629831	6.64770943329599	4.22887687064043	4.76824987002628	4.6087901272828	4.05220002253615	3.03674069864751	5.50547495638204	10.3832128332637	8.89437460254521	5.38731945207444	9.47889565796263	5.10559693236476	4.62032554963955	5.41259076647082	3.68416794056761	6.49510113619749	4.51131398759479	8.36356052246015	4.48735336921642	6.10877554205196	9.78239636897667	5.21376949059516	11.0611013099862	5.54400271561269	5.55355383153277	4.62101867211092	4.38451401591545	5.33003551044325	4.14389879832729	8.92072858070081	4.87757355581493	3.8206852514793	8.84524638563612
