,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_1,13.0128334536251,0.563684987019175,0.434135017519145,0,1,1
Cluster_2,55.8529120904793,1.0547295233548,0.46768160096877,0.117023041405584,0.906841794526972,1
Cluster_3,13.552961654198,0.215182347191373,0.389222935420856,0,1,1
Cluster_4,57.1717948389095,1.14427767631913,0.421685541775307,0.342145181719333,0.732241636885806,1
Cluster_5,13.4828469764265,0.692705026378176,0.650846790391426,0,1,1
Cluster_6,35.7885714317062,-1.22088932848243,0.659462602092439,-0.334953533045781,0.737660138661157,1
Cluster_7,59.5891419251106,1.16213842472175,0.434448660150655,0.373205028795631,0.708995853692546,1
Cluster_8,13.7558690567269,0.02571723179398,0.464194314377094,0,1,1
Cluster_9,67.7961755790536,0.509719116254104,0.437443064498373,0,1,1
Cluster_10,14.1387789669923,-0.17779989755598,0.454472143940141,0,1,1
Cluster_11,65.8485778328804,0.861762922434917,0.406606273023828,0,1,1
Cluster_12,13.8152117171747,0.697886354901645,0.439176552115271,0,1,1
Cluster_13,59.2095642216824,1.21539655122025,0.452791029573771,0.475708521485098,0.634282049153712,1
Cluster_14,13.4395532633038,1.13200215407524,0.549732439919667,0.240120728721289,0.810236665043956,1
Cluster_15,58.3605701370835,0.340164804775247,0.370539435148803,0,1,1
Cluster_16,13.5226578180183,0.0560259018022338,0.467244229975067,0,1,1
Cluster_17,58.3573753848236,0.339496394748351,0.371261778629176,0,1,1
Cluster_18,13.9791919433336,0.12784366312219,0.368152222321889,0,1,1
Cluster_19,66.3782482035391,0.802914822821637,0.42563167488249,0,1,1
Cluster_20,12.3664045981413,0.934763833911798,0.436919735095563,0,1,1
Cluster_21,10.8773363554873,0.79876874587617,0.50079271428179,0,1,1
Cluster_22,49.3958368384455,-1.75262759299129,0.843311970530158,-0.892466393567421,0.372142998003266,1
Cluster_23,18.1672935375723,0.035316079242117,0.53448393211463,0,1,1
Cluster_24,14.0824163968586,1.1255683519203,0.660650626310575,0.190067710404722,0.849256072189985,1
Cluster_25,13.3797778711566,0.656699050828041,0.704174168985251,0,1,1
Cluster_26,110.586803812192,1.20181255733109,0.45985896144718,0.438857506866861,0.66076478839296,1
Cluster_27,19.1369542930629,-0.405696310492742,0.327586258754995,0,1,1
Cluster_28,52.3565854193178,0.708298174094346,0.301288204830378,0,1,1
Cluster_29,65.1745719599963,0.492735529623788,0.400698973639626,0,1,1
Cluster_30,1926.97760781007,0.652572342443695,0.224294088239661,0,1,1
Cluster_31,29.5616577658882,0.365164253045181,0.785090396015142,0,1,1
Cluster_32,14.6927920081479,0.426440308710251,0.798145856856608,0,1,1
Cluster_33,15.168277305169,0.143751835820421,1.14267696541669,0,1,1
Cluster_34,14.4495854345816,1.02805040883544,1.15573161443456,0.0242706944113191,0.980636688714586,1
Cluster_35,121.133260787542,0.383038319498377,0.61906489321715,0,1,1
Cluster_36,42.9340661830323,-0.271471855885703,0.529586169038452,0,1,1
Cluster_37,98.096789974519,0.589947872258146,0.781318697907206,0,1,1
Cluster_38,57.9318224739186,0.284929399251176,0.748001927103548,0,1,1
Cluster_39,9.44211749446901,-0.40927614258042,1.29697099535937,0,1,1
Cluster_40,96.1315606623151,-0.290195244433315,2.57104522518487,0,1,1
Cluster_41,54.9196351259043,0.732176266812238,0.943455398796624,0,1,1
Cluster_42,55.8225042189342,-2.24850228594324,0.441258785011658,-2.82941060518547,0.00466338260213907,0.497559211533313
Cluster_43,278.530779053492,0.551008720106761,0.439983746729416,0,1,1
Cluster_44,13.8679449288479,0.102755939329408,0.546151447472521,0,1,1
Cluster_45,40.0543765868966,1.19726163157739,0.645993756325829,0.305361514172115,0.760090830066963,1
Cluster_46,22.8158462010437,0.614059057391492,0.426612532154136,0,1,1
Cluster_47,15.4424059049513,0.805616377408465,0.564064533057804,0,1,1
Cluster_48,14.5461072284871,-1.96880603242135,0.760868909072441,-1.27328902636119,0.202915499283068,1
