,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lncRNA_001,3.59438500888114,-1.49425376245634,1.09393824456513,-0.451811393295619,0.651404861223334,1
lncRNA_002,0.991661831091778,0.649180856977324,2.03220957604878,0,1,1
lncRNA_004,0.0180499194423207,-0.0456057776519716,4.18129092167749,0,1,1
lncRNA_005,14.852462909801,-1.83017810671463,1.2567143205336,-0.660594132771668,0.508872632706727,1
lncRNA_006,15.6279387068528,-1.43614242336125,0.793632806400837,-0.549551908443878,0.58262675193292,1
lncRNA_007,4.8330640481365,0.698875773836328,1.23620779032473,0,1,1
lncRNA_009,0.0236702416453233,-0.0456057776519718,4.18129092167749,0,1,1
lncRNA_010,0.0438427457377868,0,4.18129092167749,0,1,1
lncRNA_012,2.47483929768632,-0.681733006888294,4.15581279247116,0,1,1
lncRNA_013,0.139834440828702,0,4.17684832184718,0,1,1
lncRNA_014,0.145801259019016,-0.0874876558443968,4.1788306278602,0,1,1
lncRNA_015,0.0370855661486881,-0.333794225563453,4.18127828415048,0,1,1
lncRNA_016,1.93953534237837,-2.05735781282277,2.4753085540846,-0.427162024337523,0.669261319258467,1
lncRNA_017,33.7293568467848,-0.926532431247521,1.29446627212221,0,1,1
lncRNA_018,5.0253790856702,-0.285502982230245,1.7167854349533,0,1,1
lncRNA_021,0.188641455014911,-1.21738591576863,4.1735877268427,-0.0520861019334758,0.958460086984568,1
lncRNA_028,25.6450949985667,0.431208082354364,0.808761104080285,0,1,1
lncRNA_029,611.276359933146,0.0833773149754194,0.166756398065274,0,1,1
lncRNA_030,125.141443747843,1.33469656619006,0.501177879005814,0.667819910276168,0.504248555680311,1
lncRNA_031,7.6103523257678,-0.724112858165051,1.50158729295828,0,1,1
lncRNA_032,103.915114647218,-0.167450621356908,0.537738689658429,0,1,1
lncRNA_033,0.100690496706963,-0.0484989212710657,4.18118717268949,0,1,1
lncRNA_034,1135.35545389833,-0.499706652329787,0.327388096683365,0,1,1
lncRNA_035,92.3343271048203,-1.11228797433108,0.428309316913675,-0.262165612320117,0.793193763791364,1
lncRNA_036,54.6340966529305,0.71451642927346,0.420364056221981,0,1,1
lncRNA_037,1367.5280374901,0.316464436668649,0.322750844127965,0,1,1
lncRNA_038,44.845580491954,1.75697532991477,0.759043841861575,0.997274845229322,0.318631120197234,1
lncRNA_039,1.72634337310727,0.785470933560175,1.25741089286068,0,1,1
lncRNA_040,861.981729861008,-0.47180254301724,0.268281900353384,0,1,1
lncRNA_041,213.743558768318,0.323294417703595,0.409065879058533,0,1,1
lncRNA_042,1.40043619121985,-0.195776636925579,1.93661220204733,0,1,1
lncRNA_043,2.27096165676744,-0.823282952293649,1.47100818289422,0,1,1
lncRNA_045,1.43716496100854,0.761904918948245,4.16316546586764,0,1,1
lncRNA_046,2.85632287358552,0.451060121738265,2.28831151499748,0,1,1
lncRNA_048,24.4502717367199,-0.086233309939727,0.563653228082296,0,1,1
lncRNA_049,270.651598245124,-0.256940515414298,0.186089684110792,0,1,1
lncRNA_050,42.8033082422142,0.0145847070334267,0.508539380014261,0,1,1
lncRNA_051,1.62959780775098,-0.262569308411894,1.30295239316977,0,1,1
lncRNA_052,33.2084624333125,0.937472418969467,0.981137637796246,0,1,1
lncRNA_053,1593.58239129363,-0.740016091421195,0.291498758067488,0,1,1
lncRNA_054,2486.83166290285,-0.0762160471000595,0.2379223035787,0,1,1
lncRNA_055,982.053016268248,-0.0441566166266064,0.198122856615221,0,1,1
lncRNA_056,431.645534201508,-0.102605193712143,0.254806125387946,0,1,1
lncRNA_057,1165.87757927759,-0.678442579063408,0.216654707391165,0,1,1
lncRNA_058,1.94765813469493,3.9047727418782,2.51594006305885,1.1545476716749,0.248275705994244,1
lncRNA_059,649.179485189222,-0.333168378050034,0.314771713559349,0,1,1
lncRNA_060,32.4967696277305,0.983293183687753,0.831898781053108,0,1,1
lncRNA_064,0.0775184405972392,-0.0456057776519718,4.18129092167749,0,1,1
lncRNA_073,5.36194026539993,1.69388806044547,0.874890841817031,0.793113868930612,0.427711483177965,1
lncRNA_074,11.3788675901932,0.838480520313134,0.810424937679681,0,1,1
lncRNA_075,942.593593128463,1.12202899511728,0.471141202718743,0.259007266639188,0.795629633799401,1
lncRNA_076,8.33955360373331,-0.633833754868829,1.62119240361364,0,1,1
lncRNA_077,0.599535437320999,-1.43053814360714,4.15403075219993,-0.103643465657814,0.917452292779122,1
lncRNA_078,7.90536204744684,1.40444047143842,0.874851641493568,0.462296065133907,0.643869021011023,1
lncRNA_085,14.1190028222255,0.300413657714624,0.919212872872541,0,1,1
lncRNA_086,508.305497744158,0.808737435097282,0.415093504927811,0,1,1
lncRNA_087,0.252521566317577,-0.180671926076107,4.17414722458049,0,1,1
lncRNA_089,64.7213265737301,0.219389621521373,0.637877999474628,0,1,1
lncRNA_090,5.28525315172853,-0.760431929035574,1.24536001186128,0,1,1
lncRNA_091,8.73571746609578,-1.01349807084821,0.790528788254515,-0.0170747366177685,0.986376993233077,1
lncRNA_092,23.2284129981758,0.200390668453712,0.842725141174671,0,1,1
lncRNA_093,7.72233095276456,-0.381763615830322,1.04270543030398,0,1,1
lncRNA_094,307.741400220698,-0.105960410433623,0.194068589068484,0,1,1
lncRNA_095,3.35707975214385,0.62632342847776,1.55713240094698,0,1,1
lncRNA_096,7.45365247867685,1.55607539753062,0.615934211911875,0.902816220915137,0.366623440689136,1
lncRNA_097,48.8912519282616,1.11227243530693,0.491117101091049,0.228606242905217,0.81917497191855,1
lncRNA_098,302.234085231367,-0.2896934198765,0.157371508623023,0,1,1
lncRNA_102,48.3831158092481,-0.345502010480615,0.746677003706812,0,1,1
lncRNA_103,40.731047153494,0.728133553465893,0.575043684023124,0,1,1
lncRNA_104,14.29627722395,-1.25231071716184,1.03061558578912,-0.244815545816386,0.806599256321551,1
lncRNA_105,20.4896980515856,-0.922282846213443,0.983617253051963,0,1,1
