site	Host_AFDW.mg.cm2	Sym_AFDW.mg.cm2	Am	Rd	Ik	Ic	AQY	cells.mgAFDW	Total_Chl	Ratio_AFDW.mg.cm2	Total_Chl_cell	mean_Temp_mean	mean_solar_rad_kwpm2_mean	cumulative_rainfall_mm_mean	timepoint1	timepoint2	timepoint3	timepoint4
0.7	0.5	0.7	0.02	0.1	0.04	0.7	0.3	0.2	0.9	0.6	0.3	0.02	0.4	0.5	0.9	0.05	0.03	0.8
0.8	0.4	0.9	0.07	0.9	0.6	0.09	0.4	0.7	0.4	0.3	0.5	0.5	0.02	0.03	0.6	1	0.03	0.1
0.9	0.7	0.8	0.03	0.5	0.2	0.5	0.9	0.07	0.7	0.6	0.2	0.1	0.2	0.09	0.2	0.4	0.01	0.8
0.6	0.9	0.2	0.3	0.8	0.2	0.5	0.5	0.07	0.2	0.3	0.4	0.6	0.8	0.9	0.4	0.7	0.6	0.4
0.8	0.5	0.2	0.3	0.4	0.4	0.2	0.8	0.3	0.8	0.4	0.6	0.5	0.7	0.7	0.9	0.6	0.4	0.9
0.1	0.2	0.2	0.04	0.4	0.5	0.7	1	0.2	0.7	0.9	0.3	0.1	0.8	0.8	0.9	0.1	0.2	0.8
0.6	0.04	0.004	0.05	0.3	0.9	0.6	0.5	0.8	0.9	0.5	0.9	0.7	0.6	0.6	0.8	0.6	0.9	0.6
0.6	0.2	0.1	0.4	0.7	1	0.1	0.8	0.5	0.8	0.9	0.8	0.6	0.3	0.2	0.4	0.4	0.6	0.5
0.9	0.6	0.6	0.8	0.7	0.3	0.9	0.4	0.6	0.7	1	0.5	0.8	0.4	0.4	0.8	1	0.4	0.5
0.2	0.8	0.1	0.8	0.9	0.09	0.5	0.04	0.5	0.6	0.1	0.2	0.009	0.7	0.9	0.3	0.01	0.1	0.9
0.7	0.9	0.1	0.8	0.5	0.3	0.9	0.7	0.3	0.9	0.1	0.6	0.05	0.8	0.8	0.8	0.09	0.1	0.7
1	0.7	0.2	0.1	0.3	0.07	0.7	0.5	0.1	0.8	0.05	0.3	0.005	0.3	0.3	0.7	0.02	0.006	0.9
0.8	0.3	0.8	0.01	0.2	0.2	0.2	0.7	0.2	0.8	0.2	0.4	0.07	0.3	0.2	0.4	0.2	0.02	1
0.1	0.3	0.04	0.01	0.05	0.2	0.8	0.6	0.4	0.8	0.4	1	0.5	1	1	1	0.5	0.6	0.9
0.7	0.7	0.5	0.2	0.3	0.04	0.7	0.3	0.1	0.9	0.3	0.3	0.005	0.7	0.9	0.6	0.01	0.07	0.8
0.2	0.5	0.5	0.2	0.3	0.07	0.9	0.6	0.3	1	0.9	0.8	0.2	0.9	1	0.7	0.2	0.4	0.9
0.9	0.2	0.4	0.09	0.9	0.7	0.005	0.2	0.2	0.5	0.4	0.4	0.4	0.4	0.4	0.7	0.3	0.9	0.5
0.7	0.02	0.006	0.06	0.6	0.08	0.4	0.8	0.8	0.5	0.9	1	0.8	0.5	0.6	0.7	0.9	0.6	0.4
0.7	0.4	0.2	0.9	0.9	0.8	0.9	1	0.2	0.2	0.6	0.6	1	0.9	0.5	0.05	0.8	0.5	0.3
0.9	0.1	1	0.5	0.5	0.9	0.4	0.7	0.3	0.3	0.1	0.4	0.9	0.8	0.8	1	0.9	0.9	0.8
0.6	0.2	0.4	0.9	0.3	0.8	0.4	0.8	0.4	0.9	0.9	0.4	0.6	0.7	0.5	0.5	0.8	0.4	1
0.5	0.7	0.7	0.7	1	0.6	1	0.7	0.5	0.3	0.6	0.8	1	0.4	0.6	0.8	0.9	0.7	0.4
0.2	0.7	1	0.3	1	0.6	0.8	0.9	0.2	1	0.9	0.1	0.1	0.8	0.9	0.8	0.2	0.3	1
0.6	0.8	0.9	0.5	0.6	0.7	0.04	0.6	0.3	0.9	0.9	0.08	0.6	0.9	0.7	0.5	0.8	0.5	0.7
0.9	0.08	0.01	0.5	0.4	1	0.9	0.9	0.3	0.4	0.3	0.1	0.1	0.4	0.6	0.8	0.2	0.1	0.7
0.6	0.6	0.4	0.7	0.8	0.2	0.4	0.2	0.7	0.07	0.5	0.1	0.1	0.07	0.2	0.4	0.2	0.04	0.1
0.5	0.4	0.7	0.09	0.06	0.5	0.5	0.9	0.3	0.9	0.7	0.4	0.02	1	0.7	0.3	0.02	0.3	0.9
