"gene_id","protein_match","ACR-139-TP1","ACR-139-TP2","ACR-139-TP3","ACR-139-TP4","ACR-145-TP1","ACR-145-TP2","ACR-145-TP3","ACR-145-TP4","ACR-150-TP1","ACR-150-TP2","ACR-150-TP3","ACR-150-TP4","ACR-173-TP1","ACR-173-TP2","ACR-173-TP3","ACR-173-TP4","ACR-186-TP1","ACR-186-TP2","ACR-186-TP3","ACR-186-TP4","ACR-225-TP1","ACR-225-TP2","ACR-225-TP3","ACR-225-TP4","ACR-229-TP1","ACR-229-TP2","ACR-229-TP3","ACR-229-TP4","ACR-237-TP1","ACR-237-TP2","ACR-237-TP3","ACR-237-TP4","ACR-244-TP1","ACR-244-TP2","ACR-244-TP3","ACR-244-TP4","ACR-265-TP1","ACR-265-TP2","ACR-265-TP3","ACR-265-TP4"
"FUN_000231","Kmt7-Setd7/9-201",1591,2000,949,1842,1094,890,573,1172,916,923,1881,1459,708,1434,1181,682,625,1070,552,1394,889,2004,2041,679,1701,1565,1515,1137,784,1039,1854,1106,783,1764,2197,599,888,1449,1348,1359
"FUN_000374","PRDM7-202",63,121,112,29,60,32,40,36,44,67,162,61,31,75,86,21,50,206,72,77,51,157,114,35,243,132,215,0,36,101,164,64,22,185,185,31,29,117,55,23
"FUN_000535","Mbd4-201",106,187,136,162,118,99,118,196,116,168,366,193,57,56,275,86,0,161,147,110,168,192,276,49,157,384,259,66,125,247,266,118,115,342,228,103,120,557,186,160
"FUN_001019","USP47-207",1553,2067,1290,1498,1044,1035,866,996,827,1144,1985,2263,773,1019,990,567,396,1675,1035,1613,1023,1561,1684,760,2156,1693,1803,897,1461,1130,1713,1346,780,1314,1684,1005,1248,1551,1401,1345
"FUN_001086","PPP1R12A-203",3098,2891,2073,2510,7186,1394,2174,2733,8342,2506,2000,2410,5497,2257,2372,6264,17133,1425,783,2477,4795,1412,2470,5282,2777,1545,2017,22204,7347,1422,2647,6271,4335,2181,2701,5634,18813,1554,1636,8943
"FUN_001141","Kat6b-214",407,694,687,700,451,332,429,575,338,384,490,485,514,328,420,309,195,487,230,793,431,476,833,170,790,412,819,225,463,419,429,532,338,567,955,234,332,546,541,323
"FUN_001172","Prmt3-201",129,123,92,81,95,102,88,57,96,92,108,84,54,105,137,53,90,163,39,79,85,81,158,33,168,108,91,60,60,122,137,95,72,90,157,42,100,110,142,0
"FUN_001196","PPP6C-201",945,1304,1084,1141,466,525,516,363,521,1144,1008,609,425,600,597,413,473,851,431,925,395,488,824,334,892,772,1017,573,687,488,1160,762,420,575,943,291,385,698,616,613
"FUN_001341","UBE2D2-202",1123,1352,1186,1800,1212,817,620,840,1043,1520,1118,1633,843,1028,680,963,1527,1337,470,2200,878,616,1397,793,2237,866,1043,1051,1190,830,1367,1415,891,1076,1479,708,1079,916,901,1439
"FUN_001342","Sirt1-201",424,519,374,486,342,225,219,384,111,362,415,511,235,434,425,159,48,482,188,337,164,430,712,129,396,431,516,47,302,277,470,256,215,450,613,104,243,498,437,246
"FUN_001344","CDK1-203",1012,1277,806,478,479,682,416,251,266,1222,1166,475,304,855,958,399,414,1101,415,585,313,880,1263,200,966,884,1007,217,289,730,1245,489,237,934,1391,191,205,638,569,426
"FUN_001354","Parp5b-Tnks2-201",489,759,333,346,175,298,30,150,128,311,585,368,154,472,279,155,170,385,89,282,139,396,432,92,599,340,462,185,135,352,749,240,118,532,681,110,76,414,357,216
"FUN_001403","WEE1-202",385,408,282,238,374,96,238,393,162,134,215,317,294,298,234,242,116,222,176,263,358,267,299,232,575,194,259,128,392,208,259,413,270,322,369,174,218,271,332,268
"FUN_001425","Kdm3c-Jmjd1c-211",249,263,242,174,616,120,288,214,521,107,212,245,335,209,344,284,745,99,88,108,623,136,188,517,319,165,158,1484,747,144,270,589,807,242,377,881,1545,111,64,706
"FUN_001593","SLK-202",1122,1508,2725,2861,10711,815,3877,4331,11306,963,1660,2893,7898,1124,3736,8454,17711,830,1679,2794,8963,998,2394,8096,4903,1223,1818,34703,13166,1003,1381,11388,9370,1366,2215,15391,31093,1342,2205,13913
"FUN_001664","Setd3-201",232,357,367,487,533,261,219,255,363,424,473,545,412,294,299,410,316,380,181,449,349,216,539,209,746,318,439,564,274,198,395,303,244,360,486,124,219,290,346,507
"FUN_001947","USP8-201",1629,1220,302,748,528,617,222,232,604,971,1009,515,1066,2187,770,989,485,539,101,648,204,805,839,277,634,927,887,404,299,576,1245,452,210,1529,1519,218,472,617,416,771
"FUN_002092","Arh3-Adprs-201",53,77,98,55,31,50,55,25,26,72,85,20,46,47,85,49,0,72,32,25,54,158,111,14,50,85,156,0,42,68,35,43,22,64,136,0,20,133,80,49
"FUN_002429","PRKCD-201",262,314,101,276,104,296,0,84,209,411,466,427,119,389,130,94,138,212,37,512,81,397,320,83,424,195,232,142,179,306,459,166,46,357,385,16,91,303,172,105
"FUN_002454","PIM1-201",155,187,215,239,222,161,143,331,307,267,204,368,184,203,131,149,204,168,97,329,292,158,143,94,466,143,147,64,400,114,322,147,99,115,331,68,218,177,115,156
"FUN_002469","HUWE1-202",1264,1309,1054,1173,986,627,309,465,665,866,1270,1211,612,1433,458,585,338,620,194,1146,582,644,996,420,1246,854,1278,394,630,620,1394,574,366,1276,1803,308,624,605,971,525
"FUN_002813","BAP1-202",106,174,131,154,213,62,160,110,131,149,214,190,165,130,147,112,86,182,90,94,157,81,169,58,232,92,161,125,203,145,185,148,194,130,266,125,148,132,163,147
"FUN_003846","YTHDC1-201",3100,3103,3212,3745,11619,1620,4613,4816,11016,1411,2796,4169,7673,2121,3815,6833,17893,2055,2015,2818,7359,4018,2983,7492,5592,2832,2588,31901,12971,2932,2582,9799,7599,4250,3337,11110,35538,3812,2666,10493
"FUN_004003","Wt1-205",2776,5977,3900,1364,1509,2287,3021,618,511,6117,4446,1226,559,3108,3398,1157,339,4507,1645,698,1564,2191,4716,568,1771,2395,2856,475,675,1670,3174,1890,1050,1114,2536,859,841,6048,4043,1700
"FUN_004054","Hdac3-201",976,1442,1187,834,951,977,1161,1007,636,1688,1865,1452,743,685,1007,497,508,1193,721,811,813,641,1561,655,1401,1035,1136,692,855,938,2096,1073,725,1442,2133,751,891,1192,1291,903
"FUN_004096","Prdm6-201",11,25,7,5,7,0,0,0,22,27,24,32,23,6,30,2,0,42,9,34,41,0,0,2,25,19,14,28,0,2,7,15,14,11,34,0,18,0,48,6
"FUN_004339","Prdm14-201",33,11,28,136,99,18,14,47,55,19,56,37,250,41,52,98,17,29,55,44,29,182,30,24,88,48,72,60,115,65,14,107,67,38,219,14,76,44,149,52
"FUN_004346","PRKAA2-201",576,1088,1167,795,339,446,346,238,336,454,1206,484,304,628,493,268,161,537,378,656,525,463,1365,223,1173,539,1153,268,371,711,1307,608,348,834,1364,212,213,609,788,429
"FUN_004436","Kdm4b-201",435,621,306,529,210,228,166,282,281,510,608,466,199,374,224,119,204,349,136,522,293,334,487,186,611,413,533,189,252,308,451,218,144,480,571,58,218,502,336,201
"FUN_004447","USP24-201",1187,1194,510,485,282,535,186,269,262,772,972,583,277,1056,289,213,128,721,152,554,215,673,577,141,707,627,762,142,284,560,1012,239,152,940,1341,155,167,646,451,245
"FUN_004470","Jmjd7-201",26,45,85,66,64,11,72,21,48,15,66,112,69,21,41,95,39,12,28,47,139,10,87,54,86,48,85,78,87,44,52,52,94,25,34,53,131,78,13,67
"FUN_004511","JAK2-201",688,877,466,767,466,369,248,425,280,658,827,793,258,677,553,259,329,527,332,844,289,525,1182,281,832,745,950,349,383,492,820,319,268,668,1202,279,153,817,688,427
"FUN_004512","Kat14-201",745,1293,1034,522,526,881,672,449,489,1123,1069,572,352,1002,591,282,366,1409,577,587,417,756,1273,448,888,1601,1316,378,487,591,1600,613,260,1049,1369,431,484,877,792,528
"FUN_004643","Zbtb38-201",33,82,64,56,69,42,76,86,13,33,110,84,16,45,54,39,8,75,47,62,47,40,145,16,40,90,97,0,83,26,43,41,51,95,107,34,48,153,65,47
"FUN_004748","UBA6-201",548,401,468,495,341,291,204,244,271,335,527,785,281,362,284,243,238,358,264,526,258,496,551,233,527,426,521,151,323,301,454,363,256,400,586,234,263,546,370,283
"FUN_004860","Parp16-201",232,488,384,266,225,216,385,413,248,759,497,236,104,161,177,146,367,805,286,444,197,497,503,162,315,714,540,184,201,317,333,243,212,574,673,213,256,416,317,260
"FUN_004918","OTUD7B-202",149,203,185,286,270,81,97,78,184,78,255,415,155,121,137,103,56,102,133,226,288,49,326,127,318,146,330,117,266,103,178,226,160,217,267,112,223,139,159,204
"FUN_005063","YTHDC2-201",456,485,336,357,537,310,169,311,362,366,720,683,370,822,503,205,434,451,208,493,250,458,419,174,763,483,495,257,495,415,577,400,395,511,564,301,338,336,421,362
"FUN_005113","Kat13A-Ncoa1-201",1290,2019,1123,1112,665,1171,337,379,707,1451,1344,1161,602,1429,713,716,697,1412,291,1089,546,750,1543,369,1265,891,1095,570,705,758,1545,540,540,1291,2123,437,381,869,846,644
"FUN_005114","USP3-202",325,426,296,315,232,223,66,142,162,249,449,230,122,208,213,167,170,444,198,277,278,267,456,159,397,352,356,144,164,239,361,326,235,443,588,127,138,495,319,124
"FUN_005133","MAP2K1-201",1021,1658,882,569,403,1069,371,235,538,1422,1526,813,499,963,435,335,709,1521,452,616,340,714,1277,313,774,1117,1116,419,438,646,1720,522,241,770,1358,267,285,711,728,532
"FUN_005808","USP4-201",1534,1570,1515,1251,1117,636,711,820,412,1101,1316,1575,664,1061,1148,622,426,1084,813,1129,783,1377,1228,717,1664,1088,1238,539,803,910,1279,1060,568,1654,1959,537,884,1226,1302,900
"FUN_006104","Hdac6-201",154,153,133,166,109,136,69,94,46,159,307,175,101,144,89,37,0,139,33,337,46,129,158,37,131,107,211,0,75,132,239,108,37,176,279,0,22,160,167,43
"FUN_006169","Kat4-Taf1-206",845,1044,981,881,1320,531,970,1132,1163,969,738,1077,1055,1110,1281,921,1297,617,509,841,766,853,1007,618,1377,899,1228,1418,964,384,801,1022,723,764,1049,770,1796,877,1073,1143
"FUN_006369","JKAMP-214",262,255,395,409,408,122,246,279,145,204,225,347,190,178,300,156,189,246,147,376,293,140,460,299,745,269,434,207,368,152,187,282,227,198,356,113,295,264,343,291
"FUN_006436","USP38-201",261,171,255,561,300,213,149,471,251,259,359,712,225,278,247,103,81,126,86,514,244,554,524,372,423,272,272,76,548,251,431,247,218,462,506,216,279,354,386,310
"FUN_006885","USP19-205",669,765,851,884,246,366,330,402,182,367,491,427,160,525,381,206,44,599,352,639,269,575,592,116,732,599,729,210,253,389,594,285,258,966,949,223,172,674,596,288
"FUN_006985","UBE3A-226",335,505,611,383,427,263,273,276,296,313,444,400,290,375,356,235,232,320,174,406,279,166,551,195,700,412,557,112,284,163,531,507,159,356,614,181,166,333,414,248
"FUN_007018","PUS3-201",101,189,124,94,142,119,134,139,75,282,215,138,82,222,158,60,92,411,165,208,229,161,267,101,180,156,198,36,99,135,199,93,69,103,237,94,230,176,203,125
"FUN_007147","UBA7-201",1641,2172,2533,2055,2246,1296,1204,1688,1413,1439,2129,2550,1559,1633,1894,1531,1142,1734,1099,2252,1699,1732,2472,1197,2883,1813,2113,1113,2322,1809,2270,1604,1285,2119,2506,1086,1867,1647,1915,1998
"FUN_007150","Hdac11-201",933,1500,401,984,393,1072,528,1300,1589,1736,1371,1826,507,921,583,444,413,1628,374,796,257,1033,823,212,612,1254,859,289,524,639,1630,316,307,1216,1315,329,548,1048,679,381
"FUN_007708","USP34-201",1913,1962,1375,1254,1543,791,1107,1089,487,1951,1500,1050,486,1199,697,364,615,1339,743,1102,591,949,1249,420,1083,1186,1436,637,831,828,1406,733,493,1122,1695,476,899,2721,1693,750
"FUN_007977","BUB1-201",199,162,222,171,465,178,369,234,298,297,436,424,254,178,365,229,105,126,243,150,241,104,297,178,423,219,334,296,363,158,391,520,227,205,295,114,472,242,304,474
"FUN_008086","Riox1-201",251,339,361,220,454,244,417,389,284,267,416,354,149,251,369,226,228,389,484,231,235,417,455,150,425,467,372,148,386,306,373,472,270,468,470,277,369,389,355,230
"FUN_008108","Parp3-202",669,566,669,396,771,320,719,234,464,292,538,675,586,418,682,605,377,399,459,466,561,419,572,494,935,528,575,711,722,583,629,637,559,486,632,558,563,414,476,454
"FUN_008187","RPS6KA4-201",326,621,210,286,80,253,62,54,130,336,507,182,114,289,108,41,104,342,27,191,59,211,359,76,144,288,276,68,116,139,471,156,34,272,504,57,65,244,199,190
"FUN_008278","Kat5-201",530,417,295,744,239,173,172,289,189,203,400,468,250,360,269,224,164,347,191,662,170,169,320,161,387,222,297,153,317,267,279,225,162,245,365,129,189,268,204,211
"FUN_008529","CBLL1-201",289,370,467,360,495,155,144,241,429,174,368,445,267,103,297,269,292,253,189,418,325,115,431,263,525,208,307,336,559,246,292,522,308,135,311,242,362,149,303,233
"FUN_008710","Suv39h1-kmt1a-202",76,121,94,91,156,59,69,87,48,85,170,118,29,71,102,3,0,88,67,73,67,64,130,53,103,143,145,44,130,56,131,48,50,140,168,54,62,67,79,95
