Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-216-TP1_R1_001	POR-216-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19629651.0	2.9 Gbp	0.0	150.0	45.0	23.677600607677345	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP1_R2_001	POR-216-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19629651.0	2.9 Gbp	0.0	150.0	45.0	22.62499213707928	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP2_R1_001	POR-216-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18889247.0	2.8 Gbp	0.0	150.0	47.0	21.416203006657582	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP2_R2_001	POR-216-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18889247.0	2.8 Gbp	0.0	150.0	47.0	20.958120907135218	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP3_R1_001	POR-216-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16130742.0	2.4 Gbp	0.0	150.0	48.0	17.045605499801233	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP3_R2_001	POR-216-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16130742.0	2.4 Gbp	0.0	150.0	47.0	17.215019587893774	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-216-TP4_R1_001	POR-216-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21522395.0	3.2 Gbp	0.0	150.0	48.0	11.986231272835346	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-216-TP4_R2_001	POR-216-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21522395.0	3.2 Gbp	0.0	150.0	48.0	12.017804405071864	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-236-TP1_R1_001	POR-236-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21310837.0	3.1 Gbp	0.0	150.0	47.0	19.136616489108203	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
POR-236-TP1_R2_001	POR-236-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21310837.0	3.1 Gbp	0.0	150.0	46.0	19.03662043581006	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-236-TP2_R1_001	POR-236-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19622258.0	2.9 Gbp	0.0	150.0	49.0	12.057115056647536	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
POR-236-TP2_R2_001	POR-236-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19622258.0	2.9 Gbp	0.0	150.0	48.0	12.442697213530868	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
POR-245-TP1_R1_001	POR-245-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19295128.0	2.8 Gbp	0.0	150.0	46.0	22.273304123698225	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
POR-245-TP1_R2_001	POR-245-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19295128.0	2.8 Gbp	0.0	150.0	46.0	21.495421473836867	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-245-TP2_R1_001	POR-245-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16922913.0	2.5 Gbp	0.0	150.0	49.0	11.88626525762432	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
POR-245-TP2_R2_001	POR-245-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16922913.0	2.5 Gbp	0.0	150.0	48.0	12.446790333979745	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
POR-245-TP3_R1_001	POR-245-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18939312.0	2.8 Gbp	0.0	150.0	49.0	11.54206920546064	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
POR-245-TP3_R2_001	POR-245-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18939312.0	2.8 Gbp	0.0	150.0	49.0	11.87596541496243	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-245-TP4_R1_001	POR-245-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17178431.0	2.5 Gbp	0.0	150.0	44.0	29.386258043598552	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	warn
POR-245-TP4_R2_001	POR-245-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17178431.0	2.5 Gbp	0.0	150.0	44.0	28.30840357312464	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-260-TP1_R1_001	POR-260-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17358699.0	2.6 Gbp	0.0	150.0	45.0	30.409660079309525	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-260-TP1_R2_001	POR-260-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17358699.0	2.6 Gbp	0.0	150.0	45.0	29.185751274417786	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
