Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1A11_R1_001	76.47732742245732	64.0	150.0	150	54.54545454545454	3239089.0
1A11_R2_001	76.84630894936744	68.0	150.0	150	54.54545454545454	3239089.0
1A7_R1_001	85.4336531568992	71.0	150.0	150	63.63636363636363	11922215.0
1A7_R2_001	86.28942315796891	68.0	150.0	150	45.45454545454545	11922215.0
1B3_R1_001	85.7629933994842	72.0	150.0	150	63.63636363636363	45754.0
1B3_R2_001	89.33208025527823	76.0	150.0	150	54.54545454545454	45754.0
1B4_R1_001	68.90946127110392	68.0	150.0	150	45.45454545454545	21471113.0
1B4_R2_001	70.99817819049707	68.0	150.0	150	36.36363636363637	21471113.0
1B6_R1_001	73.80254938315876	64.0	150.0	150	45.45454545454545	2512999.0
1B6_R2_001	74.27180960717112	67.0	150.0	150	54.54545454545454	2512999.0
1B7_R1_001	85.91266310794781	71.0	150.0	150	54.54545454545454	269760.0
1B7_R2_001	88.5023724792408	74.0	150.0	150	54.54545454545454	269760.0
1C11_R1_001	74.67036780013879	73.0	150.0	150	63.63636363636363	4323.0
1C11_R2_001	83.66874855424473	75.0	150.0	150	54.54545454545454	4323.0
1C12_R1_001	64.66349602105367	65.0	150.0	150	54.54545454545454	2243794.0
1C12_R2_001	65.37287276735393	68.0	150.0	150	54.54545454545454	2243794.0
1C5_R1_001	88.59330954716151	65.0	150.0	150	54.54545454545454	39214111.0
1C5_R2_001	88.10104216756255	68.0	150.0	150	54.54545454545454	39214111.0
1C6_R1_001	31.258683540821238	59.0	150.0	150	36.36363636363637	145390.0
1C6_R2_001	34.30084600041269	60.0	150.0	150	45.45454545454545	145390.0
1D12_R1_001	84.96108708294537	73.0	150.0	150	54.54545454545454	314677.0
1D12_R2_001	86.6796747140719	73.0	150.0	150	54.54545454545454	314677.0
1D1_R1_001	82.49228572310957	73.0	150.0	150	45.45454545454545	17347410.0
1D1_R2_001	83.77852989208466	69.0	150.0	150	27.27272727272727	17347410.0
1D2_R1_001	86.77091308561805	67.0	150.0	150	63.63636363636363	42652107.0
1D2_R2_001	86.2413210844599	68.0	150.0	150	54.54545454545454	42652107.0
1D5_R1_001	76.08015327007224	70.0	150.0	150	36.36363636363637	20050766.0
1D5_R2_001	77.94597127725109	68.0	150.0	150	36.36363636363637	20050766.0
1D7_R1_001	82.68419380084893	69.0	150.0	150	54.54545454545454	10826531.0
1D7_R2_001	83.0662496879246	67.0	150.0	150	45.45454545454545	10826531.0
1E7_R1_001	83.15681560043072	71.0	150.0	150	63.63636363636363	271172.0
1E7_R2_001	86.20838434646645	74.0	150.0	150	54.54545454545454	271172.0
1F10_R1_001	77.70887334603758	65.0	150.0	150	54.54545454545454	6281555.0
1F10_R2_001	78.64665700784074	68.0	150.0	150	54.54545454545454	6281555.0
1F12_R1_001	85.0072212216164	66.0	150.0	150	54.54545454545454	41248264.0
1F12_R2_001	84.9615234226196	67.0	150.0	150	54.54545454545454	41248264.0
1F1_R1_001	76.82006051799266	68.0	150.0	150	54.54545454545454	436846.0
1F1_R2_001	76.9632903037002	68.0	150.0	150	54.54545454545454	436846.0
1F3_R1_001	91.68063698809564	64.0	150.0	150	54.54545454545454	49934377.0
1F3_R2_001	91.70252596460664	67.0	150.0	150	54.54545454545454	49934377.0
1F6_R1_001	79.10796586024944	71.0	150.0	150	54.54545454545454	18903290.0
1F6_R2_001	81.46232417975769	67.0	150.0	150	36.36363636363637	18903290.0
1F7_R1_001	83.81996124390075	65.0	150.0	150	54.54545454545454	3607654.0
1F7_R2_001	86.27400421491042	67.0	150.0	150	54.54545454545454	3607654.0
1G10_R1_001	89.890449291742	67.0	150.0	150	54.54545454545454	39812148.0
1G10_R2_001	90.2276426043678	68.0	150.0	150	54.54545454545454	39812148.0
1G1_R1_001	86.47904720784565	64.0	150.0	150	54.54545454545454	43795569.0
1G1_R2_001	85.92105519756032	68.0	150.0	150	54.54545454545454	43795569.0
1G3_R1_001	83.80693693730746	67.0	150.0	150	45.45454545454545	1627005.0
1G3_R2_001	84.43754685231605	69.0	150.0	150	54.54545454545454	1627005.0
1H1_R1_001	83.3321566402188	65.0	150.0	150	45.45454545454545	3188669.0
1H1_R2_001	83.86320223971643	68.0	150.0	150	54.54545454545454	3188669.0
1H2_R1_001	84.461456082634	65.0	150.0	150	45.45454545454545	1171673.0
1H2_R2_001	85.41502735464138	68.0	150.0	150	54.54545454545454	1171673.0
1H3_R1_001	87.59083344299839	64.0	150.0	150	54.54545454545454	1881714.0
1H3_R2_001	88.02639424396938	68.0	150.0	150	54.54545454545454	1881714.0
2A3_R1_001	87.68154173220788	79.0	150.0	150	45.45454545454545	2432495.0
2A3_R2_001	89.49628556906764	77.0	150.0	150	45.45454545454545	2432495.0
2B1_R1_001	77.69178716173799	65.0	150.0	150	45.45454545454545	17656021.0
2B1_R2_001	77.96183551584772	67.0	150.0	150	36.36363636363637	17656021.0
2D1_R1_001	89.0826942078101	71.0	150.0	150	63.63636363636363	16065514.0
