Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-216-TP1_R1_001	POR-216-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19283010.0	2.5 Gbp	0.0	15-135	45.0	21.858826588384474	133.32178306187674	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP1_R2_001	POR-216-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19283010.0	2.5 Gbp	0.0	15-135	45.0	21.998971926064854	133.3379571446574	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP2_R1_001	POR-216-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18503836.0	2.4 Gbp	0.0	15-135	46.0	19.932259529821557	133.37618886159606	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP2_R2_001	POR-216-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18503836.0	2.4 Gbp	0.0	15-135	46.0	20.143053498922253	133.23216272560998	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP3_R1_001	POR-216-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15840913.0	2.1 Gbp	0.0	15-135	47.0	15.828723257728875	133.45527533671827	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP3_R2_001	POR-216-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15840913.0	2.1 Gbp	0.0	15-135	47.0	16.430593196842203	133.28920498458643	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP4_R1_001	POR-216-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21204544.0	2.8 Gbp	0.0	15-135	48.0	11.149547999218633	132.95534924023832	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-216-TP4_R2_001	POR-216-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21204544.0	2.8 Gbp	0.0	15-135	47.0	11.298420837665162	132.7526311341569	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-236-TP1_R1_001	POR-236-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20954901.0	2.7 Gbp	0.0	15-135	46.0	17.840169814790947	133.39784029521303	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-236-TP1_R2_001	POR-236-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20954901.0	2.7 Gbp	0.0	15-135	46.0	18.352213832295877	133.1734154697271	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-236-TP2_R1_001	POR-236-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19238643.0	2.5 Gbp	0.0	15-135	49.0	11.17917962673857	133.43072195892404	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-236-TP2_R2_001	POR-236-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19238643.0	2.5 Gbp	0.0	15-135	48.0	11.728552773346706	133.25542497981797	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-245-TP1_R1_001	POR-245-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18956403.0	2.5 Gbp	0.0	15-135	46.0	20.678857229629873	133.27174037184164	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-245-TP1_R2_001	POR-245-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18956403.0	2.5 Gbp	0.0	15-135	46.0	20.82845081711328	133.29465236627433	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-245-TP2_R1_001	POR-245-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16574371.0	2.2 Gbp	0.0	15-135	48.0	11.198206506861224	133.27709733298477	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-245-TP2_R2_001	POR-245-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16574371.0	2.2 Gbp	0.0	15-135	48.0	11.713310021035326	133.09859282141085	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-245-TP3_R1_001	POR-245-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18551669.0	2.4 Gbp	0.0	15-135	49.0	10.460977228526623	133.36885775614044	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-245-TP3_R2_001	POR-245-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18551669.0	2.4 Gbp	0.0	15-135	48.0	11.079210443579498	133.1563842045694	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-245-TP4_R1_001	POR-245-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16925807.0	2.2 Gbp	0.0	15-135	43.0	27.587647013492926	133.05717369931017	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-245-TP4_R2_001	POR-245-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16925807.0	2.2 Gbp	0.0	15-135	44.0	27.683928587995133	133.06016392600955	135	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
POR-260-TP1_R1_001	POR-260-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17040152.0	2.2 Gbp	0.0	15-135	44.0	28.395676522141272	133.451006716372	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-260-TP1_R2_001	POR-260-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17040152.0	2.2 Gbp	0.0	15-135	44.0	28.595233257123326	133.46340631233807	135	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
POR-260-TP2_R1_001	POR-260-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17145837.0	2.2 Gbp	0.0	15-135	48.0	13.694285238776777	133.02148690670512	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-260-TP2_R2_001	POR-260-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17145837.0	2.2 Gbp	0.0	15-135	47.0	14.3687552003914	132.8636198396147	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
