Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-216-TP1_R1_001	POR-216-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34731826.0	4.6 Gbp	0.0	15-135	20.0	82.13776140985979	133.49337955913978	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-216-TP1_R2_001	POR-216-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34731826.0	4.6 Gbp	0.0	15-135	20.0	82.22378687640884	133.48505471609815	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-216-TP2_R1_001	POR-216-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45218026.0	5.9 Gbp	0.0	15-135	20.0	83.1809443092109	131.7662871660961	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-216-TP2_R2_001	POR-216-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45218026.0	5.9 Gbp	0.0	15-135	20.0	82.95455377021948	131.8510581819737	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-216-TP3_R1_001	POR-216-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43699465.0	5.8 Gbp	0.0	15-135	20.0	80.93471515755864	133.2784399305575	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-216-TP3_R2_001	POR-216-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43699465.0	5.8 Gbp	0.0	15-135	20.0	80.82346552377507	133.30899568221258	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-216-TP4_R1_001	POR-216-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41684033.0	5.5 Gbp	0.0	15-135	20.0	83.59518185150326	133.27851333387056	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-216-TP4_R2_001	POR-216-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41684033.0	5.5 Gbp	0.0	15-135	20.0	83.19380575800359	133.3192258772082	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-236-TP1_R1_001	POR-236-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24436326.0	3.2 Gbp	0.0	15-135	20.0	79.83505885464105	133.96630303589828	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-236-TP1_R2_001	POR-236-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24436326.0	3.2 Gbp	0.0	15-135	20.0	79.59875108263559	133.9635048247433	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-236-TP2_R1_001	POR-236-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37329560.0	4.9 Gbp	0.0	15-135	20.0	82.40725112062243	133.24153089401537	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-236-TP2_R2_001	POR-236-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37329560.0	4.9 Gbp	0.0	15-135	20.0	82.00584137575521	133.27680296794284	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-245-TP1_R1_001	POR-245-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43016080.0	5.7 Gbp	0.0	15-135	19.0	78.44273977175558	133.7674138601193	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-245-TP1_R2_001	POR-245-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43016080.0	5.7 Gbp	0.0	15-135	20.0	78.52060786873848	133.75622732243383	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-245-TP2_R1_001	POR-245-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34113322.0	4.5 Gbp	0.0	15-135	20.0	82.12618782556699	133.20304158592353	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-245-TP2_R2_001	POR-245-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34113322.0	4.5 Gbp	0.0	15-135	19.0	81.860120062164	133.2295969299032	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-245-TP3_R1_001	POR-245-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41468420.0	5.5 Gbp	0.0	15-135	20.0	83.27307905550889	133.54874521382777	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-245-TP3_R2_001	POR-245-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41468420.0	5.5 Gbp	0.0	15-135	19.0	82.82742239753316	133.57633377398994	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-245-TP4_R1_001	POR-245-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38121799.0	5 Gbp	0.0	15-135	20.0	82.67435513633444	133.48936717283462	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-245-TP4_R2_001	POR-245-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38121799.0	5 Gbp	0.0	15-135	20.0	82.33761343939122	133.53469105694617	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-260-TP1_R1_001	POR-260-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36459375.0	4.8 Gbp	0.0	15-135	20.0	83.06245604968029	133.7552729304877	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
