Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
POC-201-TP1_R1_001	17.959747427580652	19.0	150.0	150	18.181818181818183	41091687.0
POC-201-TP1_R2_001	18.63363195866073	19.0	150.0	150	18.181818181818183	41091687.0
POC-201-TP2_R1_001	13.269061529696486	20.0	150.0	150	18.181818181818183	30845130.0
POC-201-TP2_R2_001	13.847995737986693	20.0	150.0	150	18.181818181818183	30845130.0
POC-201-TP3_R1_001	15.960032759308149	22.0	150.0	150	27.27272727272727	42721109.0
POC-201-TP3_R2_001	16.633567173353597	22.0	150.0	150	27.27272727272727	42721109.0
POC-219-TP1_R1_001	14.811773078155497	20.0	150.0	150	18.181818181818183	34407423.0
POC-219-TP1_R2_001	15.567130935531566	20.0	150.0	150	18.181818181818183	34407423.0
POC-219-TP2_R1_001	18.10277399128492	20.0	150.0	150	18.181818181818183	51546177.0
POC-219-TP2_R2_001	18.75906042609151	20.0	150.0	150	18.181818181818183	51546177.0
POC-219-TP3_R1_001	17.069103053994994	23.0	150.0	150	27.27272727272727	47143554.0
POC-219-TP3_R2_001	17.88953483347609	23.0	150.0	150	27.27272727272727	47143554.0
POC-219-TP4_R1_001	15.219034064686156	21.0	150.0	150	18.181818181818183	41565133.0
POC-219-TP4_R2_001	15.784079567431604	21.0	150.0	150	18.181818181818183	41565133.0
POC-222-TP1_R1_001	16.550762398500126	19.0	150.0	150	18.181818181818183	42151219.0
POC-222-TP1_R2_001	17.254697265538667	19.0	150.0	150	18.181818181818183	42151219.0
POC-222-TP2_R1_001	14.218287917746252	19.0	150.0	150	18.181818181818183	33207463.0
POC-222-TP2_R2_001	14.976870054443154	19.0	150.0	150	18.181818181818183	33207463.0
POC-222-TP3_R1_001	16.796905937179545	20.0	150.0	150	18.181818181818183	50353073.0
POC-222-TP3_R2_001	17.387642819297497	20.0	150.0	150	18.181818181818183	50353073.0
POC-222-TP4_R1_001	15.911748484061107	22.0	150.0	150	27.27272727272727	44503175.0
POC-222-TP4_R2_001	16.37022390365297	21.0	150.0	150	27.27272727272727	44503175.0
POC-255-TP1_R1_001	15.67052565195732	20.0	150.0	150	18.181818181818183	37697625.0
POC-255-TP1_R2_001	15.387960366660991	20.0	150.0	150	18.181818181818183	37697625.0
POC-255-TP2_R1_001	16.433412544361275	20.0	150.0	150	18.181818181818183	37139452.0
POC-255-TP2_R2_001	16.818988186525075	20.0	150.0	150	18.181818181818183	37139452.0
POC-255-TP3_R1_001	14.12845129193741	25.0	150.0	150	18.181818181818183	43102559.0
POC-255-TP3_R2_001	14.240197102817476	25.0	150.0	150	18.181818181818183	43102559.0
POC-255-TP4_R1_001	15.005058483803552	22.0	150.0	150	18.181818181818183	41622513.0
POC-255-TP4_R2_001	15.418841365445374	22.0	150.0	150	18.181818181818183	41622513.0
POC-259-TP1_R1_001	14.710328223308494	20.0	150.0	150	18.181818181818183	41134783.0
POC-259-TP1_R2_001	15.124242441335383	20.0	150.0	150	18.181818181818183	41134783.0
POC-259-TP2_R1_001	16.260902503847348	19.0	150.0	150	18.181818181818183	45543063.0
POC-259-TP2_R2_001	16.75415985938973	19.0	150.0	150	18.181818181818183	45543063.0
POC-259-TP3_R1_001	16.172270439311802	21.0	150.0	150	18.181818181818183	46259241.0
POC-259-TP3_R2_001	16.88637018839188	20.0	150.0	150	18.181818181818183	46259241.0
POC-259-TP4_R1_001	16.03910567598487	20.0	150.0	150	18.181818181818183	44692280.0
POC-259-TP4_R2_001	16.64721038116022	20.0	150.0	150	18.181818181818183	44692280.0
POC-40-TP1_R1_001	14.79307994287852	20.0	150.0	150	18.181818181818183	33033053.0
POC-40-TP1_R2_001	15.31449884782458	19.0	150.0	150	18.181818181818183	33033053.0
POC-40-TP2_R1_001	15.779641919612743	19.0	150.0	150	9.090909090909092	48862098.0
POC-40-TP2_R2_001	16.00690237965736	19.0	150.0	150	9.090909090909092	48862098.0
POC-40-TP3_R1_001	15.588533481782463	19.0	150.0	150	18.181818181818183	39521982.0
POC-40-TP3_R2_001	16.1168939857466	19.0	150.0	150	18.181818181818183	39521982.0
POC-40-TP4_R1_001	15.498395280944052	19.0	150.0	150	9.090909090909092	40866627.0
POC-40-TP4_R2_001	15.693324497112755	19.0	150.0	150	9.090909090909092	40866627.0
POC-42-TP1_R1_001	11.122153647778745	26.0	150.0	150	18.181818181818183	45600087.0
POC-42-TP1_R2_001	11.375766775213563	25.0	150.0	150	18.181818181818183	45600087.0
POC-42-TP2_R1_001	15.857565862285767	19.0	150.0	150	18.181818181818183	44576743.0
POC-42-TP2_R2_001	16.426438768579317	19.0	150.0	150	18.181818181818183	44576743.0
POC-42-TP3_R1_001	16.17464034641624	20.0	150.0	150	18.181818181818183	40477624.0
POC-42-TP3_R2_001	16.825845506970722	19.0	150.0	150	18.181818181818183	40477624.0
POC-42-TP4_R1_001	16.684593168061525	19.0	150.0	150	18.181818181818183	43469644.0
POC-42-TP4_R2_001	17.202344877297563	19.0	150.0	150	18.181818181818183	43469644.0
POC-52-TP1_R1_001	13.920466084825122	19.0	150.0	150	9.090909090909092	30525279.0
POC-52-TP1_R2_001	14.161478884349606	20.0	150.0	150	9.090909090909092	30525279.0
POC-52-TP2_R1_001	14.94622462223846	19.0	150.0	150	18.181818181818183	34883031.0
POC-52-TP2_R2_001	15.571376978890754	19.0	150.0	150	18.181818181818183	34883031.0
POC-52-TP3_R1_001	17.574903917757553	20.0	150.0	150	18.181818181818183	48195400.0
POC-52-TP3_R2_001	18.190771313117338	20.0	150.0	150	18.181818181818183	48195400.0
POC-52-TP4_R1_001	15.724479107170353	20.0	150.0	150	18.181818181818183	34174524.0
POC-52-TP4_R2_001	16.475770124341807	20.0	150.0	150	18.181818181818183	34174524.0
POC-53-TP1_R1_001	16.59161547123135	19.0	150.0	150	18.181818181818183	43287978.0
POC-53-TP1_R2_001	17.224770980549238	19.0	150.0	150	18.181818181818183	43287978.0
POC-53-TP2_R1_001	15.853919519456099	19.0	150.0	150	18.181818181818183	42915817.0
POC-53-TP2_R2_001	16.51729787096818	19.0	150.0	150	18.181818181818183	42915817.0
POC-53-TP3_R1_001	15.426412029642151	20.0	150.0	150	18.181818181818183	40146428.0
POC-53-TP3_R2_001	16.118156550626964	20.0	150.0	150	18.181818181818183	40146428.0
POC-53-TP4_R1_001	15.872805018515152	21.0	150.0	150	18.181818181818183	38594026.0
POC-53-TP4_R2_001	16.664317273400442	21.0	150.0	150	18.181818181818183	38594026.0
POC-57-TP1_R1_001	15.46695577658113	20.0	150.0	150	18.181818181818183	33860789.0
POC-57-TP1_R2_001	16.22383937840992	20.0	150.0	150	18.181818181818183	33860789.0
POC-57-TP2_R1_001	15.064442263432042	20.0	150.0	150	18.181818181818183	42598419.0
POC-57-TP2_R2_001	15.784223605670718	20.0	150.0	150	18.181818181818183	42598419.0
POC-57-TP3_R1_001	15.69024104960269	20.0	150.0	150	18.181818181818183	39645491.0
POC-57-TP3_R2_001	16.278565808591765	20.0	150.0	150	18.181818181818183	39645491.0
POC-57-TP4_R1_001	16.384635414095328	20.0	150.0	150	18.181818181818183	38900076.0
POC-57-TP4_R2_001	16.821637163905947	20.0	150.0	150	18.181818181818183	38900076.0
