,ACR.139-TP1,ACR.139-TP3,ACR.139-TP4,ACR.145-TP1,ACR.145-TP3,ACR.145-TP4,ACR.150-TP1,ACR.150-TP3,ACR.150-TP4,ACR.173-TP1,ACR.173-TP3,ACR.173-TP4,ACR.186-TP1,ACR.186-TP3,ACR.186-TP4,ACR.225-TP1,ACR.225-TP3,ACR.225-TP4,ACR.229-TP1,ACR.229-TP3,ACR.229-TP4,ACR.237-TP1,ACR.237-TP3,ACR.237-TP4,ACR.244-TP1,ACR.244-TP3,ACR.244-TP4,ACR.265-TP1,ACR.265-TP3
Ethanolamine,905855.179892768,667414.964434137,848118.957068992,433685.25669709,343707.139549514,458287.918661389,345542.976734784,2457307.13063205,857763.608094882,346004.476251087,1293236.39142614,1053926.40603845,706491.563034936,954455.885150551,424284.070655297,768773.671696238,723747.682591995,4545038.06864113,1933225.70806546,1084685.37165076,1717118.69828172,669177.978717715,1509326.80424694,9626324.77681878,217801.270490934,559561.671970322,5230906.91650736,356096.94782362,364972.946046776
Glycine,415610.262630827,305689.04103628,1838936.12226214,289888.257936742,324248.702745373,154318.51459114,246148.1250044,257483.242669343,215835.498098896,196042.200685197,362379.630501855,302988.069661019,1176792.56366865,687585.267502907,252641.565998441,513175.423319569,912885.344503804,1466096.62003785,1085079.23096673,571677.109310952,970427.809604369,279535.061821377,195602.864117009,942110.163163115,234198.553242628,198971.255141629,701087.985000071,184600.688687204,363868.319402672
betaAlanine,174595.65422107,100124.00904272,436714.549466979,66660.5449189141,44251.8351969655,59534.1414444195,54639.4984137271,71446.5768062102,103980.971389836,75681.8164903372,86306.9287861386,81163.1134032923,188496.090517282,123581.634726699,125262.115364823,64657.4293058322,53016.2439336834,211377.550995694,154454.388766114,54210.9911796087,60670.7216157901,95129.4155367686,84167.3153910753,268836.30502223,65112.8243086904,66777.0916896476,116958.927036361,73367.4152301439,73440.6937761973
Alanine,1930248.94541869,5824761.03185091,27691415.7491984,1223273.84482613,3391439.07958427,2220402.29315113,1188836.16151728,2475635.75427775,2023858.05287556,1093937.39245276,7097393.05158568,2588469.0959617,8784071.98023565,7908021.25692724,1751389.65862796,2573784.4169034,10811454.8281025,6588787.69369303,2861129.28142717,2837207.44523365,4823094.18063504,1589307.52317863,2033427.62709349,5465192.87945195,1705485.86024749,2105214.94937783,4772345.21722411,962550.280108467,6356769.89101251
Sarcosine,1335573.19490571,1170985.90449472,92701.192516139,41711.9855337121,123276.636281929,42762.9100788957,30074.6872780795,31099.539877173,47669.5166719627,580292.753281484,52834.4192290131,38782.4260745799,100728.632252706,80333.7803379359,62261.2342731866,87242.8639678063,23742.4728673408,2086773.16052619,262068.083869819,167037.184063324,340326.495741618,38081.140571728,22799.192679471,147768.344431141,75308.1758741715,2117163.46816401,828800.826580919,41650.1232411017,79610.9927946432
Choline,82361200.7577531,177057397.258862,314295873.734452,78466451.6696057,144081462.356802,136759256.606638,112882774.50671,183441534.181708,147510268.314117,72327654.2764399,220301878.457488,173764141.291712,211642631.620622,213070625.993546,115537036.814578,77913321.572519,341447494.292972,278818530.62375,160321628.797877,150149094.251956,179445803.175391,59828512.8944446,124727227.156417,310196516.022385,98791412.3650405,130459728.164595,225491348.468845,52209301.2120031,168988280.48125
2-Aminobutyrate,143013.032385221,245173.797285859,459974.769123768,88995.4037194861,53695.1294111395,63465.1352739244,0,99910.6868479791,138002.994558469,124872.403709116,133117.091457273,146191.500128328,69473.9334909746,160858.690897285,98322.9096110366,133395.025982025,39538.6288581531,464894.80585463,415768.882141762,74652.3176865584,152422.040651864,128147.999312822,78759.0275221068,281345.644540964,197158.35281151,77513.737262175,220398.346466092,81248.1288637966,0
Dimethylglycine,98332.2546660711,718444.427642333,290742.549021505,150068.035036849,660217.301885764,220255.567685193,176533.784076854,286751.508710914,164661.75419193,197793.193647474,566606.169702653,408469.502223714,320341.260939399,196731.539760004,235318.346289031,287154.941234038,636420.76157256,161952.570771799,0,688472.22767624,334927.084526663,203287.940373205,208065.62379051,232135.830384597,614220.767803435,1038319.88527761,154404.682234916,197974.617245512,448270.973101445
2-Aminoisobutyric Acid,1776394.19511761,137882.302909173,494634.957596256,863832.240727075,71550.0454330479,200084.727428484,464936.668254913,170316.251833533,331334.006462878,1533370.00801886,230285.158223158,206522.033337296,1531321.12006567,404147.520994094,246258.555200107,51261.1070795083,99900.9743259206,677076.696907092,151339.861152188,72592.0777882153,213168.593943122,81690.3088670947,178153.342158659,694211.03390054,68160.1808203415,126837.540517244,455971.305617921,40666.3639844858,108368.556559299
Serine,4593223.38016706,7945784.78210115,44377293.6095994,4616686.70488441,6350671.80119322,4590679.33256169,3259016.14952213,6380137.59775855,5197541.81227104,2919357.62062636,13832550.8621145,5609978.08284542,16964929.377388,16639487.2721551,4690979.48430183,5677000.17266112,20851401.791935,19433751.4983401,10646667.3152975,6740548.4752872,13023153.3104941,6909362.97256786,4894249.44064144,19888258.2972568,5329239.93891822,4625656.90249905,17701108.670746,2829747.11329251,10756230.6968661
