rank,lambda,mean_sse,std_sse,se_sse,mean_fms,std_fms,se_fms,n_converged,n_total
5,0.0,670217.6576592214,26487.881854130315,8376.203705249569,0.39335781456444163,0.09767905165714147,0.030888828292181158,10,10
5,0.01,675731.7032925534,23581.71657206642,7457.1935504268085,0.34883211591576313,0.05914409998149716,0.01870300661022535,10,10
5,0.05,676268.8752870078,23306.207568548303,7370.06995372675,0.3337483734932348,0.06648865380920584,0.021025558459552084,10,10
5,0.1,675600.8553300954,23626.84126162071,7471.463230196765,0.3538161425795553,0.04804537493586757,0.01519328158341078,10,10
5,0.5,676308.9282859776,23091.533840001957,7302.184160126034,0.36389202490499445,0.05410861580134573,0.017110646697122936,10,10
5,1.0,679142.4451527613,23305.53392717298,7369.856929619535,0.32788566063152713,0.06945265387102237,0.021962857577574095,10,10
5,2.0,677540.2899471747,26284.741543774424,8311.965098717757,0.34409377455551154,0.09296031472470659,0.02939663265361613,10,10
5,5.0,677924.0496067673,26430.88530180493,8358.17981283705,0.371516321871586,0.07310395376416903,0.023117499985841384,10,10
10,0.0,627793.3340534719,25491.31790592955,8061.06251421712,0.4466642472500656,0.040695599858523786,0.012869078629976122,10,10
10,0.01,627105.6533425302,25902.660530456364,8191.140473438738,0.42428721515407447,0.06482892140888512,0.020500704990412896,10,10
10,0.05,628323.960406794,25411.047559589137,8035.678801916493,0.4103717867500003,0.05504589015398048,0.017407038871801502,10,10
10,0.1,628312.6717220964,24869.172316835695,7864.322804440741,0.40404508436166137,0.0638566654571005,0.020193250662783473,10,10
10,0.5,628943.9924165369,24782.41985825635,7836.889268267727,0.4127739038554764,0.07592560826784595,0.02400978548601048,10,10
10,1.0,629370.750942274,26022.99699711709,8229.19420546122,0.41901998926384065,0.07104616117007269,0.0224667688308843,10,10
10,2.0,629885.3330724076,26664.32987362472,8432.00146827238,0.4347180499553576,0.040365647768441315,0.012764738617636755,10,10
10,5.0,630179.5901136895,26314.731406023984,8321.44872586009,0.4455987947113821,0.03940971328429781,0.012462445591257598,10,10
15,0.0,605298.5479550308,29087.15681034532,9198.166617916953,0.46156471473318617,0.06727788962010693,0.021275136736893824,10,10
15,0.01,603098.0431205765,26173.272223354306,8276.715404541888,0.4995499877166987,0.040875869702756036,0.01292608496009789,10,10
15,0.05,604115.971062209,26988.587618428937,8534.540770525475,0.4922650457310662,0.03812464438651778,0.012056071124534898,10,10
15,0.1,604821.4059856597,27371.33636941705,8655.57655299618,0.4751133873264603,0.04483957011279192,0.01417951708592356,10,10
15,0.5,607690.0357455736,26328.58276387943,8325.828909811016,0.4559687452915907,0.040543763254027865,0.012821063679736795,10,10
15,1.0,608416.0974049749,25960.894928858143,8209.555807150668,0.45671724122532503,0.035906598320026864,0.01135466337200604,10,10
15,2.0,608346.5865418464,27424.411571199347,8672.36040548669,0.4734546159940171,0.048483429077751945,0.015331806466093298,10,10
15,5.0,611297.8546543897,25652.182890889497,8111.932489041336,0.48752002450197185,0.03949378028685755,0.012489029911672795,10,10
20,0.0,588466.3182710604,28000.41569307942,8854.508902165315,0.4779110647862675,0.044798391777814674,0.014166495353045414,10,10
20,0.01,587563.2821478567,27604.186133030547,8729.210113561227,0.46910927963567606,0.048333782553306455,0.015284484079975716,10,10
20,0.05,588338.1301913459,27020.938839505645,8544.77112489448,0.4422341237123916,0.0414395653068623,0.013104341161697924,10,10
20,0.1,588420.5113378391,26472.803069939982,8371.43537501081,0.4184244565721807,0.037152149617562545,0.011748541276285123,10,10
20,0.5,588949.060856039,27183.349828976156,8596.129989271323,0.43828963810294025,0.05225768269160131,0.01652533025478186,10,10
20,1.0,588537.7098239368,28041.494853120632,8867.499273174995,0.47915785847914566,0.046232834933545054,0.014620106107660175,10,10
20,2.0,589843.3116291675,27585.92006387849,8723.43387531936,0.5092013996962848,0.029777607758218874,0.009416506378707215,10,10
20,5.0,591648.3966139606,27968.773409797635,8844.502733611445,0.5155988386463066,0.03494415787748648,0.011050312980937239,10,10
25,0.0,572302.5363569201,30162.847328413456,9538.329827371135,0.518170854351927,0.035729148405300844,0.011298548781892353,10,10
25,0.01,573879.1426453711,26847.721571538852,8489.9950152098,0.5013457014109178,0.02426356108862575,0.007672811718669196,10,10
25,0.05,574071.0816508054,26869.155835585778,8496.773124645575,0.4769662428402494,0.01816589892764466,0.005744561635576742,10,10
25,0.1,574208.4214049631,27032.073564969047,8548.292234252982,0.4710064311895746,0.02520062897414861,0.007969138602714212,10,10
25,0.5,573863.4973283665,28417.725758631976,8986.47393193134,0.48109428748587535,0.03487480225307229,0.011028380806768035,10,10
25,1.0,572204.4710899696,29766.281803940885,9412.924797487878,0.5157012731271685,0.023939008407607685,0.007570179149396079,10,10
25,2.0,572573.8228939237,27548.484329214294,8711.595656577303,0.5345286340242186,0.021647705342430244,0.0068456054998274835,10,10
25,5.0,577108.0258219227,26654.020645846962,8428.74140420286,0.5299504139824072,0.02375178465110779,0.007917261550369264,10,10
30,0.0,561876.916644149,27101.49024668155,8570.243716435229,0.5083407022556533,0.025424675079660373,0.00803998820214497,10,10
30,0.01,562053.5220717068,27340.360982208767,8645.781275497799,0.4754467286814945,0.030352343308657395,0.009598253717872847,10,10
30,0.05,563344.4796956547,28018.094669543992,8860.099485398172,0.46745518831222077,0.03490995550609084,0.011039497241438318,10,10
30,0.1,563678.380261532,28601.290629306382,9044.522240903878,0.4603630882566079,0.03651676050125492,0.01154761359548375,10,10
30,0.5,562150.6845757491,28357.423443291962,8967.404665465725,0.5075879632492086,0.03434515301045137,0.010860891010001513,10,10
30,1.0,561027.7976059888,26506.2477317536,8382.011505701317,0.5289317942364755,0.03661454108945657,0.01157853453245057,10,10
30,2.0,565941.5920709257,24717.177447708982,7816.257806530779,0.539728659464313,0.02634802645782371,0.00833197754571013,10,10
30,5.0,567643.0046814301,27721.95914058712,8766.453208637926,0.5204398424271374,0.027588392704813624,0.009753969781805595,10,10
35,0.0,555821.768590519,25973.322249819408,8213.485671095821,0.5258525128806342,0.027795205262207284,0.008789615666047267,10,10
35,0.01,555747.4141376041,25989.876459634073,8218.720571883687,0.5043699817697542,0.024403268082585635,0.007716990949266059,10,10
35,0.05,556446.2798847847,27059.20169730139,8556.870902936647,0.48074674094552633,0.03895232434856929,0.012317806509911346,10,10
35,0.1,555843.5790508332,26572.71204432346,8403.02936678513,0.4893150312146031,0.028894046922975855,0.009137099909638345,10,10
35,0.5,553569.0610713357,25913.16665651682,8194.462802212327,0.5188998531661639,0.0371180454025419,0.011737756576557385,10,10
35,1.0,556340.4102089787,26358.582479310815,8335.315652803023,0.5337811097701641,0.026606718609217168,0.008413783186831374,10,10
35,2.0,559360.1268481251,24751.498773799056,7827.111162806978,0.5438990370995362,0.016532225233369953,0.005227948652835777,10,10
35,5.0,559321.629191173,22290.978636199958,7049.0263764545725,0.5299921721675835,0.018448568215369054,0.0065225538441350305,10,10
40,0.0,549113.7383643272,23832.888915024738,7536.621219325732,0.5276230274297213,0.03010489801319309,0.009520004644876793,10,10
40,0.01,550731.8821123138,26012.43739896551,8225.854967327708,0.49183782392327285,0.042760049684459706,0.013521914986485688,10,10
40,0.05,550748.5499332699,26158.33609557512,8271.992186221334,0.48754991687957816,0.04567197640925905,0.014442747069473714,10,10
40,0.1,552090.3118753192,24182.27461274108,7647.106677992806,0.48889143939389434,0.04322241057955082,0.013668126339433897,10,10
40,0.5,552532.7298775816,23737.167880005134,7506.351570260664,0.5184681380175247,0.029659808953721327,0.009379255125921502,10,10
40,1.0,552591.1890640312,26940.10013316637,8519.207681381118,0.5369175259410279,0.0284507497157592,0.008996917024118718,10,10
40,2.0,551395.3669521204,23702.07008841867,7495.252674035152,0.5322085494144421,0.028392612726185606,0.008978532493782916,10,10
40,5.0,555350.2757951996,22171.3013320447,7011.181089918638,0.5258237190750045,0.02976573151818763,0.011250389027005932,10,10
