bootstrap_iter,boot_seed,rank,lambda,sse_test,fms,n_train,n_test,converged,error
7,49,5,0.0,638049.7035107758,0.5647850701570607,15,13,True,
7,49,5,0.01,647967.4502268396,0.41382783936123974,15,13,True,
7,49,5,0.05,648160.9059372306,0.33828268843531084,15,13,True,
7,49,5,0.1,637175.2639725453,0.5074652554904452,15,13,True,
7,49,5,0.5,636800.7060465536,0.4855103258624257,15,13,True,
7,49,5,1.0,635684.2846550515,0.5003085915328042,15,13,True,
7,49,5,2.0,634936.9533343927,0.4862594786406265,15,13,True,
7,49,5,5.0,634958.6305439213,0.49900374844435397,15,13,True,
7,49,10,0.0,588002.0633875309,0.45155791733812045,15,13,True,
7,49,10,0.01,595558.78540451,0.43240045836466134,15,13,True,
7,49,10,0.05,596619.2228938049,0.4455751995752137,15,13,True,
7,49,10,0.1,596618.7500984225,0.4275107832368188,15,13,True,
7,49,10,0.5,599398.9659092898,0.4194135894120149,15,13,True,
7,49,10,1.0,601733.1608666085,0.39234638165845603,15,13,True,
7,49,10,2.0,604228.7909708031,0.4058946194097812,15,13,True,
7,49,10,5.0,604353.9256380217,0.4709442275673855,15,13,True,
7,49,15,0.0,568415.3032956261,0.500185504738013,15,13,True,
7,49,15,0.01,568870.2970454154,0.4503616191304719,15,13,True,
7,49,15,0.05,570251.1800428836,0.4772126861667612,15,13,True,
7,49,15,0.1,571535.8894173027,0.4800319014846727,15,13,True,
7,49,15,0.5,575223.0669542912,0.45709885152214075,15,13,True,
7,49,15,1.0,575844.6838483546,0.4458413374971333,15,13,True,
7,49,15,2.0,578606.900225839,0.4671434445613049,15,13,True,
7,49,15,5.0,583688.1262504159,0.5256597558008884,15,13,True,
7,49,20,0.0,542239.7302483746,0.4870024309355972,15,13,True,
7,49,20,0.01,543033.2138284892,0.46695981749995824,15,13,True,
7,49,20,0.05,543807.0072161787,0.4960836985470241,15,13,True,
7,49,20,0.1,545800.8599063809,0.49458535256378233,15,13,True,
7,49,20,0.5,548892.8766288469,0.48127778212633404,15,13,True,
7,49,20,1.0,551929.7348641999,0.49864467096180076,15,13,True,
7,49,20,2.0,549723.4721409376,0.4909701550946755,15,13,True,
7,49,20,5.0,560339.5163467041,0.50818104956199,15,13,True,
7,49,25,0.0,538563.1690909724,0.5503235941940475,15,13,True,
7,49,25,0.01,540184.1545179146,0.5352878495491299,15,13,True,
7,49,25,0.05,537212.2356552262,0.5101742984845273,15,13,True,
7,49,25,0.1,536343.9892957385,0.4974763849216189,15,13,True,
7,49,25,0.5,535148.378146974,0.47592270223573907,15,13,True,
7,49,25,1.0,538908.832178286,0.4817719021060378,15,13,True,
7,49,25,2.0,539633.1064281898,0.49258844280991937,15,13,True,
7,49,25,5.0,537394.815697161,0.5188234627592118,15,13,True,
7,49,30,0.0,518493.5996473808,0.5028206100330058,15,13,True,
7,49,30,0.01,526494.1400530165,0.5053748427380529,15,13,True,
7,49,30,0.05,528026.8759576933,0.48421680851972354,15,13,True,
7,49,30,0.1,530141.3199322855,0.47824874075417967,15,13,True,
7,49,30,0.5,532574.6263114056,0.48308148335136136,15,13,True,
7,49,30,1.0,532852.9229932512,0.4838917795336265,15,13,True,
7,49,30,2.0,531187.9980118473,0.5459354879075158,15,13,True,
7,49,30,5.0,534178.055626672,0.5677270162956943,15,13,True,
7,49,35,0.0,533387.8023455633,0.5538824049271893,15,13,True,
7,49,35,0.01,527721.0391658602,0.5263641620970352,15,13,True,
7,49,35,0.05,524581.3758094705,0.49904184591131817,15,13,True,
7,49,35,0.1,523884.3060614393,0.497783384028694,15,13,True,
7,49,35,0.5,523429.011110514,0.5125287881644934,15,13,True,
7,49,35,1.0,525804.3734684346,0.5282889109355005,15,13,True,
7,49,35,2.0,529782.7046099318,0.5270426399936129,15,13,True,
7,49,35,5.0,527461.6261054751,0.5035296450924365,15,13,True,
7,49,40,0.0,508494.76233545196,0.5129520813017935,15,13,True,
7,49,40,0.01,516647.85211660643,0.5341503757843346,15,13,True,
7,49,40,0.05,517691.7753261976,0.5405285019285333,15,13,True,
7,49,40,0.1,517865.0352980747,0.5284150889247011,15,13,True,
7,49,40,0.5,520270.5933202061,0.519628805021345,15,13,True,
7,49,40,1.0,520656.85070919996,0.5367180285977848,15,13,True,
7,49,40,2.0,520627.3500268928,0.5373165359987135,15,13,True,
7,49,40,5.0,526649.02470757,0.4879871555106045,15,13,True,
