,Component_1,Component_2,Component_3,Component_4,Component_5,Species,Sample_ID
apul_ACR.139,0.2828474916900545,0.002871674472977494,0.27396149926579455,0.02790674914555046,-0.23960483803535076,apul,ACR.139
apul_ACR.145,0.052340741227919665,0.22990510053143914,0.16572651511293013,0.23904388356443157,-0.17128477026917974,apul,ACR.145
apul_ACR.150,0.1024025836903347,0.25162055430099606,0.21330562128612426,0.2759469678015665,-0.2243480154922195,apul,ACR.150
apul_ACR.173,0.12821939059363363,0.24622896750114845,0.23314243914490035,0.26212116503815747,-0.24313715367496408,apul,ACR.173
apul_ACR.186,0.11913053509780722,0.21670296659356608,0.21040482022266316,0.23442370293697076,-0.22110924441098265,apul,ACR.186
apul_ACR.225,-0.02789412821681784,0.396164470203113,0.13872973945025993,0.3949356442087698,-0.17740813623247811,apul,ACR.225
apul_ACR.229,0.025353074797709887,0.3060795228419946,0.12762061112264853,0.3164819271591582,-0.17317511737571253,apul,ACR.229
apul_ACR.237,-0.06064152320436015,0.3647842675232035,0.09093051232413568,0.37871739566485485,-0.1351105781200712,apul,ACR.237
apul_ACR.244,-0.09447284495898893,0.40291261519242205,0.07562008938256068,0.4015846279986093,-0.1232229613945928,apul,ACR.244
apul_ACR.265,-0.03132062574714523,0.35347284768750675,0.10413451058338878,0.3652199285671591,-0.16005803352394565,apul,ACR.265
peve_POR.216,0.2469782210968335,-0.029899542821874688,0.154322604775833,0.023248314950094006,-0.16855185128052794,peve,POR.216
peve_POR.245,0.1056137087882841,0.02675285143772953,0.05279069045093498,0.041640449545292856,-0.07701527645921102,peve,POR.245
peve_POR.260,0.26313508649094475,0.02403165540737139,0.149081341599909,0.029615504667063305,-0.19944869272266355,peve,POR.260
peve_POR.262,0.13075928197416753,-0.05088557221598513,0.006071006452091561,-0.02962329709864091,-0.030417062895431685,peve,POR.262
peve_POR.69,0.17491098597185595,-0.02123226076550181,0.16827749359326347,-0.0020374713615155396,-0.14669235079211285,peve,POR.69
peve_POR.72,0.01869527208449829,0.0508305773044605,0.12465326313281508,0.042316579997286316,-0.07715096380000296,peve,POR.72
peve_POR.73,0.29761021027617707,-0.01617429046116142,0.21315846908945124,0.014198730858009172,-0.2335856399813958,peve,POR.73
peve_POR.74,0.24971696685803946,-0.013152033486189435,0.21349321963640933,0.018989091192678446,-0.20684576500504162,peve,POR.74
peve_POR.83,0.12386832517543064,0.053013455230486936,0.1991008150041685,0.049894723784849083,-0.1628387727311968,peve,POR.83
ptua_POC.219,0.23217713089793898,0.055174738077596305,0.1356567894633003,0.06216631226760607,-0.1832355169761812,ptua,POC.219
ptua_POC.222,0.259457893037951,0.05138061588989905,0.2319934364256175,0.052569006322710776,-0.23493027642909559,ptua,POC.222
ptua_POC.255,0.3356879112897141,-0.03535500264122368,0.2248138065225643,-0.017089439570641712,-0.24244526956570997,ptua,POC.255
ptua_POC.259,0.10634305649313841,0.04170082473233574,0.030484234576019283,0.02576326414121023,-0.059676802495466856,ptua,POC.259
ptua_POC.40,0.2574898203703541,-0.0050654769518114606,0.31823722082616923,0.019522524566447163,-0.2559579434059418,ptua,POC.40
ptua_POC.42,-0.07839543040472843,0.10447913145613555,0.09295153396833548,0.09476999877095604,-0.037036653435732605,ptua,POC.42
ptua_POC.52,0.1600603740879574,0.15971443998574197,0.18030113048324994,0.13325258139314816,-0.2014413619841684,ptua,POC.52
ptua_POC.53,0.30296166583088424,0.048547777759078606,0.26687234121559067,0.06689211258515593,-0.27455057048359977,ptua,POC.53
ptua_POC.57,0.2652457906408669,-0.031473829716275784,0.224103562632248,0.00031787592741058085,-0.20861174025944626,ptua,POC.57
