,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Species,Sample_ID
apul_ACR.139,-0.16784530283120597,-0.2273012131841269,0.3787257375275557,-0.11452876996634903,0.036962393265948905,0.09529112117700322,0.04421895653369326,0.0015575341313858607,-0.007886787571173542,0.3544434271906315,-0.11361699109960595,0.049486060537641485,0.181629979139635,0.30466322172388155,-0.04172578905829642,0.04958777450590326,-0.0019592852023173866,-0.02476536586809041,-0.030970258798948255,-0.008752215921796197,-0.2837828509567674,-0.0738000392799023,-0.18815299424391765,-0.08226736738016589,0.0006070757040876614,-0.00021801544556115314,-0.2323674261304452,0.31435980956745774,0.23108131989520417,0.13551342623484205,0.19529173191303173,0.1260935478572456,-0.040156674261720184,-0.0463337517604448,0.13939683234389244,apul,ACR.139
apul_ACR.145,-0.22064564369797274,0.08861223006998849,0.12683381181156259,-0.16071664743160466,0.13947579860632803,-0.2117903758381445,-0.12991301604083055,-0.050367414206166014,0.11097151243443444,0.1264826768991987,-0.016699469375517778,-0.009004065520857182,0.17940795442407223,0.09542006423654331,-0.10391336365348226,-0.05039591559989215,0.03189795074479251,0.257875460374251,0.15054457291047135,-0.19209935134107736,0.18124686358223382,0.037345230200473326,0.11591571540324679,-0.07086873856935413,-0.023836592675923144,0.1919333180917457,0.004630729778084728,0.4532716718906743,0.02077482910342561,0.3777110394509289,-0.19423624318952135,-0.17380258142564564,0.027545903343244034,0.014335386996747397,0.22262032423072026,apul,ACR.145
apul_ACR.150,-0.036052048003580535,0.00859567503180854,0.275747102699957,-0.05710384181201696,0.08564784357673867,-0.04830994908908752,0.052060994499682794,-0.028343979625764428,0.07911389809135101,0.313222540001655,-0.024571108135215926,-0.029745816521300702,0.22018620022675442,0.24574213125387967,-0.04904032622554221,-0.206670116832702,-0.03327499041609418,0.17899139462063685,0.01432086834935281,-0.11400038465715395,0.12972643213800236,0.348613623583803,-0.01901563566362834,-0.0018473820915700222,-0.045763430995775144,-0.16011031727485794,-0.06919715336303339,0.06766738348715699,-0.043670849665409815,0.3483499276066479,-0.10695159810982495,-0.16810144642264513,0.16351107909781942,-0.06833230786753915,0.032360273778384595,apul,ACR.150
apul_ACR.173,0.0814950696574223,0.2546353459608707,0.15898519500859934,0.17461951744811052,-0.03773683012608744,0.015816715303228403,-0.04494432770065332,-0.09676280596827844,-0.2596975072542705,0.2900639235838224,-0.023744775317395644,0.0993049906923377,0.230812280164325,0.09231325048711463,0.0053113928338236645,-0.05583720323540417,-0.10564526469309342,0.19315409181773913,-0.10945058841755434,-0.12071932002597172,0.031957708144177116,0.13523802474155944,-0.00607130589189065,-0.11166339750178099,-0.006034842969444998,0.2567308016215287,-0.018021254213796644,0.21567191171363237,0.0426612652389246,0.21717940282033762,-0.09474401125518589,-0.029158185663135227,0.31280421408531406,-0.04291038496797803,0.04858812451040526,apul,ACR.173
apul_ACR.186,-0.21447748596235547,-0.31553790596847797,0.44113099617329093,-0.09136161435206223,0.10597321661824226,-0.08745776154352254,-0.03511289109051693,-0.14284943432769873,-0.28923254665129555,0.38253653140658284,-0.03177145099734279,-0.1270746715558195,0.2066449208616841,0.40619452311416454,-0.10129644138140531,-0.3473778422615222,-0.010625729959088927,0.054905891155198,-0.024656635846584396,-0.21226365334028052,-0.22958510580620814,0.7379221401306005,-0.006861651036556996,0.004587373066641867,-0.026666434864358254,0.2689742960662831,-0.1972540454988421,0.39940426237748394,0.15536748795718558,0.2966852132422276,0.09154965303978144,0.07471277391114695,0.19751704150372537,-0.07048586839030721,0.0271927666601823,apul,ACR.186
apul_ACR.225,0.3748054725544942,0.07414535253373454,-0.3015183614394832,0.2579859157677785,0.09530805978279461,0.12796898487907032,-0.03924300099719992,-0.01794025633424855,-0.24290474522914315,0.22238726039081946,-0.03566149835808355,0.27675829490034615,0.5210791209948816,0.4152322785821288,0.07373083411975889,0.09637377274255629,0.09457361439071776,0.3713566768023966,-0.01421955110818174,-0.2675253128892262,-0.27365182798921683,-0.12021383298001474,0.04145142210651938,-0.15807710871368486,0.017710021590324008,-0.1050055524045055,-0.03410320336791092,0.36425363131217264,0.0056415361566220365,0.32444379655031297,-0.16289769734026235,0.08623836627644704,0.09831791353649329,-0.02684060983077287,0.28231047244144536,apul,ACR.225
apul_ACR.229,0.4039794593693408,-0.10762043317602013,-0.11212921401853221,0.4659020329681276,0.15202086144235835,0.015787160071051853,0.11034211819793434,-0.0026146971478839417,-0.10948813682948581,0.3028692622641525,-0.09874155695967761,0.08313941393228787,0.31235241523267687,0.418036936701344,0.06057485537570384,0.17622345922772273,-0.02302748068497492,0.27836856128160997,-0.0634620760267139,-0.06325080528725897,-0.2603196861842763,-0.3546953872078173,0.045174061925659474,-0.12228121719861057,-0.05675416028165207,-0.21942603266574093,-0.12417568428532795,0.300831436735388,0.04493709804198045,0.26497044724634977,-0.014028475062279354,0.004014005904080878,0.2216132651236703,0.07202178331988812,0.2054686045623771,apul,ACR.229
apul_ACR.237,0.2394821791404282,0.0014117068168914646,-0.15246162923952092,0.21311715120726768,0.10859472398425354,-0.028257523717197645,0.06716519948032486,-0.026664411489558584,0.03842127235425117,0.21489322847049264,-0.11541208751558163,0.08180653370785333,0.16316349641547864,0.15857735672606713,0.03838865984766494,0.036135411147826355,0.1104119050755924,0.31060270839138876,-0.004251229845964781,-0.12974433368301003,0.12840893768103256,-0.02106293501116949,0.08566652929241145,-0.13530261206698038,-0.003014505496988504,-0.1882890272318381,-0.04754666069669835,0.22585917336364075,-0.03721814295728029,0.41989014337395025,-0.14661294002083636,-0.150423492432677,0.17127637616792837,-0.008536390604767054,0.06725981654120168,apul,ACR.237
apul_ACR.244,0.4519464037265796,0.03614122122973941,-0.2940026505808173,0.3764759597862367,0.09158164158706437,0.10426226293550485,0.07711273039648661,-0.032703482054981345,-0.0768210829505125,0.1844890981900808,-0.08432856046019063,0.1734222548979921,0.29692142628071727,0.2812001765255435,0.12541934307040825,0.07188731532615697,0.1079792779343737,0.326182346231719,-0.026905156819710986,-0.17455254348588578,-0.09551149240718525,-0.019611546361155332,0.0368206550474502,-0.259251723512266,-0.03132734471273467,-0.24818249606166878,-0.11325852100031908,0.26464033713944546,0.009669162428546135,0.2761462454517735,-0.03280714082801206,0.0035944922968107647,-0.005432267605217028,0.04723638009346734,0.2174629810142883,apul,ACR.244
apul_ACR.265,0.20004783116137295,-0.07820929602053357,-0.07308571161370339,0.13204054349587768,0.1344716617181297,-0.03982918612179926,0.06598751579139753,-0.04785094373267935,0.1854241710349143,0.11474568542808307,-0.15180991617006348,0.03008302900551675,0.2235005015875656,0.3282442550093307,0.04661681156738786,-0.04326876146438866,0.1342685976035206,0.33889810020900785,0.06877046532077995,-0.19495632649338912,0.13898313053099198,0.15462937127507057,0.11397727031563161,-0.14301914496508814,-0.00019223106707618517,-0.1364610536533684,-0.06825315912165843,0.2663486590931018,0.03141352460576868,0.23232843001044154,-0.1124469231943864,-0.14695865653964557,-0.01168062533383356,0.006821729612210265,0.08309261021128951,apul,ACR.265
peve_POR.216,-0.252529471239493,0.10047781481126719,-0.006878614326424172,-0.04733922304919158,-0.4329207898216718,0.39176353300183303,0.38947647009734776,-0.07204643484910138,0.3738372761380362,-0.2165230570656227,0.2895323793485967,-0.21623003186892553,-0.005911226118282585,0.045746072388732024,-0.0869343573762832,0.04144913901015256,-0.22638731168876203,0.17792245620244068,-0.06576049494745645,0.18955619875245613,0.03696770368915392,-0.11475061242559587,-0.255408342403756,0.40313937968261015,-0.1948590779325829,-0.20726521797258887,0.2236466119214261,0.008198863048149409,-0.09223290196423649,-0.032481184515048535,0.2510671793965922,-0.2778835579479471,0.014859041196652439,0.011727821461787889,-0.1968850375702813,peve,POR.216
peve_POR.245,-0.011550934117893406,-0.07213257694392206,0.12163622441668194,0.45108765071553053,-0.12298592336753607,-0.05263046883350328,0.1400533792177019,-0.11895548837755021,-0.13427240428273243,0.1369853474902859,-0.24747950220443118,-0.06295345729230746,-0.32737778905285164,0.11269828635248853,-0.10656036444546997,-0.04477711710093932,0.40741349867718146,-0.06513461205100766,-0.10502412984464245,0.14897531495827399,0.39886197620161445,0.008807619095703722,0.14057570719037518,-0.5128088779384067,-0.10480783635511098,0.04031781627500608,-0.03960631961374096,0.03949509097918122,0.2970034971632019,-0.011554682109130666,0.14711579884192044,-0.2071996815928718,0.1954375515925072,0.19472341634648863,-0.27149211342035384,peve,POR.245
peve_POR.260,-0.034018772524605626,0.10528174717254003,-0.049525212632730034,0.07594637443280172,0.03913300169612865,-0.13861875952188565,0.02774727860954634,-0.012418417527300007,0.17515525746486843,0.02072371724737279,0.07450231099178686,-0.07520365463499017,-0.026635153763351547,0.07662670891075327,-0.008684482033332993,0.007759330906195987,0.0846026948583908,-0.0941227152465206,-0.08717916562922252,-0.037852212598202144,-0.1010222065492538,0.010862345018854707,0.029172858155364044,-0.0005378270736220701,-0.10295012518497816,0.009372118649706935,0.12120444713361234,0.0481406208217782,-0.04867578162302918,0.05387772286751472,-0.301849930330575,-0.009051913269723256,0.40053605774193346,-0.005305309104921354,0.04886612722418344,peve,POR.260
peve_POR.262,-0.059706489375003835,-0.15972987375093262,0.16097387554245862,-0.0991622927888311,-0.21854263359892856,-0.3296755418369914,0.2700310448705071,-0.011882801179818084,-0.04910479702976529,-0.07551863308872307,0.04165183491038105,0.06671468501352147,0.15633305504815911,0.015692071139152733,0.06739958635810586,0.004339711111686189,0.10878379651419011,-0.007942996212733328,0.18799535195762268,0.11725352413050502,0.10660647443276662,-0.09334045498979426,0.24505465353638564,0.041927212596185905,0.037112897798798415,-0.20101546403267653,0.06875820921399618,0.047572834487859934,0.08108264773090317,-0.05275727957154728,0.3273859844651152,-0.24622388480210636,0.14625370456616726,0.08880964749696062,-0.3326060862523455,peve,POR.262
peve_POR.69,-0.34854561962732455,0.18426158019165212,0.024644743041693395,-0.3167883525730937,-0.09688697513174617,0.014777324500526342,0.10017124841822965,0.04128857641805318,0.04875778857851424,-0.23478252009282746,0.39289524875659837,0.05075362065573356,0.04356410476283581,-0.2039975665736846,-0.03460673714560522,0.0840473808535127,0.21146042803479126,0.4388501550607055,-0.018921108476062053,0.19166556153338304,0.2973216842276434,-0.17602611182858882,-0.6402474494378017,-0.20917319123900813,0.06473156133945157,-0.2176104251893929,0.09337553816084218,-0.051773187422444515,0.4874158827772533,-0.11410804824900561,0.016087417067864734,-0.107796886283587,0.07990793370345138,-0.018986123226235614,-0.0583198402803915,peve,POR.69
peve_POR.72,-0.0613157081482603,0.13874570789168086,-0.09558519604624933,-0.1085554413327949,0.386613386683156,-0.16006615363975565,0.05895176517866112,-0.02163163165587895,0.0694910734727663,-0.09851987039747115,-0.2124015524018401,0.04423226897105906,0.0505993897696715,-0.027882391095996113,-0.01783269779188543,0.01577933738349946,0.40653436499880796,0.1104926155781953,-0.03316033836410166,0.1386803849092641,-0.1367455738759656,-0.020508503160304354,-0.20911992684793532,0.10653590362500857,-0.006642802536633571,-0.13024765292453896,0.4757180953591751,0.004368323150451103,0.2550876657886981,-0.11229718832488883,-0.32313725154563067,0.07728336024090336,0.03361001048977389,-0.06341886606291879,-0.1895541001196877,peve,POR.72
peve_POR.73,0.013924634389394147,-0.05638850133832871,0.06716020980692722,-0.02459632667613098,0.43861327831314134,0.08009329990005108,0.7107766536195206,-0.0767195217095148,0.0342789380538007,-0.036320943772802226,-0.03911178136881726,-0.06437603442539498,-0.004712165259998455,-0.02538203602311596,0.05503156057944897,0.017108722840772753,-0.06356678957604764,0.02098852567042939,-0.03553642537681713,0.039248267094383504,-0.27994518134332286,-0.037650975338716905,0.08093368945986383,0.5646435567700846,0.02160944509032059,-0.026231033806694008,-0.059452713966495575,-0.027763706359840476,-0.3719608651461497,-0.17328580629322696,-0.5094607194253854,0.0728414143146298,0.11632828885202054,-0.04398288876258698,-0.06713570741390107,peve,POR.73
peve_POR.74,-0.05351201558390352,-0.19368463019513552,0.06158476786376267,-0.1010406566979061,0.03127448452969042,0.2832140932226161,0.27666602200757173,-0.09514688415972385,0.13105436144584673,-0.15130124841578305,-0.3328796807622591,0.11479826159303329,0.034087178257145086,0.024877580000718276,0.07603291908317432,0.013184392409628005,0.3673331498014352,-0.059477623404072984,0.03082747060185282,0.05897709929899931,0.21715779570380814,-0.003525007344293386,0.09636136872863953,-0.025170594719700005,0.07197384847099089,-0.03414944269754583,0.36570658443768994,0.04846835695855481,0.03758873218717736,-0.02123521902284367,-0.15059770765275493,-0.19620178649468095,-0.028810141498264826,-0.0025300691530767976,-0.18172503624012445,peve,POR.74
