,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Species,Sample_ID
apul_ACR.139,0.25135419553723887,0.07041721796652113,-0.2209881931601999,0.0411411436434023,0.16234909076281592,-0.12478605654540822,0.09699140693648897,0.34877817509203074,0.36744004174815814,0.04516148126575174,-0.1385241908905388,0.16642911325207246,0.43505688116464003,0.2272386043948638,-0.09250779593585316,-0.2055855605352557,-0.09919405311012532,0.09168572417380873,0.03905845144485732,0.16161082330895288,0.09048739958495788,-0.2804355517818151,-0.034981819347715284,-0.40025823510176295,0.0012171431056087892,apul,ACR.139
apul_ACR.145,0.252804097897388,-0.0053431334998922525,0.02966951380213232,-0.053588344008451874,0.20223866864818157,0.022708706867707647,0.02270836413626629,0.2636993356970916,0.21003424921906538,0.061527020172788875,-0.3323062015561843,0.0948483122535412,0.07222000678639846,0.07573591254455288,0.05398983557251594,-0.16698253626311688,-0.02914518157554038,0.1661853149005119,0.264807483051325,0.28624072640292253,0.21764369707765957,-0.3982376892498339,-0.04294465091430128,0.1396614489635173,-0.2878791559126247,apul,ACR.145
apul_ACR.150,0.13917644370724258,0.1233509008585844,0.020262528613414713,0.07379453160240813,0.03300281808308486,-0.02355039383680172,0.13751913767860363,0.31071350677804965,0.010518987527115862,0.0657565509668781,-0.28661266944107183,0.09575203230649744,0.13202001197528998,0.03425788939163618,-0.035431317831785526,-0.1115864786899498,-0.015923632652960523,0.06411738212866415,0.3240352637433567,0.153829898294175,0.1357002625568924,0.11961724881579834,0.03544137744884774,0.31632135420275137,-0.18197650297563558,apul,ACR.150
apul_ACR.173,0.015055674330657355,-0.023453159078051004,0.12944818958344556,-0.034361633770343694,0.12896856199603488,0.048371242058090964,0.07495211635843312,0.28519778598628076,0.2600095696831942,0.005597665435156775,-0.26356193544411044,0.11330914585703193,-0.1293623635372326,0.08906469572870057,0.05875296141139873,-0.12366933986144078,-0.02847641762204819,0.18625696491245966,0.22266492000986443,0.09705579030784864,0.1328504971052022,-0.20208269073251567,0.04180486027095188,-0.11564853400803415,0.025662773627481532,apul,ACR.173
apul_ACR.186,0.3926179286977582,0.056475705185072195,-0.3186280344104197,0.07835568940095755,0.18347695420910182,-0.15614771381963702,0.19449646121902583,0.3982638680383699,0.284913740311574,0.05073379232432216,-0.283499116202772,0.06573424949896231,0.5047752156092548,0.18990450245803991,-0.06568509293105843,-0.21698971768593545,0.03871038392842125,0.1680239427099396,0.2527090603510418,0.3269613941155685,0.22743528462394522,-0.35778988974535386,0.19157033101905077,-0.05162487888968713,-0.2811192495766252,apul,ACR.186
apul_ACR.225,-0.038931236294309585,0.035654193091919015,0.025278638286612223,-0.06994984309082151,0.24371268523691986,0.5439428020221678,-0.02908688628861098,0.3947033365634081,0.33308313006625206,0.0523982512354644,-0.4086234863332469,-0.07103621313814064,0.12844452612437016,-0.15420461104786123,0.04362657626232927,0.02563833771677316,0.05204350857959155,0.255695019349554,0.42197059720244756,-0.016605193388612986,0.12501656996565946,0.048986563137734536,-0.01026700131177835,-0.22090456685798548,0.12573085501703096,apul,ACR.225
apul_ACR.229,-0.07091341880095352,0.04857238425394435,-0.04390217760359831,-0.3219896135125748,0.18678528831060098,0.3235014230378357,-0.05271516670750749,0.34240565158389774,0.23676871832866922,0.08198036107647719,-0.32167518275975787,0.03895007848189973,0.18101712841817216,0.030253374349962846,-0.023834151946229877,-0.09996739370944642,0.0166954210504446,0.24049022008326812,0.2786680165395916,-0.013325997757030856,0.08067842551189275,0.09078545491638405,-0.09644427724756939,-0.21700133126668017,0.3932301321564354,apul,ACR.229
apul_ACR.237,-0.008061892539770691,0.11697043920783744,0.13546613507275448,-0.07659034039502877,0.035427635417168805,0.3083914457418116,0.002747889491578902,0.15090816828891604,-0.014219581092389855,0.07563018467763633,-0.31514358311276275,0.06026066446041611,-0.017527215150079097,0.021718561405956616,-0.04759004989796564,0.008884310835670177,0.07452108973056298,0.09183201055950825,0.38165200355077666,0.027380342568904575,0.025001029905687852,0.1585307705103581,-0.00026532304952020384,0.3554789787469074,0.07221735155761166,apul,ACR.237
apul_ACR.244,-0.07703151278145844,0.06049890725763586,0.13183989269812604,-0.1429107094351322,0.1441081791322185,0.47702419155103354,-0.022405343061714694,0.24978152912516743,0.12928184832169262,0.04790961744326843,-0.3369215518120252,0.015936360653347945,0.018620299185797107,-0.10258899489526033,0.0198838312690282,-0.05007083259612458,-0.03672381494399451,0.20195370040732671,0.3877768579075466,-0.03233627522932703,0.09752782015302706,0.15079494194964363,0.04572505732040414,-0.06142589232412665,0.27140636566329845,apul,ACR.244
apul_ACR.265,0.03434174182805612,-0.003660991909586517,0.03118695305003309,-0.058893777564855025,0.21781596635958966,0.21259548562273178,-0.0313040588177924,0.20388608639138975,0.08004951458555272,0.12411855283421451,-0.2992163654399754,-0.05877711947975159,0.12191150388618477,-0.09839384004797594,-0.02094786069329209,-0.02624041335434826,0.0755799658932225,0.15931565623769456,0.370092525623576,0.0996497445637768,0.09183347811754226,-0.03981970494564471,0.09498734029947037,0.23205299968680942,0.0010124449087793735,apul,ACR.265
peve_POR.216,-0.008307241673209785,-0.1587767196660281,-0.27495958571299245,-0.13663886669034916,-0.08441847502832263,0.06850795761417817,-0.076706854448872,0.032772745856587786,0.0002991508884655119,0.4907177746991056,0.0523582199414866,-0.15375562171087273,0.17019194266070856,0.3746585664388286,-0.3506062234926156,0.29572783114280343,0.26455043654423893,0.33930764290984367,0.04621102781271207,-0.1314124830255348,-0.3214350653681118,0.051403933769219694,0.04499239030526554,0.3029606699693899,0.10049953595114056,peve,POR.216
