number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
0,9.91927074157517,2025-10-15 14:49:56.762426,2025-10-15 14:49:56.938854,0 days 00:00:00.176428,0.6351221010640696,0.08471801418819976,0.024810409748678097,True,14,0.01819095606520149,3083304.0657042265,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
1,13.40153897664898,2025-10-15 14:49:56.939870,2025-10-15 14:49:57.020553,0 days 00:00:00.080683,0.29154431891537513,0.02537815508265665,0.06796578090758151,False,5,0.049560558860175075,2984819.6861432497,0.0,0.0,0.0,COMPLETE
2,37.931969759404275,2025-10-15 14:49:57.021394,2025-10-15 14:49:57.382113,0 days 00:00:00.360719,0.0007068974950624604,0.000533703276260396,0.0005415244119402539,False,26,0.2594610570725904,2325527.0946044195,0.0,0.0,0.0,COMPLETE
3,25.08601058074366,2025-10-15 14:49:57.383041,2025-10-15 14:49:57.540906,0 days 00:00:00.157865,0.0014618962793704966,0.0280163515871626,0.0003613894271216529,False,15,0.1521043687038941,2662661.626303435,0.0,0.0,0.0,COMPLETE
4,11.163634949007252,2025-10-15 14:49:57.541842,2025-10-15 14:49:57.756770,0 days 00:00:00.214928,0.13826232179369857,0.0006290644294586153,0.011400863701127324,True,16,0.03120804414240219,3042349.944051097,0.8125,0.8125,0.8125,COMPLETE
5,12.323014419088114,2025-10-15 14:49:57.757688,2025-10-15 14:49:58.036432,0 days 00:00:00.278744,0.00048094619675015767,0.00018205657658407274,0.6245139574743068,True,20,0.041116754068442174,3011260.3853731607,0.8,0.8,0.8,COMPLETE
6,21.565007833488547,2025-10-15 14:49:58.037347,2025-10-15 14:49:58.165063,0 days 00:00:00.127716,0.00024586032763280086,0.054567254856014755,0.005762487216478602,False,12,0.12074871602453063,2761128.56634142,0.0,0.0,0.0,COMPLETE
7,12.231858595297059,2025-10-15 14:49:58.165970,2025-10-15 14:49:58.228551,0 days 00:00:00.062581,0.43379206974909373,0.0010842262717330165,0.04467752817973906,False,4,0.039315669204464165,3017011.775000101,0.0,0.0,0.0,COMPLETE
8,7.702411290712876,2025-10-15 14:49:58.229362,2025-10-15 14:49:58.418713,0 days 00:00:00.189351,0.0005488047000766049,0.755681014127442,0.12604664585649453,True,18,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
9,30.27767484793075,2025-10-15 14:49:58.419631,2025-10-15 14:49:58.754225,0 days 00:00:00.334594,0.48696409415208936,0.00022592797420156976,0.0006080390190296605,False,20,0.18725887959906362,2553139.519691664,0.0,0.0,0.0,COMPLETE
