go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
negative regulation of transcription by RNA polymerase II,28,12,5,16,57.14285714285714,2.3333333333333335
regulation of transcription by RNA polymerase II,26,12,5,14,53.84615384615385,2.1666666666666665
positive regulation of transcription by RNA polymerase II,23,13,5,10,43.47826086956522,1.7692307692307692
positive regulation of DNA-templated transcription,19,10,5,9,47.368421052631575,1.9
positive regulation of gene expression,17,8,5,9,52.94117647058824,2.125
nervous system development,16,7,5,9,56.25,2.2857142857142856
cell division,15,7,5,8,53.333333333333336,2.142857142857143
cell population proliferation,15,6,5,9,60,2.5
Wnt signaling pathway,14,6,5,8,57.14285714285714,2.3333333333333335
negative regulation of apoptotic process,14,7,5,7,50,2
kidney development,12,4,4,8,66.66666666666666,3
regulation of DNA-templated transcription,11,4,5,7,63.63636363636363,2.75
basement membrane organization,10,5,5,5,50,2
cellular response to leukemia inhibitory factor,10,3,4,7,70,3.3333333333333335
homophilic cell adhesion via plasma membrane adhesion molecules,10,5,5,5,50,2
proteolysis,10,5,5,5,50,2
regulation of cell cycle,10,3,4,7,70,3.3333333333333335
roof of mouth development,10,5,4,5,50,2
sensory perception of sound,10,3,5,7,70,3.3333333333333335
negative regulation of cell population proliferation,9,5,5,4,44.44444444444444,1.8
neuron projection morphogenesis,9,3,5,6,66.66666666666666,3
retina layer formation,9,3,5,6,66.66666666666666,3
sprouting angiogenesis,9,3,4,6,66.66666666666666,3
DNA repair,8,4,5,4,50,2
branching involved in ureteric bud morphogenesis,8,3,5,5,62.5,2.6666666666666665
defense response to bacterium,8,2,4,6,75,4
extracellular matrix organization,8,3,5,5,62.5,2.6666666666666665
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,8,3,5,5,62.5,2.6666666666666665
intracellular signal transduction,8,5,4,3,37.5,1.6
positive regulation of mesenchymal stem cell proliferation,8,3,5,5,62.5,2.6666666666666665
regulation of angiogenesis,8,2,4,6,75,4
response to oxidative stress,8,2,4,6,75,4
skeletal system development,8,3,4,5,62.5,2.6666666666666665
unsaturated fatty acid biosynthetic process,8,2,4,6,75,4
angiogenesis,7,2,4,5,71.42857142857143,3.5
axon guidance,7,4,5,3,42.857142857142854,1.75
cellular response to transforming growth factor beta stimulus,7,3,5,4,57.14285714285714,2.3333333333333335
cilium assembly,7,3,5,4,57.14285714285714,2.3333333333333335
embryonic cranial skeleton morphogenesis,7,2,4,5,71.42857142857143,3.5
in utero embryonic development,7,3,5,4,57.14285714285714,2.3333333333333335
liver development,7,3,5,4,57.14285714285714,2.3333333333333335
skeletal system morphogenesis,7,2,4,5,71.42857142857143,3.5
DNA replication initiation,6,2,4,4,66.66666666666666,3
actin cytoskeleton organization,6,4,5,2,33.33333333333333,1.5
anterior/posterior pattern specification,6,3,4,3,50,2
artery morphogenesis,6,2,5,4,66.66666666666666,3
cGMP-mediated signaling,6,2,4,4,66.66666666666666,3
cell differentiation,6,5,3,1,16.666666666666664,1.2
cytoskeleton organization,6,2,4,4,66.66666666666666,3
embryonic camera-type eye morphogenesis,6,2,5,4,66.66666666666666,3
fibroblast growth factor receptor signaling pathway,6,3,5,3,50,2
inner ear development,6,3,4,3,50,2
inner ear morphogenesis,6,2,4,4,66.66666666666666,3
methylation,6,3,5,3,50,2
negative regulation of neuron apoptotic process,6,2,4,4,66.66666666666666,3
neural crest cell development,6,2,4,4,66.66666666666666,3
neuron differentiation,6,3,5,3,50,2
ossification,6,5,3,1,16.666666666666664,1.2
post-embryonic development,6,2,5,4,66.66666666666666,3
protein-containing complex assembly,6,3,5,3,50,2
actin filament organization,5,2,5,3,60,2.5
activin receptor signaling pathway,5,3,5,2,40,1.6666666666666667
apoptotic process,5,3,4,2,40,1.6666666666666667
base-excision repair,5,2,4,3,60,2.5
bone morphogenesis,5,2,4,3,60,2.5
bone resorption,5,2,5,3,60,2.5
canonical Wnt signaling pathway,5,2,5,3,60,2.5
cell surface receptor protein tyrosine kinase signaling pathway,5,2,5,3,60,2.5
central nervous system development,5,2,3,3,60,2.5
chromosome segregation,5,2,5,3,60,2.5
cilium movement involved in cell motility,5,1,5,4,80,5
collagen fibril organization,5,3,5,2,40,1.6666666666666667
endocytosis,5,2,5,3,60,2.5
gene expression,5,4,3,1,20,1.25
heart development,5,3,5,2,40,1.6666666666666667
hippo signaling,5,2,5,3,60,2.5
male gonad development,5,2,4,3,60,2.5
mitotic cytokinesis,5,2,4,3,60,2.5
monocyte differentiation,5,2,5,3,60,2.5
negative regulation of DNA-templated transcription,5,2,5,3,60,2.5
negative regulation of fat cell differentiation,5,2,5,3,60,2.5
ossification involved in bone maturation,5,2,5,3,60,2.5
plasma membrane tubulation,5,2,5,3,60,2.5
positive regulation of G1/S transition of mitotic cell cycle,5,2,5,3,60,2.5
positive regulation of NF-kappaB transcription factor activity,5,2,4,3,60,2.5
positive regulation of SMAD protein signal transduction,5,3,5,2,40,1.6666666666666667
positive regulation of canonical NF-kappaB signal transduction,5,2,4,3,60,2.5
positive regulation of cell differentiation,5,2,5,3,60,2.5
positive regulation of cell growth,5,3,4,2,40,1.6666666666666667
positive regulation of cell migration,5,3,4,2,40,1.6666666666666667
positive regulation of cell population proliferation,5,2,5,3,60,2.5
positive regulation of epithelial to mesenchymal transition,5,3,4,2,40,1.6666666666666667
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,5,3,4,2,40,1.6666666666666667
regulation of cell differentiation,5,2,5,3,60,2.5
regulation of cell population proliferation,5,2,4,3,60,2.5
regulation of chromatin organization,5,2,4,3,60,2.5
response to ethanol,5,2,5,3,60,2.5
response to lipopolysaccharide,5,2,5,3,60,2.5
response to xenobiotic stimulus,5,2,5,3,60,2.5
signal transduction,5,3,2,2,40,1.6666666666666667
stem cell proliferation,5,2,4,3,60,2.5
telomere maintenance,5,2,4,3,60,2.5
transcription by RNA polymerase II,5,2,5,3,60,2.5
transforming growth factor beta receptor signaling pathway,5,3,4,2,40,1.6666666666666667
visual perception,5,3,4,2,40,1.6666666666666667
G1/S transition of mitotic cell cycle,4,1,4,3,75,4
Notch signaling pathway,4,1,4,3,75,4
SMAD protein signal transduction,4,2,4,2,50,2
Schwann cell development,4,1,4,3,75,4
actomyosin contractile ring assembly,4,1,4,3,75,4
animal organ regeneration,4,1,4,3,75,4
anterior neuropore closure,4,1,4,3,75,4
antral ovarian follicle growth,4,1,4,3,75,4
astrocyte development,4,1,4,3,75,4
atrial septum primum morphogenesis,4,1,4,3,75,4
atrial septum secundum morphogenesis,4,1,4,3,75,4
auditory receptor cell stereocilium organization,4,1,4,3,75,4
blood circulation,4,1,4,3,75,4
blood vessel maturation,4,1,4,3,75,4
bone development,4,1,4,3,75,4
camera-type eye development,4,1,4,3,75,4
cell development,4,1,4,3,75,4
cellular response to iron ion,4,1,4,3,75,4
cellular response to nutrient,4,1,4,3,75,4
cellular response to peptide,4,1,4,3,75,4
cerebral cortex development,4,1,4,3,75,4
chloride transmembrane transport,4,1,4,3,75,4
chloride transport,4,1,4,3,75,4
cholangiocyte proliferation,4,1,4,3,75,4
chromosome organization involved in meiotic cell cycle,4,1,4,3,75,4
circadian regulation of gene expression,4,1,4,3,75,4
condensed mesenchymal cell proliferation,4,1,4,3,75,4
cornea development in camera-type eye,4,1,4,3,75,4
digestive tract development,4,1,4,3,75,4
dorsal root ganglion development,4,1,4,3,75,4
double-strand break repair,4,1,4,3,75,4
embryonic body morphogenesis,4,1,4,3,75,4
embryonic forelimb morphogenesis,4,1,4,3,75,4
embryonic pattern specification,4,1,4,3,75,4
embryonic retina morphogenesis in camera-type eye,4,1,4,3,75,4
embryonic viscerocranium morphogenesis,4,1,4,3,75,4
endothelial cell activation,4,2,4,2,50,2
epidermal growth factor receptor signaling pathway,4,1,4,3,75,4
epidermis morphogenesis,4,1,4,3,75,4
epithelial cell differentiation,4,1,4,3,75,4
epithelial cell proliferation,4,1,4,3,75,4
establishment of planar polarity,4,1,4,3,75,4
eyelid development in camera-type eye,4,1,4,3,75,4
face morphogenesis,4,1,4,3,75,4
"fatty acid elongation, monounsaturated fatty acid",4,1,4,3,75,4
"fatty acid elongation, polyunsaturated fatty acid",4,1,4,3,75,4
"fatty acid elongation, saturated fatty acid",4,1,4,3,75,4
fibroblast migration,4,1,4,3,75,4
forebrain neuron development,4,1,4,3,75,4
forelimb morphogenesis,4,1,4,3,75,4
glycine catabolic process,4,1,4,3,75,4
glycine decarboxylation via glycine cleavage system,4,1,4,3,75,4
heart morphogenesis,4,1,4,3,75,4
hepatocyte proliferation,4,1,4,3,75,4
homologous chromosome pairing at meiosis,4,1,4,3,75,4
hydrogen peroxide catabolic process,4,1,4,3,75,4
immune response,4,1,4,3,75,4
immune system process,4,1,4,3,75,4
inner ear receptor cell stereocilium organization,4,1,4,3,75,4
intestinal epithelial cell development,4,1,4,3,75,4
keratinocyte development,4,1,4,3,75,4
lens induction in camera-type eye,4,1,4,3,75,4
lens morphogenesis in camera-type eye,4,1,4,3,75,4
lipid droplet formation,4,1,4,3,75,4
lipid ubiquitination,4,1,4,3,75,4
long-chain fatty-acyl-CoA biosynthetic process,4,1,4,3,75,4
lysosomal protein catabolic process,4,1,4,3,75,4
lysosome organization,4,1,4,3,75,4
meiotic cell cycle,4,1,4,3,75,4
membranous septum morphogenesis,4,1,4,3,75,4
mesoderm development,4,4,2,0,0,1
metanephric nephron development,4,1,4,3,75,4
microvillus assembly,4,1,4,3,75,4
modulation of chemical synaptic transmission,4,1,4,3,75,4
myotube differentiation involved in skeletal muscle regeneration,4,1,4,3,75,4
negative regulation of canonical Wnt signaling pathway,4,3,3,1,25,1.3333333333333333
negative regulation of epidermal growth factor receptor signaling pathway,4,1,4,3,75,4
