"gene_id"	"ACR.139.TP1"	"ACR.139.TP2"	"ACR.139.TP3"	"ACR.139.TP4"	"ACR.145.TP1"	"ACR.145.TP2"	"ACR.145.TP3"	"ACR.145.TP4"	"ACR.150.TP1"	"ACR.150.TP2"	"ACR.150.TP3"	"ACR.150.TP4"	"ACR.173.TP1"	"ACR.173.TP2"	"ACR.173.TP3"	"ACR.173.TP4"	"ACR.186.TP1"	"ACR.186.TP2"	"ACR.186.TP3"	"ACR.186.TP4"	"ACR.225.TP1"	"ACR.225.TP2"	"ACR.225.TP3"	"ACR.225.TP4"	"ACR.229.TP1"	"ACR.229.TP2"	"ACR.229.TP3"	"ACR.229.TP4"	"ACR.237.TP1"	"ACR.237.TP2"	"ACR.237.TP3"	"ACR.237.TP4"	"ACR.244.TP1"	"ACR.244.TP2"	"ACR.244.TP3"	"ACR.244.TP4"	"ACR.265.TP1"	"ACR.265.TP2"	"ACR.265.TP3"	"ACR.265.TP4"
"FUN_000184"	"39.22138321"	" 0.15120015"	"12.85739512"	" 0.00000000"	" 0.00000000"	" 2.28637042"	"43.56216414"	"29.99160320"	"22.35787011"	"28.09474293"	" 0.16233768"	" 0.83118853"	"11.99390611"	NA	"17.66207097"	" 0.85450837"	" 6.55908586"	"20.36723225"	"72.79085500"	"24.66900010"	NA	"66.82535424"	"47.28087873"	"48.76335988"	"44.29471351"	"11.701848890"	" 0.19810697"	" 9.11331368"	" 0.57527144"	" 1.28389671"	" 0.22222223"	"28.60241434"	"32.60423662"	" 1.73553718"	NA	"23.23145908"	" 0.25353053"	" 0.00000000"	" 1.35777029"	" 2.12894662"
"FUN_000185"	" 6.69698162"	" 0.17825312"	" 0.45454545"	" 0.42534722"	" 7.13112823"	" 0.31114718"	"17.55038676"	" 3.47039946"	" 1.66985819"	" 0.59024836"	" 0.48962359"	"30.09525021"	"24.95986767"	"40.73324822"	"58.04727327"	" 1.40311370"	" 1.56491524"	"82.28443712"	"52.68414309"	" 0.46736927"	NA	" 1.57524296"	" 3.64610554"	" 0.77872610"	" 1.42810441"	" 0.420168059"	" 0.00000000"	"68.88819016"	"12.27330492"	" 0.25575448"	"23.22353731"	"61.22115788"	" 0.28590995"	"18.81104087"	" 0.00000000"	"11.73321378"	"68.85978615"	" 0.00000000"	"52.37118365"	"51.38651625"
"FUN_000186"	" 3.88947345"	" 0.72499905"	"29.59168214"	"63.64888648"	"19.36859773"	" 0.57623049"	"56.77116140"	"20.32524388"	"13.80716729"	" 2.14817425"	" 8.50077739"	NA	" 0.00000000"	" 0.00000000"	" 0.65391960"	"49.18192908"	" 4.59625442"	" 6.85806589"	" 0.64102565"	" 8.61307301"	NA	"33.29077166"	" 1.54859610"	" 0.72662064"	" 0.36012266"	"17.345230160"	" 0.40864107"	" 6.27287125"	" 1.98123122"	" 0.22058824"	"29.70330105"	" 0.34722222"	" 4.59023449"	" 1.78819770"	" 5.27954525"	" 2.00387992"	" 0.15262516"	"27.59250828"	"31.40364113"	"12.00228845"
"FUN_000187"	" 8.04418648"	" 0.29027577"	" 0.15974829"	"54.23059362"	"11.30464385"	" 3.12417027"	" 3.43013838"	"19.74853220"	"45.14237437"	" 1.42339541"	"50.04317303"	"17.94736225"	" 0.13477976"	NA	" 0.13888889"	" 0.49209285"	NA	" 0.59365203"	" 0.41728671"	" 0.21911480"	NA	" 4.80485034"	" 0.64619269"	" 0.18648019"	"10.93809826"	" 0.000000000"	" 0.44042244"	" 1.17271140"	"12.52788341"	" 0.82014805"	" 0.22624435"	"19.20755805"	" 0.22624435"	"41.55420625"	"28.70067000"	" 2.05023873"	"80.62653103"	" 0.94550610"	"51.03641453"	NA
"FUN_000188"	" 0.17676536"	"27.58113539"	" 0.31163435"	"50.10062854"	"48.09275906"	"47.10931757"	" 2.16045507"	" 0.00000000"	"58.21189729"	"33.22542030"	" 0.26841713"	" 0.05668935"	"13.53308270"	" 0.00000000"	"26.14001121"	" 0.52502164"	"63.02671739"	"48.01150479"	" 0.23255814"	NA	NA	" 0.44444444"	" 4.08712081"	" 1.73614352"	"54.50805300"	" 5.501700734"	"20.40494055"	"39.71089196"	" 0.83427684"	"60.57317072"	"33.86053056"	" 0.20833333"	" 0.48701298"	" 1.94871797"	"90.86948427"	" 0.88032625"	" 0.81433549"	"11.42108530"	"28.76374055"	" 0.83647393"
"FUN_000189"	" 0.17482517"	"19.21849973"	"53.66870162"	" 1.06008654"	"56.89220523"	"40.25526890"	" 0.00000000"	" 0.93335586"	" 0.14763535"	"44.61605620"	" 4.36359688"	" 0.73338321"	" 0.39026284"	" 0.25144427"	"29.89240874"	"16.87119510"	"33.39397161"	" 6.39096728"	"25.74187657"	"18.78044397"	NA	" 1.48925743"	" 0.64045055"	"13.43736275"	" 0.20202021"	" 0.000000000"	"69.14563511"	" 4.87723146"	" 1.39377607"	" 2.41228071"	" 0.14492754"	" 1.49092638"	NA	"15.83641352"	NA	" 1.43324375"	" 0.00000000"	"38.43467320"	" 0.38961042"	" 1.17424242"
"FUN_000190"	" 0.29991284"	" 0.00000000"	" 1.22541802"	" 0.00000000"	" 0.61978235"	"37.74307312"	" 0.41322314"	"82.23878716"	" 0.35321143"	" 0.00000000"	"23.84707182"	"18.86468667"	" 0.00000000"	" 0.00000000"	" 0.98372074"	" 0.78216911"	"24.16165705"	"67.38730572"	" 0.00000000"	"39.86314268"	NA	"55.08693444"	" 4.56359269"	"28.19944283"	"64.56138171"	"66.122456750"	"32.64226834"	" 0.25252524"	" 0.29643037"	"53.94647042"	" 0.00000000"	"25.94593590"	" 0.35087720"	"59.41621734"	"40.29378043"	" 0.07716050"	"51.10511744"	"60.20521920"	"73.05728846"	" 0.89015150"
"FUN_000192"	" 0.33670033"	" 0.59487933"	"18.31454514"	" 0.17300745"	"70.50752097"	"12.22824105"	" 1.09036800"	"43.68209346"	" 1.36814177"	" 0.11806375"	" 0.82088415"	"37.69060004"	" 2.85501528"	"14.06158358"	"54.48046344"	" 2.69030729"	" 0.16420362"	"29.56879790"	" 2.32920926"	"12.06658070"	NA	" 0.00000000"	" 0.16977929"	" 6.16091107"	"25.39312416"	"25.262995320"	" 0.25711728"	" 0.15197568"	"54.20254292"	" 1.33928569"	" 0.32531919"	" 1.44264560"	" 6.66577355"	" 0.23033679"	" 0.46296294"	" 0.00000000"	" 0.09157509"	"33.91845933"	" 0.50987326"	" 2.36257451"
"FUN_000194"	"46.85651623"	" 1.00523087"	" 1.00284450"	"24.66348520"	"23.75496626"	NA	" 0.10683761"	" 0.00000000"	" 0.66296688"	" 0.00000000"	" 2.98785234"	"57.91534027"	" 0.68667335"	" 0.00000000"	" 5.89635643"	NA	" 4.34999342"	" 0.80954614"	" 0.06993007"	" 0.23148147"	NA	" 1.90476190"	"58.45393400"	" 0.00000000"	" 0.15873017"	" 1.451102618"	" 0.24821998"	"12.52153463"	"48.76489555"	" 4.98400671"	" 1.75244395"	" 0.00000000"	" 1.65967826"	" 0.73581113"	" 1.35370958"	"58.11927698"	" 0.60348326"	" 0.29003509"	" 6.69329029"	" 0.00000000"
"FUN_000195"	" 7.47601914"	"23.59830031"	" 0.00000000"	"38.08549543"	" 0.25572944"	"28.35957560"	"76.72276258"	"18.21206287"	" 0.00000000"	" 0.00000000"	"11.37282620"	" 0.00000000"	"19.72710624"	NA	"61.73756079"	NA	NA	" 0.00000000"	" 1.13292756"	"50.13787691"	NA	" 0.43478261"	" 0.00000000"	" 0.84841631"	"69.24229190"	"71.805547510"	"59.06149612"	" 1.07410631"	" 0.10964913"	"39.46392031"	" 0.27193616"	"53.60689619"	" 0.44050083"	"37.95596573"	" 0.30864196"	" 0.50300753"	"11.82699921"	" 0.14619884"	"31.12904394"	NA
