"Predictor","MeanImportance","Type","Feature"
"lncRNA_25406",0.0785044612134344,"lncRNA","OG_00171"
"lncRNA_10227",0.0629210021553595,"lncRNA","OG_00171"
"lncRNA_10228",0.0499975464706677,"lncRNA","OG_00171"
"lncRNA_10230",0.0494503901880617,"lncRNA","OG_00171"
"lncRNA_10234",0.0482975875766954,"lncRNA","OG_00171"
"lncRNA_25758",0.0443359667638746,"lncRNA","OG_00171"
"lncRNA_46345",0.040574897835629,"lncRNA","OG_00171"
"lncRNA_10226",0.0331767661827025,"lncRNA","OG_00171"
"lncRNA_13394",0.0244781972459977,"lncRNA","OG_00171"
"lncRNA_26600",0.0242551352637108,"lncRNA","OG_00171"
"lncRNA_26601",0.0226040872511265,"lncRNA","OG_00171"
"lncRNA_26602",0.0220285759299194,"lncRNA","OG_00171"
"lncRNA_28548",0.0219457263191681,"lncRNA","OG_00171"
"lncRNA_370",0.0208364870610051,"lncRNA","OG_00171"
"lncRNA_12238",0.0195970749089349,"lncRNA","OG_00171"
"lncRNA_13393",0.0190001252155887,"lncRNA","OG_00171"
"lncRNA_3280",0.0174332638572106,"lncRNA","OG_00171"
"lncRNA_854",0.0171531229949363,"lncRNA","OG_00171"
"lncRNA_15162",0.0152740075186214,"lncRNA","OG_00171"
"lncRNA_853",0.0147108958747715,"lncRNA","OG_00171"
"lncRNA_6568",0.0878432896860429,"lncRNA","OG_00297"
"lncRNA_48715",0.0617330317407978,"lncRNA","OG_00297"
"lncRNA_37959",0.0557869287778099,"lncRNA","OG_00297"
"lncRNA_19181",0.0430230073405857,"lncRNA","OG_00297"
"lncRNA_18396",0.032874979735914,"lncRNA","OG_00297"
"lncRNA_13269",0.0282981869410749,"lncRNA","OG_00297"
"lncRNA_25848",0.0273099669079731,"lncRNA","OG_00297"
"lncRNA_18042",0.0219500825227557,"lncRNA","OG_00297"
"lncRNA_21904",0.0205607654553843,"lncRNA","OG_00297"
"lncRNA_26985",0.0185754535328658,"lncRNA","OG_00297"
"lncRNA_25871",0.0181400778274788,"lncRNA","OG_00297"
"lncRNA_53562",0.017416649693245,"lncRNA","OG_00297"
"FUN_020894",0.017183948965414,"Other","OG_00297"
"lncRNA_53941",0.0161367819867189,"lncRNA","OG_00297"
"lncRNA_6604",0.0141500251391857,"lncRNA","OG_00297"
"lncRNA_41028",0.0136600266575986,"lncRNA","OG_00297"
"lncRNA_36657",0.013605596080768,"lncRNA","OG_00297"
"lncRNA_1072",0.0132007185145972,"lncRNA","OG_00297"
"FUN_036941",0.0130353768483786,"Other","OG_00297"
"lncRNA_2881",0.0127651886280001,"lncRNA","OG_00297"
"FUN_008936",0.0598927692409218,"Other","OG_00355"
"lncRNA_32733",0.05260669628667,"lncRNA","OG_00355"
"lncRNA_41393",0.0299905377052056,"lncRNA","OG_00355"
"lncRNA_45382",0.0287209516349389,"lncRNA","OG_00355"
"FUN_028982",0.0275513596604667,"Other","OG_00355"
"lncRNA_375",0.0224860794946601,"lncRNA","OG_00355"
"lncRNA_32233",0.0219935920079606,"lncRNA","OG_00355"
"lncRNA_1079",0.0193898465594578,"lncRNA","OG_00355"
"lncRNA_54482",0.0183924093920714,"lncRNA","OG_00355"
"lncRNA_3104",0.0173329340820836,"lncRNA","OG_00355"
"lncRNA_25512",0.0161674142640555,"lncRNA","OG_00355"
"FUN_023586",0.0155359433456899,"Other","OG_00355"
"lncRNA_45015",0.0154217522800782,"lncRNA","OG_00355"
"lncRNA_14875",0.0149023968439165,"lncRNA","OG_00355"
"lncRNA_28708",0.0145945693882098,"lncRNA","OG_00355"
"FUN_015990",0.0135804359081391,"Other","OG_00355"
"lncRNA_33337",0.0131307905533219,"lncRNA","OG_00355"
"lncRNA_18424",0.0130772851944232,"lncRNA","OG_00355"
"FUN_032440",0.0130652088713862,"Other","OG_00355"
"FUN_027848",0.0126922619354477,"Other","OG_00355"
"lncRNA_8687",0.156229166917717,"lncRNA","OG_00430"
"lncRNA_51163",0.082392888889517,"lncRNA","OG_00430"
"lncRNA_30634",0.0663305539634293,"lncRNA","OG_00430"
"lncRNA_30633",0.0654929011834014,"lncRNA","OG_00430"
"lncRNA_18527",0.0652598677129194,"lncRNA","OG_00430"
"lncRNA_43480",0.0423395466697561,"lncRNA","OG_00430"
"lncRNA_3443",0.0396317470943161,"lncRNA","OG_00430"
"lncRNA_3444",0.03943914854792,"lncRNA","OG_00430"
"FUN_025701",0.033434649873928,"Other","OG_00430"
"FUN_015403",0.0309068166532022,"Other","OG_00430"
"FUN_004373",0.0289229060387631,"Other","OG_00430"
"lncRNA_28643",0.0275522697407082,"lncRNA","OG_00430"
"lncRNA_18555",0.0260091487753749,"lncRNA","OG_00430"
"lncRNA_43112",0.0257688467834542,"lncRNA","OG_00430"
"lncRNA_6459",0.0237178910371245,"lncRNA","OG_00430"
"lncRNA_1223",0.0178287331722396,"lncRNA","OG_00430"
"lncRNA_18536",0.0163278335762247,"lncRNA","OG_00430"
"FUN_026968",0.0153694441659637,"Other","OG_00430"
"lncRNA_368",0.0138140163725313,"lncRNA","OG_00430"
"lncRNA_1222",0.0130939840982119,"lncRNA","OG_00430"
"FUN_022630",0.272042840955441,"Other","OG_00460"
"FUN_001388",0.0666413352216143,"Other","OG_00460"
"lncRNA_41168",0.0593246080325477,"lncRNA","OG_00460"
"lncRNA_44403",0.0494004026637622,"lncRNA","OG_00460"
"lncRNA_20202",0.0300122818904063,"lncRNA","OG_00460"
"lncRNA_20201",0.0279830604890276,"lncRNA","OG_00460"
"lncRNA_372",0.027344618458452,"lncRNA","OG_00460"
"lncRNA_43208",0.0260970176957226,"lncRNA","OG_00460"
"lncRNA_44110",0.0240395926925161,"lncRNA","OG_00460"
"FUN_024002",0.0238769601792573,"Other","OG_00460"
"FUN_028484",0.0233121171496577,"Other","OG_00460"
"FUN_022509",0.0220062385516135,"Other","OG_00460"
"FUN_041497",0.0215730019334453,"Other","OG_00460"
"FUN_016658",0.020368171606054,"Other","OG_00460"
"lncRNA_7208",0.017186690897181,"lncRNA","OG_00460"
"lncRNA_38182",0.016870098243389,"lncRNA","OG_00460"
"lncRNA_301",0.0168082345549849,"lncRNA","OG_00460"
"lncRNA_41588",0.0163902084877469,"lncRNA","OG_00460"
"FUN_035269",0.0154543647932622,"Other","OG_00460"
"lncRNA_44589",0.0150790075059338,"lncRNA","OG_00460"
"FUN_038781",0.0982508559108903,"Other","OG_00514"
"lncRNA_35363",0.037962859227185,"lncRNA","OG_00514"
"FUN_005202",0.034687010311683,"Other","OG_00514"
"lncRNA_7256",0.0300175210544156,"lncRNA","OG_00514"
"lncRNA_36758",0.0230844424883849,"lncRNA","OG_00514"
"lncRNA_30642",0.0186547211077778,"lncRNA","OG_00514"
"lncRNA_46469",0.0170947374802759,"lncRNA","OG_00514"
"lncRNA_38375",0.0138336826087,"lncRNA","OG_00514"
"lncRNA_27085",0.013779605658042,"lncRNA","OG_00514"
"FUN_012661",0.0131845509685867,"Other","OG_00514"
"lncRNA_7282",0.0122891004600811,"lncRNA","OG_00514"
"lncRNA_18482",0.0122017386057199,"lncRNA","OG_00514"
"lncRNA_44419",0.0117753401176425,"lncRNA","OG_00514"
"lncRNA_37109",0.0107391737927652,"lncRNA","OG_00514"
"lncRNA_1003",0.0106510789314511,"lncRNA","OG_00514"
"lncRNA_27116",0.0105497606582414,"lncRNA","OG_00514"
"lncRNA_31120",0.0101970289243561,"lncRNA","OG_00514"
"lncRNA_30189",0.010071421439038,"lncRNA","OG_00514"
"lncRNA_1182",0.00933394400768037,"lncRNA","OG_00514"
"FUN_023413",0.00923565815962413,"Other","OG_00514"
