"Predictor","MeanImportance","Type","Feature"
"lncRNA_9024",0.107112480461986,"lncRNA","OG_00305"
"lncRNA_3897",0.0553163860237084,"lncRNA","OG_00305"
"lncRNA_3859",0.0478760700643403,"lncRNA","OG_00305"
"lncRNA_21477",0.0458697311653944,"lncRNA","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18622.t2",0.0367391811194358,"Other","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16516.t1",0.0359763830307022,"Other","OG_00305"
"gene-Pocillopora_meandrina_HIv1___TS.g27573.t1",0.0309318398425539,"Other","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g6954.t1",0.0301765515482345,"Other","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21061.t1",0.0253406079056148,"Other","OG_00305"
"lncRNA_9854",0.021138763084747,"lncRNA","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27386.t1",0.0210348742180042,"Other","OG_00305"
"lncRNA_26469",0.0205633260217063,"lncRNA","OG_00305"
"lncRNA_26839",0.0197117433457449,"lncRNA","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26015.t1",0.0177207584941024,"Other","OG_00305"
"lncRNA_12208",0.0174265307471638,"lncRNA","OG_00305"
"lncRNA_20910",0.0160966074676398,"lncRNA","OG_00305"
"lncRNA_21216",0.0158129096894155,"lncRNA","OG_00305"
"lncRNA_8157",0.0155556914143649,"lncRNA","OG_00305"
"lncRNA_18401",0.0145798182229559,"lncRNA","OG_00305"
"gene-Pocillopora_meandrina_HIv1___TS.g29759.t1a",0.0140617144957471,"Other","OG_00305"
"lncRNA_1287",0.18097302461878,"lncRNA","OG_00314"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15745.t2",0.0872959466931223,"Other","OG_00314"
"lncRNA_1288",0.0804047535330068,"lncRNA","OG_00314"
"lncRNA_13650",0.0714776632646601,"lncRNA","OG_00314"
"lncRNA_4372",0.0687967550012177,"lncRNA","OG_00314"
"gene-Pocillopora_meandrina_HIv1___TS.g26774.t1",0.0636977126965158,"Other","OG_00314"
