"Gene","N_stable","Top_predictor","Max_Selection_Prob","Mean_Selection_Prob"
"OG_15303",95,"lncRNA_1108",1,0.813684210526316
"OG_10004",80,"lncRNA_7607",1,0.82375
"OG_03780",73,"lncRNA_3217",1,0.761643835616438
"OG_14623",72,"lncRNA_25931",1,0.775
"OG_01452",71,"lncRNA_2527",1,0.759154929577465
"OG_06875",71,"lncRNA_243",1,0.832394366197183
"OG_08271",69,"lncRNA_188",1,0.805797101449275
"OG_11831",68,"lncRNA_914",1,0.798529411764706
"OG_00643",66,"lncRNA_1053",1,0.792424242424242
"OG_13792",65,"lncRNA_4178",1,0.775384615384615
"OG_00171",64,"lncRNA_370",1,0.8421875
"OG_08347",64,"lncRNA_2924",1,0.8015625
"OG_13197",64,"lncRNA_375",1,0.8046875
"OG_13201",63,"lncRNA_13343",1,0.744444444444444
"OG_01317",62,"lncRNA_25936",1,0.793548387096774
"OG_09024",62,"lncRNA_3110",1,0.791935483870968
"OG_14038",62,"lncRNA_3284",1,0.795161290322581
"OG_03267",60,"lncRNA_4465",1,0.775
"OG_09942",60,"lncRNA_9260",1,0.815
"OG_14505",60,"lncRNA_1129",1,0.76
"OG_09455",59,"lncRNA_9200",1,0.750847457627119
"OG_14626",59,"lncRNA_973",1,0.811864406779661
"OG_05210",58,"lncRNA_6458",1,0.803448275862069
"OG_09896",58,"lncRNA_10577",1,0.779310344827586
"OG_06931",57,"lncRNA_499",1,0.728070175438596
"OG_07892",57,"lncRNA_497",1,0.770175438596491
"OG_10355",57,"lncRNA_237",1,0.740350877192982
"OG_12125",57,"lncRNA_6940",1,0.803508771929825
"OG_14804",57,"lncRNA_364",1,0.807017543859649
"OG_02146",56,"lncRNA_237",1,0.794642857142857
"OG_02317",56,"lncRNA_8796",1,0.75
"OG_02408",56,"lncRNA_4618",1,0.780357142857143
"OG_03451",56,"lncRNA_4506",1,0.739285714285714
"OG_10475",56,"lncRNA_3416",1,0.746428571428571
"OG_01155",55,"lncRNA_1146",1,0.747272727272727
"OG_02163",55,"lncRNA_117",1,0.796363636363636
"OG_03269",55,"lncRNA_1053",1,0.818181818181818
"OG_06198",55,"lncRNA_3632",1,0.778181818181818
"OG_06279",55,"lncRNA_13752",1,0.783636363636364
"OG_07042",55,"lncRNA_9272",1,0.761818181818182
"OG_07508",55,"lncRNA_475",1,0.774545454545455
"OG_09596",55,"lncRNA_099",1,0.823636363636364
"OG_13484",55,"lncRNA_9185",1,0.747272727272727
"OG_03298",54,"lncRNA_4542",1,0.818518518518519
"OG_12785",54,"lncRNA_15327",1,0.738888888888889
"OG_14685",54,"lncRNA_3015",1,0.766666666666667
"OG_02666",53,"lncRNA_499",1,0.788679245283019
"OG_10007",53,"lncRNA_2991",1,0.781132075471698
"OG_01023",52,"lncRNA_4048",1,0.769230769230769
"OG_05250",52,"lncRNA_4343",1,0.790384615384615
"OG_10480",52,"lncRNA_1052",1,0.836538461538462
"OG_14382",52,"lncRNA_2691",1,0.85
"OG_14407",52,"lncRNA_8539",1,0.796153846153846
"OG_01758",51,"lncRNA_6596",1,0.754901960784314
"OG_04115",51,"lncRNA_854",1,0.815686274509804
"OG_04238",51,"lncRNA_3028",1,0.807843137254902
"OG_07404",51,"lncRNA_3397",1,0.749019607843137
"OG_11794",51,"lncRNA_970",1,0.754901960784314
"OG_01147",50,"lncRNA_4201",1,0.856
"OG_01727",50,"lncRNA_205",1,0.784
"OG_02124",50,"lncRNA_303",1,0.808
"OG_07394",50,"lncRNA_8974",1,0.774
"OG_11870",50,"lncRNA_1954",1,0.804
"OG_11964",50,"lncRNA_10225",1,0.768
"OG_01117",49,"lncRNA_7364",1,0.797959183673469
"OG_08497",49,"lncRNA_237",1,0.851020408163265
"OG_08622",49,"lncRNA_11999",1,0.746938775510204
"OG_04694",48,"lncRNA_8684",1,0.766666666666667
"OG_06599",48,"lncRNA_7884",1,0.808333333333333
"OG_06998",48,"lncRNA_7166",1,0.7625
"OG_10523",48,"lncRNA_214",1,0.766666666666667
"OG_12611",48,"lncRNA_4371",1,0.770833333333333
"OG_13050",48,"lncRNA_3028",1,0.770833333333333
"OG_05010",47,"lncRNA_1266",1,0.808510638297872
"OG_05366",47,"lncRNA_18042",1,0.731914893617021
"OG_06592",47,"lncRNA_4364",1,0.761702127659574
"OG_10509",47,"lncRNA_12494",1,0.776595744680851
"OG_12568",47,"lncRNA_1032",1,0.791489361702128
"OG_09424",46,"lncRNA_1108",1,0.778260869565217
"OG_11234",46,"lncRNA_12187",1,0.75
"OG_11419",46,"lncRNA_17882",1,0.771739130434783
"OG_09597",45,"lncRNA_14674",1,0.766666666666667
"OG_10516",45,"lncRNA_2491",1,0.8
"OG_12050",45,"lncRNA_12182",1,0.768888888888889
"OG_12107",45,"lncRNA_932",1,0.802222222222222
"OG_12616",45,"lncRNA_1052",1,0.766666666666667
"OG_02088",44,"lncRNA_9238",1,0.754545454545455
"OG_02102",44,"lncRNA_4151",1,0.743181818181818
"OG_04538",44,"lncRNA_452",1,0.793181818181818
"OG_13886",44,"lncRNA_2864",1,0.761363636363636
"OG_01489",43,"lncRNA_3539",1,0.772093023255814
"OG_01747",43,"lncRNA_48905",1,0.725581395348837
"OG_02190",43,"lncRNA_15079",1,0.783720930232558
"OG_05498",43,"lncRNA_13469",1,0.753488372093023
"OG_12878",43,"lncRNA_4297",1,0.841860465116279
"OG_13091",43,"lncRNA_105",1,0.844186046511628
"OG_00297",42,"lncRNA_6568",1,0.780952380952381
"OG_01630",42,"lncRNA_13290",1,0.795238095238095
"OG_01724",42,"lncRNA_8596",1,0.797619047619048
"OG_12888",42,"lncRNA_1354",1,0.828571428571429
"OG_13154",42,"lncRNA_6562",1,0.783333333333333
"OG_02070",41,"lncRNA_8195",1,0.729268292682927
"OG_03484",41,"lncRNA_8684",1,0.751219512195122
"OG_06670",41,"lncRNA_2356",1,0.780487804878049
"OG_07772",41,"lncRNA_4441",1,0.790243902439024
"OG_08639",41,"lncRNA_8709",1,0.760975609756098
"OG_10205",41,"lncRNA_1986",1,0.726829268292683
"OG_11429",41,"lncRNA_13659",1,0.768292682926829
"OG_12046",41,"lncRNA_3648",1,0.804878048780488
"OG_00460",40,"lncRNA_301",1,0.7825
"OG_01486",40,"lncRNA_451",1,0.77
"OG_04651",40,"lncRNA_1052",1,0.7875
"OG_05121",40,"lncRNA_3632",1,0.795
"OG_05303",40,"lncRNA_1195",1,0.825
"OG_07150",40,"lncRNA_10369",1,0.8225
"OG_08432",40,"lncRNA_118",1,0.855
"OG_09796",40,"lncRNA_4112",1,0.81
"OG_12165",40,"lncRNA_219",1,0.765
"OG_12496",40,"lncRNA_27837",1,0.795
"OG_13191",40,"lncRNA_37974",1,0.7475
"OG_13465",40,"lncRNA_6540",1,0.7825
"OG_02690",39,"lncRNA_40207",1,0.712820512820513
"OG_03288",39,"lncRNA_3441",1,0.746153846153846
"OG_05514",39,"lncRNA_20183",1,0.712820512820513
"OG_11156",39,"lncRNA_347",1,0.758974358974359
"OG_00430",38,"lncRNA_368",1,0.781578947368421
"OG_01475",38,"lncRNA_282",1,0.8
"OG_02090",38,"lncRNA_3363",1,0.715789473684211
"OG_03330",38,"lncRNA_376",1,0.760526315789474
"OG_09423",38,"lncRNA_10369",1,0.810526315789474
"OG_14066",38,"lncRNA_20100",1,0.813157894736842
"OG_00807",37,"lncRNA_54403",1,0.72972972972973
"OG_03268",37,"lncRNA_1091",1,0.837837837837838
"OG_07958",37,"lncRNA_44404",1,0.740540540540541
"OG_08663",37,"lncRNA_41375",1,0.751351351351351
"OG_11984",37,"lncRNA_6559",1,0.786486486486486
"OG_12880",37,"lncRNA_3270",1,0.802702702702703
"OG_01277",36,"lncRNA_3220",1,0.852777777777778
"OG_02012",36,"lncRNA_3607",1,0.775
"OG_02358",36,"lncRNA_4507",1,0.802777777777778
"OG_04247",36,"lncRNA_28600",1,0.752777777777778
"OG_06119",36,"lncRNA_7126",1,0.788888888888889
"OG_06181",36,"lncRNA_8796",1,0.761111111111111
"OG_07000",36,"lncRNA_14797",1,0.816666666666667
"OG_08856",36,"lncRNA_457",1,0.727777777777778
"OG_14037",36,"lncRNA_4121",1,0.755555555555556
"OG_15544",36,"lncRNA_7657",1,0.775
"OG_06955",35,"lncRNA_217",1,0.762857142857143
"OG_09598",35,"lncRNA_17887",1,0.697142857142857
"OG_10818",35,"lncRNA_7679",1,0.817142857142857
"OG_11365",35,"lncRNA_7680",1,0.757142857142857
"OG_00843",34,"lncRNA_4088",0.9,0.723529411764706
"OG_03628",34,"lncRNA_3681",1,0.797058823529412
"OG_10450",34,"lncRNA_1106",1,0.711764705882353
"OG_11813",34,"lncRNA_3849",1,0.761764705882353
"OG_14276",34,"lncRNA_8843",1,0.782352941176471
"OG_14563",34,"lncRNA_3122",1,0.797058823529412
"OG_14588",34,"lncRNA_208",1,0.811764705882353
"OG_14615",34,"lncRNA_12018",1,0.744117647058824
"OG_05637",33,"lncRNA_3689",1,0.787878787878788
"OG_06655",33,"lncRNA_1091",1,0.751515151515151
"OG_07330",33,"lncRNA_10579",1,0.748484848484849
"OG_10008",33,"lncRNA_27011",1,0.715151515151515
"OG_10812",33,"lncRNA_46001",1,0.718181818181818
"OG_11038",33,"lncRNA_10657",1,0.721212121212121
"OG_11957",33,"lncRNA_10735",1,0.778787878787879
"OG_14710",33,"lncRNA_15834",1,0.790909090909091
"OG_04514",32,"lncRNA_4201",1,0.7375
"OG_08545",32,"lncRNA_28817",1,0.771875
"OG_11074",32,"lncRNA_6767",1,0.871875
"OG_11307",32,"lncRNA_13827",1,0.740625
"OG_12371",32,"lncRNA_7742",1,0.81875
"OG_13066",32,"lncRNA_3028",1,0.759375
"OG_05952",31,"lncRNA_475",1,0.803225806451613
"OG_07331",31,"lncRNA_7208",1,0.767741935483871
"OG_07641",31,"lncRNA_10076",1,0.764516129032258
"OG_08914",31,"lncRNA_37484",1,0.738709677419355
"OG_12331",31,"lncRNA_3027",1,0.754838709677419
"OG_15070",31,"lncRNA_48890",1,0.693548387096774
"OG_01611",30,"lncRNA_4563",1,0.806666666666667
"OG_02220",30,"lncRNA_44511",1,0.703333333333333
"OG_04331",30,"lncRNA_30845",1,0.72
"OG_06004",30,"lncRNA_296",1,0.75
"OG_09106",30,"lncRNA_974",1,0.783333333333333
"OG_11852",30,"lncRNA_13721",1,0.75
"OG_12369",30,"lncRNA_131",1,0.813333333333333
"OG_03429",29,"lncRNA_9302",1,0.768965517241379
"OG_08143",29,"lncRNA_372",1,0.810344827586207
"OG_08878",29,"lncRNA_38216",1,0.768965517241379
"OG_11360",29,"lncRNA_23793",1,0.824137931034483
"OG_15137",29,"lncRNA_9298",1,0.786206896551724
"OG_09174",28,"lncRNA_6460",1,0.796428571428571
"OG_09657",28,"lncRNA_28504",0.9,0.703571428571429
"OG_11381",28,"lncRNA_17541",1,0.7
"OG_04547",27,"lncRNA_3220",1,0.774074074074074
"OG_11812",27,"lncRNA_12018",0.9,0.67037037037037
"OG_11839",27,"lncRNA_975",1,0.785185185185185
"OG_12320",27,"lncRNA_4073",1,0.803703703703704
"OG_13153",27,"lncRNA_12445",1,0.8
"OG_01981",26,"lncRNA_14848",1,0.769230769230769
"OG_04723",26,"lncRNA_13425",1,0.726923076923077
"OG_14540",26,"lncRNA_8601",1,0.753846153846154
"OG_15375",26,"lncRNA_7435",1,0.738461538461539
"OG_03270",25,"lncRNA_12223",1,0.792
