"Gene","N_stable","Top_predictor","Max_Selection_Prob","Mean_Selection_Prob"
"OG_01317",50,"lncRNA_45644",1,0.7915
"OG_00171",47,"lncRNA_25406",1,0.822127659574468
"OG_10355",44,"lncRNA_7329",1,0.765568181818182
"OG_01117",43,"lncRNA_14661",1,0.798255813953488
"OG_13792",41,"lncRNA_7329",1,0.773292682926829
"OG_01023",40,"lncRNA_26786",1,0.793125
"OG_01147",39,"lncRNA_18170",1,0.837051282051282
"OG_10509",36,"lncRNA_12494",1,0.825138888888889
"OG_10516",36,"lncRNA_4390",1,0.826944444444444
"OG_10523",35,"lncRNA_214",1,0.832142857142857
"OG_00843",32,"lncRNA_30752",0.975,0.7428125
"OG_00297",31,"lncRNA_6568",0.975,0.758870967741936
"OG_01155",30,"lncRNA_6423",0.955,0.8
"OG_01277",30,"lncRNA_3220",1,0.822666666666667
"OG_00430",29,"lncRNA_8687",1,0.794827586206897
"OG_00460",27,"lncRNA_44403",0.985,0.807407407407407
"OG_14012",19,"lncRNA_48736",0.995,0.832105263157895
