"Predictor","MeanImportance","Type","Selection_Prob","Stable","Mean_Abs_Coef","Stability_Label","Feature"
"lncRNA_3600",0.0820778964359695,"lncRNA",0.99,TRUE,0.0717757871058378,"***","OG_00246"
"lncRNA_7338",0.0487896071798676,"lncRNA",0.38,FALSE,0.02724561481968,"","OG_00246"
"lncRNA_19527",0.0485726285872416,"lncRNA",0.81,TRUE,0.0324296709463121,"**","OG_00246"
"lncRNA_20577",0.0482485968538744,"lncRNA",0.93,TRUE,0.0626322142856141,"***","OG_00246"
"gene-Peve_00034273",0.0412016869511837,"Other",0.455,FALSE,0.0265211173835554,"","OG_00246"
"lncRNA_9887",0.040273492843307,"lncRNA",0.99,TRUE,0.0458997845645728,"***","OG_00246"
"lncRNA_12335",0.0402386085215613,"lncRNA",0.76,TRUE,0.0594151766568432,"**","OG_00246"
"lncRNA_21794",0.0372406355907368,"lncRNA",0.98,TRUE,0.0342301497551364,"***","OG_00246"
"lncRNA_16195",0.0369896072665668,"lncRNA",0.985,TRUE,0.0357610904813404,"***","OG_00246"
"gene-Peve_00037720",0.0294623941418804,"Other",0.265,FALSE,0.0105067915130338,"","OG_00246"
"lncRNA_7339",0.0278255057522951,"lncRNA",0.235,FALSE,0.0163328172717367,"","OG_00246"
"lncRNA_4382",0.0262432632098404,"lncRNA",0.73,TRUE,0.0418681397518531,"*","OG_00246"
"lncRNA_15828",0.0234940870371259,"lncRNA",0.895,TRUE,0.0246380362584978,"**","OG_00246"
"lncRNA_12332",0.0202474172051958,"lncRNA",0.665,TRUE,0.0198886721997646,"*","OG_00246"
"lncRNA_7808",0.019443241828486,"lncRNA",0.815,TRUE,0.0194933160741236,"**","OG_00246"
"lncRNA_7811",0.0193228249028759,"lncRNA",0.805,TRUE,0.0192679046314374,"**","OG_00246"
"lncRNA_16301",0.0189773981095426,"lncRNA",0.81,TRUE,0.0183644637118436,"**","OG_00246"
"lncRNA_6573",0.0184938412596084,"lncRNA",0.52,FALSE,0.0200102275764141,"","OG_00246"
"lncRNA_1121",0.0180997226352903,"lncRNA",0.63,TRUE,0.016540482779147,"*","OG_00246"
"lncRNA_20194",0.0174082611115966,"lncRNA",0.71,TRUE,0.0205473072019824,"*","OG_00246"
"lncRNA_16886",0.0388147060617531,"lncRNA",0.845,TRUE,0.039647267913405,"**","OG_00355"
"lncRNA_23552",0.0367347936752635,"lncRNA",0.995,TRUE,0.0348443347241416,"***","OG_00355"
"lncRNA_9814",0.0269490304492886,"lncRNA",0.625,TRUE,0.0166122179379107,"*","OG_00355"
"lncRNA_22639",0.0224743727118528,"lncRNA",0.74,TRUE,0.0168420836126778,"*","OG_00355"
"lncRNA_16405",0.0202863613206062,"lncRNA",0.915,TRUE,0.0198243528746082,"***","OG_00355"
"lncRNA_16404",0.0190545245374009,"lncRNA",0.89,TRUE,0.0184979859117366,"**","OG_00355"
"lncRNA_9816",0.0155396969687601,"lncRNA",0.455,FALSE,0.0100631674476571,"","OG_00355"
"gene-Peve_00031638",0.0152170340847487,"Other",0.06,FALSE,0.0011170055730489,"","OG_00355"
"lncRNA_14418",0.0140058192237044,"lncRNA",0.65,TRUE,0.0230827091051686,"*","OG_00355"
"lncRNA_5669",0.0139631318985059,"lncRNA",0.895,TRUE,0.0162734848237334,"**","OG_00355"
"lncRNA_22023",0.0132357441273133,"lncRNA",0.94,TRUE,0.013658611001698,"***","OG_00355"
"lncRNA_1556",0.0130472448015813,"lncRNA",0.83,TRUE,0.0191639105390956,"**","OG_00355"
"lncRNA_15651",0.0127758894464017,"lncRNA",0.805,TRUE,0.0175951652694356,"**","OG_00355"
"lncRNA_18574",0.0120764095054215,"lncRNA",0.865,TRUE,0.0196967998614881,"**","OG_00355"
"lncRNA_23255",0.0109418802686909,"lncRNA",0.465,FALSE,0.00773253179552305,"","OG_00355"
"lncRNA_18562",0.0107431297762404,"lncRNA",0.87,TRUE,0.0146328945564128,"**","OG_00355"
"gene-Peve_00010582",0.0103194055206235,"Other",0.51,FALSE,0.0117599985119871,"","OG_00355"
"gene-Peve_00041797",0.0102572048834496,"Other",0.09,FALSE,0.00391849882708846,"","OG_00355"
