group_id,gene_id,POR.216.TP1,POR.216.TP2,POR.216.TP3,POR.216.TP4,POR.236.TP1,POR.236.TP2,POR.245.TP1,POR.245.TP2,POR.245.TP3,POR.245.TP4,POR.260.TP1,POR.260.TP2,POR.260.TP3,POR.260.TP4,POR.262.TP1,POR.262.TP2,POR.262.TP3,POR.262.TP4,POR.69.TP1,POR.69.TP2,POR.69.TP3,POR.69.TP4,POR.72.TP1,POR.72.TP2,POR.72.TP3,POR.72.TP4,POR.73.TP1,POR.73.TP2,POR.73.TP3,POR.73.TP4,POR.74.TP1,POR.74.TP2,POR.74.TP3,POR.74.TP4,POR.83.TP1,POR.83.TP2,POR.83.TP3,POR.83.TP4
OG_00403,gene-Peve_00037014,2968,370,120,220,256,132,629,158,116,508,428,164,178,263,557,212,190,162,1687,278,121,1401,941,1714,1066,2129,455,385,80,302,778,408,224,421,768,836,130,648
OG_02872,gene-Peve_00002208,1113,1080,1005,821,1617,691,1312,564,974,4763,1703,712,1160,1240,1198,1990,1154,734,820,1417,1040,432,607,599,1103,714,2194,1285,399,770,1316,448,1390,424,1112,769,528,763
OG_00858,gene-Peve_00029608,269,254,124,55,207,92,181,105,203,163,364,68,91,110,256,180,181,154,252,194,241,212,212,285,470,388,345,114,157,148,211,98,211,117,325,128,204,180
OG_04635,gene-Peve_00021682,61,639,303,113,612,286,403,257,129,126,564,184,263,347,183,519,674,615,164,347,136,54,192,88,128,211,56,55,248,95,164,111,271,126,198,73,63,62
OG_05914,gene-Peve_00044187,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_02403,gene-Peve_00002709,1199,1515,1181,558,1364,689,2079,981,614,1161,1664,708,875,768,1065,946,1329,1012,1209,936,634,658,1372,1888,1567,2257,783,481,623,582,1063,506,979,499,1274,1186,759,734
OG_04243,gene-Peve_00003282,97,216,412,89,467,171,93,86,106,275,82,57,75,59,82,147,137,124,44,47,52,19,66,118,65,148,83,81,90,94,158,55,240,45,213,46,90,51
OG_07641,gene-Peve_00021291,1876,7496,3425,2176,4254,1616,4142,2220,4635,2087,3485,1817,3908,2814,2226,7226,7532,5122,1926,2545,1117,1009,2238,2547,2017,4007,881,833,1257,1250,2680,1239,6215,1195,2026,1895,1597,1036
OG_00314,gene-Peve_00029370,340,7533,1948,1097,1658,1566,1593,1893,2431,1868,1221,939,1295,1359,837,2155,3833,3675,853,1235,788,299,1426,2383,1143,4214,307,191,1344,1272,1553,1612,2264,2753,1437,2149,1866,677
OG_01767,gene-Peve_00043808,44,118,28,79,55,18,134,14,26,75,117,17,87,86,89,123,76,17,16,64,16,7,86,38,65,69,11,25,25,40,48,57,93,10,38,19,26,0
OG_07188,gene-Peve_00015963,58,32,16,0,43,20,48,22,5,0,56,8,18,12,59,17,34,13,19,49,0,0,0,68,11,72,0,0,4,18,17,0,8,19,10,30,7,0
OG_02499,gene-Peve_00009093,561,301,257,110,517,155,821,96,205,265,527,176,292,203,683,324,380,204,414,502,159,316,245,590,331,648,264,438,88,511,421,95,283,210,210,536,170,323
OG_03276,gene-Peve_00022447,821,287,187,145,273,122,402,147,111,207,344,123,145,239,358,305,388,161,334,177,142,155,523,427,317,321,248,79,77,168,396,123,174,158,218,367,193,203
OG_03287,gene-Peve_00022435,568,458,218,117,408,161,293,135,112,370,625,258,184,219,158,467,418,244,886,270,255,340,402,419,454,609,382,189,47,121,319,171,265,113,328,195,261,258
OG_03738,gene-Peve_00024407,2425,990,620,793,1026,511,1628,278,347,860,1522,537,852,879,1060,1184,1031,634,1216,804,495,603,1762,1459,1113,1536,643,396,231,743,1253,558,759,359,1152,1016,364,706
OG_06641,gene-Peve_00017913,303,150,88,125,262,119,284,75,76,212,341,123,110,144,175,244,215,136,291,176,97,112,155,329,168,407,160,112,39,129,160,69,148,88,196,126,66,137
OG_07361,gene-Peve_00005280,1331,952,509,1370,897,289,4014,251,749,477,2890,557,2041,2257,3475,1485,807,587,302,2183,163,111,363,640,897,546,317,313,117,1755,2684,491,1352,494,637,1513,173,276
OG_04994,gene-Peve_00025716,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0
OG_05150,gene-Peve_00019225,87,110,40,12,16,23,146,25,24,25,116,49,28,47,61,243,141,15,120,91,22,17,122,213,85,201,40,10,16,24,179,118,95,7,87,85,23,19
OG_10149,gene-Peve_00011556,201,45,50,58,50,49,118,34,9,212,353,54,76,102,118,248,130,94,144,77,103,77,170,208,200,294,154,43,14,48,193,135,80,56,112,88,76,69
OG_01108,gene-Peve_00024470,0,0,0,7,58,0,24,0,14,5,17,0,28,34,18,41,12,7,3,14,20,0,0,0,3,22,0,0,0,38,0,24,25,4,22,11,0,0
OG_00150,gene-Peve_00041271,997,1171,407,306,1057,538,843,495,208,1016,1413,424,489,703,953,1218,796,625,673,584,450,363,970,1093,726,1145,335,277,195,218,962,377,646,299,538,697,381,612
