Coords	Name	MIRNA	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A7-fastp-adapters-polyG-31bp-merged_condensed	1B3-fastp-adapters-polyG-31bp-merged_condensed	1B4-fastp-adapters-polyG-31bp-merged_condensed	1B6-fastp-adapters-polyG-31bp-merged_condensed	1B7-fastp-adapters-polyG-31bp-merged_condensed	1C11-fastp-adapters-polyG-31bp-merged_condensed	1C12-fastp-adapters-polyG-31bp-merged_condensed	1C5-fastp-adapters-polyG-31bp-merged_condensed	1C6-fastp-adapters-polyG-31bp-merged_condensed	1D12-fastp-adapters-polyG-31bp-merged_condensed	1D1-fastp-adapters-polyG-31bp-merged_condensed	1D2-fastp-adapters-polyG-31bp-merged_condensed	1D5-fastp-adapters-polyG-31bp-merged_condensed	1D7-fastp-adapters-polyG-31bp-merged_condensed	1E7-fastp-adapters-polyG-31bp-merged_condensed	1F10-fastp-adapters-polyG-31bp-merged_condensed	1F12-fastp-adapters-polyG-31bp-merged_condensed	1F1-fastp-adapters-polyG-31bp-merged_condensed	1F3-fastp-adapters-polyG-31bp-merged_condensed	1F6-fastp-adapters-polyG-31bp-merged_condensed	1F7-fastp-adapters-polyG-31bp-merged_condensed	1G10-fastp-adapters-polyG-31bp-merged_condensed	1G1-fastp-adapters-polyG-31bp-merged_condensed	1G3-fastp-adapters-polyG-31bp-merged_condensed	1H1-fastp-adapters-polyG-31bp-merged_condensed	1H2-fastp-adapters-polyG-31bp-merged_condensed	1H3-fastp-adapters-polyG-31bp-merged_condensed	2A3-fastp-adapters-polyG-31bp-merged_condensed	2B1-fastp-adapters-polyG-31bp-merged_condensed	2D1-fastp-adapters-polyG-31bp-merged_condensed	2D3-fastp-adapters-polyG-31bp-merged_condensed	2E1-fastp-adapters-polyG-31bp-merged_condensed	2E3-fastp-adapters-polyG-31bp-merged_condensed	2F2-fastp-adapters-polyG-31bp-merged_condensed	2H1-fastp-adapters-polyG-31bp-merged_condensed	2H2-fastp-adapters-polyG-31bp-merged_condensed
Porites_evermani_scaffold_1:406125-406734	Cluster_1	N	6	71	0	65	12	1	0	12	1050	0	3	11	780	111	110	2	110	322	8	17	182	0	148	443	6	20	8	0	0	99	81	0	5	0	0	0	16
Porites_evermani_scaffold_1:409836-410269	Cluster_2	N	2	51	0	19	5	2	0	6	418	0	2	4	623	48	55	1	73	155	5	22	146	2	134	608	8	24	8	2	0	47	70	0	7	0	0	0	11
Porites_evermani_scaffold_1:465240-465668	Cluster_3	N	7	8	0	16	9	0	0	3	58	0	0	4	71	28	36	0	10	43	0	115	52	6	46	56	1	30	4	13	0	42	19	0	33	0	0	0	58
Porites_evermani_scaffold_1:468473-468950	Cluster_4	N	1100	24555	0	7793	2633	71	0	483	11914	21	233	1175	5165	7328	9263	87	1429	16998	1613	34017	14444	1571	9904	11511	742	3514	1928	668	1	15223	28446	1	15724	0	25	1	40237
Porites_evermani_scaffold_1:486441-486868	Cluster_5	N	5	1	0	12	0	2	0	1	42	0	0	2	58	7	5	0	9	60	0	43	20	2	9	95	0	0	0	0	0	17	16	0	3	0	0	0	5
Porites_evermani_scaffold_1:534428-534853	Cluster_6	N	4	48	0	24	38	0	0	3	37	0	1	11	17	37	49	0	7	10	1	258	23	18	60	62	3	1	24	21	0	3	36	0	136	0	0	0	40
Porites_evermani_scaffold_1:624380-624808	Cluster_7	N	0	9	0	2	0	0	0	0	0	0	0	0	98	0	4	0	0	67	0	9	1	0	4	0	0	0	0	0	0	126	1	0	0	0	0	0	0
Porites_evermani_scaffold_1:729098-729587	Cluster_8	N	40	228	1	275	228	4	0	33	311	6	0	149	381	769	719	3	56	356	3	731	1314	111	555	720	65	36	9	62	0	92	605	0	1583	0	29	0	1028
Porites_evermani_scaffold_1:729922-730414	Cluster_9	N	35	525	2	280	105	0	0	10	354	14	0	263	516	611	638	6	36	308	3	454	779	37	768	727	45	50	29	22	0	143	951	0	1161	0	6	0	869
Porites_evermani_scaffold_1:731054-731815	Cluster_10	N	30	716	0	273	357	7	0	35	553	6	14	475	552	603	572	0	130	545	7	777	1240	100	1858	937	77	63	40	239	0	193	737	0	1628	0	33	0	815
Porites_evermani_scaffold_1:732817-733581	Cluster_11	N	698	5708	3	7006	4528	30	0	480	10331	26	42	2099	15796	13120	7469	69	3516	12977	137	15749	11104	1346	12024	13305	887	744	695	1136	0	1662	11731	0	18195	0	95	0	12406
Porites_evermani_scaffold_1:734480-735378	Cluster_12	N	306	7583	5	5362	5312	49	0	220	2893	56	64	4198	4981	13495	8891	53	891	3263	112	13832	17047	2113	14847	6114	595	603	521	2912	1	1585	10286	0	16690	0	112	1	14434
Porites_evermani_scaffold_1:735951-736440	Cluster_13	N	111	811	1	493	446	17	0	54	1027	9	19	304	1337	1073	1131	27	183	1063	24	3805	1910	447	1266	1559	182	219	256	342	0	282	1819	0	4100	0	13	0	1077
Porites_evermani_scaffold_1:737031-737502	Cluster_14	N	107	959	1	1797	826	5	0	177	2302	12	31	1021	2849	2080	1808	23	615	3703	31	4442	3174	530	2507	3041	446	302	251	236	0	794	2484	0	3817	0	19	0	3274
Porites_evermani_scaffold_1:738168-738674	Cluster_15	N	65	640	0	1080	982	12	0	108	1366	33	8	690	1579	2366	1573	6	396	1495	16	2290	1842	241	4334	1710	538	164	215	407	0	342	2710	0	8695	0	66	0	2260
Porites_evermani_scaffold_1:782069-782504	Cluster_16	N	38	0	0	29	3	0	0	5	2	0	1	0	352	57	36	1	2	94	0	20	2	5	27	158	3	0	0	0	0	75	12	0	10	0	0	0	23
Porites_evermani_scaffold_1:783727-784201	Cluster_17	N	83	36	0	182	6	5	0	5	102	0	0	6	268	152	188	0	47	414	1	367	24	6	158	117	7	4	0	1	0	303	92	0	22	0	0	0	231
Porites_evermani_scaffold_1:784292-785151	Cluster_18	N	116	32	0	152	13	0	0	18	328	0	1	5	1179	84	76	0	212	841	1	167	65	1	91	663	5	0	0	0	0	273	19	0	5	0	0	0	142
Porites_evermani_scaffold_1:804076-804505	Cluster_19	N	1	0	0	40	0	0	0	9	113	0	0	0	6	3	1	0	3	282	2	13	15	0	32	31	0	0	0	0	0	137	0	0	0	0	0	0	0
Porites_evermani_scaffold_1:987397-987824	Cluster_20	N	12	4	0	180	1	1	0	7	12	0	1	16	9	10	2	1	22	268	0	78	157	2	10	59	4	6	0	1	0	62	2	0	3	0	0	0	0
Porites_evermani_scaffold_1:1038913-1039338	Cluster_21	N	79	5	0	5	1	0	0	2	11	0	0	0	85	7	15	0	5	7	0	2	56	2	8	64	1	4	0	0	0	5	1	0	11	0	0	0	6
Porites_evermani_scaffold_1:1073853-1074802	Cluster_22	N	200	314	0	8	1	0	0	3	2389	1	0	0	587	11	315	2	4	135	7	868	894	38	537	3155	16	0	11	6	0	18	6	0	183	0	0	0	752
Porites_evermani_scaffold_1:1074824-1075565	Cluster_23	N	177	256	0	8	0	0	0	1	1305	0	0	0	286	5	162	0	13	42	12	845	312	45	244	2638	8	2	34	10	0	13	4	0	352	0	0	0	698
Porites_evermani_scaffold_1:1109691-1110119	Cluster_24	N	2	77	1	12	4	2	0	1	19	0	2	0	14	55	3	9	12	26	0	122	60	6	19	10	1	3	6	8	0	20	37	0	0	0	0	0	22
Porites_evermani_scaffold_1:1183814-1184241	Cluster_25	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	342	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Porites_evermani_scaffold_1:1340652-1341369	Cluster_26	N	0	391	0	122	0	5	0	0	1	5	2	0	469	0	0	4	0	1	0	0	131	0	4982	0	0	0	37	85	5	0	0	2	7	0	4	5	1
Porites_evermani_scaffold_1:1404250-1404342	Cluster_27	Y	456	1436	1	301	163	21	0	95	4904	1	70	119	2590	1391	759	8	484	3162	41	5934	3894	285	664	3862	37	139	31	62	0	1125	2249	0	990	0	1	0	1459
Porites_evermani_scaffold_1:1679985-1680396	Cluster_28	N	0	50	0	31	4	0	0	5	38	0	0	40	16	10	44	1	1	17	0	117	25	12	26	39	0	1	0	7	0	8	37	0	104	0	0	0	40
Porites_evermani_scaffold_1:1683098-1683542	Cluster_29	N	0	65	0	22	7	0	0	2	17	0	0	35	3	24	40	2	0	7	4	97	14	17	20	22	8	11	0	18	0	9	38	0	247	0	1	0	56
Porites_evermani_scaffold_2:7724-8149	Cluster_30	N	0	0	0	43	0	0	0	0	8	0	0	0	469	15	0	0	6	33	0	17	121	0	0	5	0	0	0	0	0	40	0	0	0	0	0	0	0
Porites_evermani_scaffold_2:222727-223154	Cluster_31	N	111	5	0	10	3	0	0	2	157	0	0	0	23	0	11	2	9	5	0	2	37	2	12	14	2	2	2	2	0	3	17	0	44	0	0	0	53
Porites_evermani_scaffold_2:240214-240759	Cluster_32	N	19	314	0	450	519	2	0	54	748	3	0	294	689	638	385	2	314	701	9	451	507	48	4128	996	69	23	108	148	0	198	382	0	608	0	8	0	688
Porites_evermani_scaffold_2:375831-377382	Cluster_33	N	35	27	0	378	6	0	0	47	224	0	0	18	862	103	133	5	80	1850	0	630	995	23	156	1769	7	35	4	2	0	664	220	0	35	0	0	0	102
Porites_evermani_scaffold_2:377396-378819	Cluster_34	N	12	43	0	191	9	0	0	23	468	0	0	10	366	117	146	1	148	887	1	450	445	15	176	801	17	13	7	6	0	280	123	0	43	0	0	0	117
Porites_evermani_scaffold_2:699875-700299	Cluster_35	N	0	22	0	105	12	0	0	2	0	2	0	0	7	15	134	0	1	58	1	136	40	6	118	13	7	9	23	40	0	43	0	0	7	0	1	0	173
Porites_evermani_scaffold_2:771454-771875	Cluster_36	N	0	4	0	3	0	0	0	2	17	0	0	0	246	0	1	0	0	5	0	0	15	0	0	115	0	2	0	0	0	58	3	0	9	0	0	0	1
Porites_evermani_scaffold_2:887345-887763	Cluster_37	N	36	216	1	77	1	5	0	15	234	0	0	0	476	0	0	0	0	329	8	1580	1	217	2	5	0	3	9	290	0	25	0	0	671	0	3	0	123
Porites_evermani_scaffold_2:966766-967922	Cluster_38	N	133	236	0	90	35	3	0	13	1410	0	2	33	2654	266	309	3	245	375	8	1729	890	67	253	1027	14	20	11	17	0	139	365	0	192	0	1	0	711
Porites_evermani_scaffold_2:969901-970714	Cluster_39	N	80	99	0	340	3	2	0	84	841	0	0	18	1919	41	46	4	19	2473	5	445	721	18	102	1976	3	48	8	5	0	469	163	0	27	0	1	0	106
Porites_evermani_scaffold_2:971758-972186	Cluster_40	N	24	5	0	26	1	0	0	6	34	0	1	2	1059	11	11	0	15	146	1	24	42	1	11	124	2	4	0	0	0	23	25	0	3	0	0	0	9
Porites_evermani_scaffold_2:1048263-1048692	Cluster_41	N	6	0	0	94	6	0	0	0	166	0	1	1	194	6	16	0	0	683	0	42	29	4	19	38	0	0	14	3	0	0	0	0	0	0	0	0	41
Porites_evermani_scaffold_2:1103668-1104214	Cluster_42	N	19	556	0	331	449	2	0	49	633	14	0	355	771	727	755	4	217	643	11	638	862	140	2887	1362	122	66	107	145	0	127	726	0	2063	0	23	0	1013
Porites_evermani_scaffold_2:1127449-1127871	Cluster_43	N	19	92	1	44	11	6	0	3	50	0	9	41	212	89	94	0	48	706	4	128	48	28	69	338	0	2	10	14	0	45	402	0	297	0	0	0	155
Porites_evermani_scaffold_2:1293408-1293836	Cluster_44	N	5	18	0	14	0	0	0	4	622	0	0	1	65	2	0	0	10	173	3	35	25	1	8	131	0	4	2	0	0	27	12	0	3	0	0	0	5
Porites_evermani_scaffold_2:1329339-1329794	Cluster_45	N	0	36	0	17	0	1	0	1	400	0	0	10	613	1	2	0	0	38	2	0	0	0	1	1	0	28	2	0	0	33	288	0	0	0	0	0	0
Porites_evermani_scaffold_2:1334915-1335343	Cluster_46	N	0	19	0	18	0	0	0	2	6	0	0	0	665	10	1	0	7	132	0	2	0	0	1	0	0	0	0	0	0	79	0	0	0	0	0	0	1
Porites_evermani_scaffold_2:1388856-1389360	Cluster_47	N	0	1	0	99	0	0	0	23	0	0	0	1	479	0	0	0	0	343	0	98	61	6	0	0	0	6	0	0	0	152	33	0	0	0	0	0	0
