group_id,max_val,apul,peve,ptua,type,avg_identity,query,accession,id,reviewed,protein_name,organism,pident,length,evalue,bitscore,title,go_ids,go_bp,go_cc,go_mf,goslim_ids,goslim_names
OG_00038,0.2239514440268291,FUN_000260-T1,Peve_00027791,Pocillopora_meandrina_HIv1___RNAseq.g28975.t1,three_way,62.275,FUN_000260-T1,Q3KPL3,,,,,33.9,165.0,2.7e-12,74.3,sp|Q3KPL3|LYSM2_XENLA LysM and putative peptidoglycan-binding domain-containing protein 2 OS=Xenopus laevis OX=8355 GN=lysmd2 PE=2 SV=2,,,,,,
OG_00103,0.2222816594404641,FUN_000489-T1,Peve_00043825,Pocillopora_meandrina_HIv1___TS.g4918.t1,three_way,64.97083333333333,FUN_000489-T1,Q12923,,,,,26.7,2887.0,7.2e-210,733.8,sp|Q12923|PTN13_HUMAN Tyrosine-protein phosphatase non-receptor type 13 OS=Homo sapiens OX=9606 GN=PTPN13 PE=1 SV=2,,,,,,
OG_00278,0.1362881692472566,FUN_001063-T1,Peve_00005411,Pocillopora_meandrina_HIv1___RNAseq.g29652.t1,three_way,85.127,FUN_001063-T1,Q9UBK7,,,,,71.0,124.0,1.4e-49,197.2,sp|Q9UBK7|RBL2A_HUMAN Rab-like protein 2A OS=Homo sapiens OX=9606 GN=RABL2A PE=1 SV=1,,,,,,
OG_00334,0.2522843842742615,FUN_001155-T1,Peve_00002861,Pocillopora_meandrina_HIv1___RNAseq.g29319.t1,three_way,85.69133333333333,FUN_001155-T1,O08734,BAK_MOUSE,,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK),Mus musculus (Mouse),46.4,112.0,3.0999999999999997e-24,113.2,sp|O08734|BAK_MOUSE Bcl-2 homologous antagonist/killer OS=Mus musculus OX=10090 GN=Bak1 PE=1 SV=3,GO:0001776; GO:0001782; GO:0001783; GO:0001836; GO:0001974; GO:0002262; GO:0002352; GO:0005739; GO:0005741; GO:0005783; GO:0005829; GO:0008053; GO:0008285; GO:0008630; GO:0009410; GO:0009620; GO:0010046; GO:0010225; GO:0010248; GO:0010332; GO:0010524; GO:0010629; GO:0015288; GO:0031018; GO:0031072; GO:0031100; GO:0031334; GO:0031966; GO:0032471; GO:0034644; GO:0035108; GO:0042542; GO:0042802; GO:0042803; GO:0043065; GO:0044325; GO:0044346; GO:0044877; GO:0045471; GO:0045862; GO:0046872; GO:0046902; GO:0046930; GO:0046982; GO:0048597; GO:0048872; GO:0050673; GO:0051087; GO:0051400; GO:0051649; GO:0051726; GO:0051881; GO:0060068; GO:0060402; GO:0070059; GO:0070242; GO:0071260; GO:0090200; GO:0090201; GO:0097145; GO:0097192; GO:1901029; GO:1901030; GO:1902262,animal organ regeneration [GO:0031100]; apoptotic process involved in blood vessel morphogenesis [GO:1902262]; B cell apoptotic process [GO:0001783]; B cell homeostasis [GO:0001782]; B cell negative selection [GO:0002352]; blood vessel remodeling [GO:0001974]; calcium ion transport into cytosol [GO:0060402]; cellular response to mechanical stimulus [GO:0071260]; cellular response to UV [GO:0034644]; endocrine pancreas development [GO:0031018]; epithelial cell proliferation [GO:0050673]; establishment of localization in cell [GO:0051649]; establishment or maintenance of transmembrane electrochemical gradient [GO:0010248]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; fibroblast apoptotic process [GO:0044346]; homeostasis of number of cells [GO:0048872]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; leukocyte homeostasis [GO:0001776]; limb morphogenesis [GO:0035108]; mitochondrial fusion [GO:0008053]; myeloid cell homeostasis [GO:0002262]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; negative regulation of gene expression [GO:0010629]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of proteolysis [GO:0045862]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; post-embryonic camera-type eye morphogenesis [GO:0048597]; regulation of cell cycle [GO:0051726]; regulation of mitochondrial membrane permeability [GO:0046902]; regulation of mitochondrial membrane potential [GO:0051881]; release of cytochrome c from mitochondria [GO:0001836]; response to ethanol [GO:0045471]; response to fungus [GO:0009620]; response to gamma radiation [GO:0010332]; response to hydrogen peroxide [GO:0042542]; response to mycotoxin [GO:0010046]; response to UV-C [GO:0010225]; response to xenobiotic stimulus [GO:0009410]; thymocyte apoptotic process [GO:0070242]; vagina development [GO:0060068],BAK complex [GO:0097145]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; pore complex [GO:0046930],BH domain binding [GO:0051400]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; porin activity [GO:0015288]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; transmembrane transporter binding [GO:0044325],GO:0002376; GO:0005215; GO:0005739; GO:0005783; GO:0005829; GO:0007005; GO:0012501; GO:0022414; GO:0043226; GO:0048856; GO:0055085; GO:0061024,immune system process; transporter activity; mitochondrion; endoplasmic reticulum; cytosol; mitochondrion organization; programmed cell death; reproductive process; organelle; anatomical structure development; transmembrane transport; membrane organization
OG_01105,0.272800614760948,FUN_004624-T1,Peve_00039250,Pocillopora_meandrina_HIv1___RNAseq.g8088.t1,three_way,67.861,FUN_004624-T1,Q3UHC2,LRRK1_MOUSE,,Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1),Mus musculus (Mouse),29.8,1808.0,4.400000000000001e-211,737.6,sp|Q3UHC2|LRRK1_MOUSE Leucine-rich repeat serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Lrrk1 PE=1 SV=1,GO:0004674; GO:0005524; GO:0005525; GO:0005739; GO:0005829; GO:0005886; GO:0035556; GO:0036035; GO:0042802; GO:0045453; GO:0046872; GO:0090263; GO:0106310; GO:1902533,bone resorption [GO:0045453]; intracellular signal transduction [GO:0035556]; osteoclast development [GO:0036035]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of intracellular signal transduction [GO:1902533],cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886],ATP binding [GO:0005524]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],GO:0003824; GO:0005739; GO:0005829; GO:0005886; GO:0016740; GO:0043226; GO:0048856; GO:0140096,"catalytic activity; mitochondrion; cytosol; plasma membrane; transferase activity; organelle; anatomical structure development; catalytic activity, acting on a protein"
OG_01193,0.4226793262957657,FUN_004851-T1,Peve_00043739,Pocillopora_meandrina_HIv1___RNAseq.g8640.t1,three_way,62.76883333333333,FUN_004851-T1,Q04912,RON_HUMAN,,Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain],Homo sapiens (Human),35.8,293.0,2.2e-49,198.7,sp|Q04912|RON_HUMAN Macrophage-stimulating protein receptor OS=Homo sapiens OX=9606 GN=MST1R PE=1 SV=3,GO:0001725; GO:0004714; GO:0005011; GO:0005524; GO:0005773; GO:0005886; GO:0006909; GO:0006952; GO:0007165; GO:0007169; GO:0007338; GO:0007399; GO:0008284; GO:0009615; GO:0009986; GO:0016477; GO:0019899; GO:0043235; GO:0043406; GO:0045087; GO:0051897,cell migration [GO:0016477]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; defense response [GO:0006952]; innate immune response [GO:0045087]; nervous system development [GO:0007399]; phagocytosis [GO:0006909]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; response to virus [GO:0009615]; signal transduction [GO:0007165]; single fertilization [GO:0007338],cell surface [GO:0009986]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; stress fiber [GO:0001725]; vacuole [GO:0005773],ATP binding [GO:0005524]; enzyme binding [GO:0019899]; macrophage colony-stimulating factor receptor activity [GO:0005011]; transmembrane receptor protein tyrosine kinase activity [GO:0004714],GO:0002376; GO:0003824; GO:0005773; GO:0005886; GO:0016192; GO:0016740; GO:0022414; GO:0043226; GO:0048856; GO:0048870; GO:0060089; GO:0098542; GO:0140096,"immune system process; catalytic activity; vacuole; plasma membrane; vesicle-mediated transport; transferase activity; reproductive process; organelle; anatomical structure development; cell motility; molecular transducer activity; defense response to other organism; catalytic activity, acting on a protein"
OG_01351,0.3681084228891879,FUN_005258-T1,Peve_00003357,Pocillopora_meandrina_HIv1___RNAseq.g8150.t1,three_way,89.47800000000001,FUN_005258-T1,Q7ZYG4,,,,,59.9,212.0,7.4e-46,185.3,sp|Q7ZYG4|OSTF1_XENLA Osteoclast-stimulating factor 1 OS=Xenopus laevis OX=8355 GN=ostf1 PE=2 SV=1,,,,,,
OG_01421,0.1872955371862684,FUN_005749-T1,Peve_00020858,Pocillopora_meandrina_HIv1___RNAseq.g19556.t1,three_way,50.93933333333333,,,,,,,,,,,,,,,,,
OG_01729,0.2743183739338969,FUN_007023-T2,Peve_00032897,Pocillopora_meandrina_HIv1___RNAseq.g20021.t2,three_way,56.138,,,,,,,,,,,,,,,,,
OG_01810,0.4222031103181616,FUN_007645-T1,Peve_00034272,Pocillopora_meandrina_HIv1___RNAseq.g5810.t1,three_way,52.86483333333334,FUN_007645-T1,O16099,,,,,36.6,503.0,1.0000000000000001e-81,305.8,sp|O16099|MAL2_DROVI Maltase 2 OS=Drosophila virilis OX=7244 GN=Mal-B2 PE=3 SV=2,,,,,,
