gene_id,hit,evalue,score,group_id
FUN_000236-T1,XP_022780303.1,6.1399999999999995e-24,102,OG_00030
FUN_000857-T1,XP_022795459.1,1.3899999999999998e-159,447,OG_00171
FUN_000867-T1,XP_022780694.1,1.6e-34,125,OG_00176
FUN_001009-T1,XP_022789591.1,7.039999999999999e-107,338,OG_00246
FUN_001088-T1,XP_022783044.1,3.9e-35,130,OG_00297
FUN_001089-T1,XP_022783044.1,2.1699999999999998e-23,93.2,OG_00298
FUN_001101-T1,XP_022783044.1,1.22e-31,118,OG_00302
FUN_001107-T1,XP_022795459.1,9.45e-59,190,OG_00305
FUN_001118-T1,XP_022801359.1,1.33e-35,124,OG_00314
FUN_001185-T1,XP_022798902.1,0,870,OG_00355
FUN_001225-T1,XP_022789591.1,1.01e-78,259,OG_00378
FUN_001338-T1,XP_022794736.1,2.99e-40,157,OG_00430
FUN_001392-T1,XP_022783044.1,4.15e-35,125,OG_00460
FUN_001402-T1,XP_022792212.1,1.39e-26,95.9,OG_00466
FUN_001497-T1,XP_022808082.1,0,855,OG_00510
FUN_001507-T1,XP_022783430.1,5.0099999999999994e-145,485,OG_00514
FUN_001631-T1,XP_022806928.1,3.4899999999999998e-25,104,OG_00572
FUN_001855-T1,XP_022808045.1,3.8799999999999994e-34,123,OG_00632
FUN_001887-T1,XP_022780694.1,1.22e-61,197,OG_00643
FUN_002810-T1,XP_022798258.1,0,932,OG_00752
FUN_004006-T1,XP_022792212.1,8.17e-22,83.2,OG_00807
FUN_004093-T1,XP_022780694.1,2.08e-47,156,OG_00842
FUN_004094-T1,XP_022779720.1,0,1802,OG_00843
FUN_004455-T1,XP_022780694.1,1.4e-44,158,OG_01023
FUN_004661-T1,XP_022780694.1,6.67e-38,137,OG_01117
FUN_004684-T1,XP_022810585.1,7.43e-46,175,OG_01121
FUN_004740-T1,XP_022792212.1,2.1700000000000002e-29,103,OG_01147
FUN_004766-T1,XP_022788977.1,5.71e-95,319,OG_01155
FUN_004816-T1,XP_022799541.1,0,3272,OG_01177
FUN_004905-T1,XP_022810585.1,9.27e-22,97.4,OG_01223
FUN_005057-T1,XP_022784107.1,2.63e-95,306,OG_01277
FUN_005175-T1,XP_022798258.1,4.44e-76,278,OG_01312
FUN_005182-T1,XP_022803808.1,1.6400000000000001e-22,97.8,OG_01317
FUN_005265-T1,XP_022785805.1,2.77e-29,108,OG_01353
FUN_005267-T1,XP_022785805.1,4.979999999999999e-35,124,OG_01354
FUN_005352-T1,XP_022803851.1,4.76e-50,189,OG_01384
FUN_005720-T1,XP_022789591.1,2.2799999999999997e-124,383,OG_01414
FUN_005908-T1,XP_022785723.1,0,1947,OG_01452
FUN_006038-T1,XP_022800339.1,0,927,OG_01475
FUN_006162-T1,XP_022795871.1,4.0299999999999996e-153,437,OG_01486
FUN_006165-T1,XP_022798258.1,0,1204,OG_01489
FUN_006563-T1,XP_022790556.1,5.05e-69,241,OG_01568
FUN_006613-T2,XP_022800320.1,0,1102,OG_01579
FUN_006652-T1,XP_022798258.1,0,2523,OG_01608
FUN_006656-T1,XP_022798258.1,1.18e-74,264,OG_01611
FUN_006744-T1,XP_022784808.1,0,795,OG_01630
FUN_007013-T1,XP_022803207.1,3.2599999999999997e-31,124,OG_01724
FUN_007019-T1,XP_022789591.1,3.9500000000000004e-105,334,OG_01727
FUN_007073-T1,XP_022803207.1,7.54e-32,128,OG_01747
FUN_007075-T1,XP_022789591.1,3.69e-116,363,OG_01748
FUN_007094-T1,XP_022810585.1,1.5300000000000002e-21,89.4,OG_01753
FUN_007101-T2,XP_022810585.1,1.33e-35,141,OG_01758
FUN_007154-T1,XP_022803207.1,1.16e-24,104,OG_01781
FUN_008088-T1,XP_022803207.1,0,727,OG_01981
FUN_008110-T1,XP_022803207.1,1.3599999999999999e-34,138,OG_01999
FUN_008111-T1,XP_022803207.1,0,986,OG_02000
FUN_008185-T1,XP_022803207.1,1.6600000000000003e-27,112,OG_02012
FUN_008285-T1,XP_022804012.1,6.71e-24,100,OG_02070
FUN_008314-T1,XP_022794351.1,1.76e-65,196,OG_02088
FUN_008328-T1,XP_022803207.1,0,896,OG_02090
FUN_008381-T1,XP_022808576.1,1.09e-31,120,OG_02102
FUN_008418-T1,XP_022795459.1,1.59e-115,335,OG_02124
FUN_008453-T1,XP_022783430.1,4e-65,214,OG_02146
FUN_008456-T1,XP_022782704.1,3.149999999999999e-55,207,OG_02148
FUN_008469-T2,XP_022782703.1,4.41e-58,216,OG_02149
FUN_008499-T1,XP_022798902.1,3.93e-49,185,OG_02163
FUN_008525-T2,XP_022783430.1,2.14e-28,119,OG_02176
FUN_008537-T1,XP_022806928.1,0,1347,OG_02184
FUN_008540-T1,XP_022783430.1,1.7500000000000002e-70,257,OG_02186
FUN_008544-T1,XP_022804785.1,1.53e-53,172,OG_02190
FUN_008614-T1,XP_022795459.1,2.62e-63,211,OG_02219
FUN_008615-T1,XP_022784808.1,1.9999999999999997e-116,410,OG_02220
FUN_008707-T1,XP_022803851.1,0,2573,OG_02260
FUN_008907-T1,XP_022806326.1,1.1899999999999999e-54,178,OG_02316
FUN_008908-T1,XP_022806326.1,5.469999999999999e-156,440,OG_02317
FUN_008961-T1,XP_022797264.1,2.3399999999999998e-172,592,OG_02358
FUN_009228-T2,XP_022803808.1,3.9899999999999997e-25,106,OG_02408
FUN_009459-T2,XP_022803808.1,1.37e-26,109,OG_02439
FUN_010620-T1,XP_022804608.1,1.5e-24,105,OG_02537
FUN_010760-T1,XP_022803524.1,5.99e-113,352,OG_02619
FUN_010885-T1,XP_022803207.1,1.43e-32,127,OG_02666
FUN_010950-T1,XP_022782704.1,4.56e-58,217,OG_02690
FUN_012011-T3,XP_022810585.1,2.93e-23,96.7,OG_02924
FUN_012040-T1,XP_022807807.1,3.5100000000000004e-27,113,OG_02935
FUN_012126-T1,XP_022783430.1,8.53e-29,117,OG_02967
FUN_013135-T1,XP_022780694.1,4.849999999999999e-55,175,OG_03267
FUN_013137-T1,XP_022780694.1,7.42e-48,160,OG_03268
FUN_013138-T1,XP_022788730.1,1.89e-77,233,OG_03269
FUN_013139-T1,XP_022783952.1,4.4e-36,126,OG_03270
FUN_013329-T1,XP_022789591.1,1.53e-134,411,OG_03288
FUN_013330-T1,XP_022789591.1,1.9799999999999998e-125,387,OG_03289
FUN_013350-T1,XP_022808089.1,1.37e-33,128,OG_03291
FUN_013365-T1,XP_022789591.1,2.27e-141,429,OG_03298
FUN_013421-T1,XP_022789591.1,0,867,OG_03330
FUN_014485-T1,XP_022785805.1,4.7199999999999995e-164,456,OG_03429
FUN_014525-T1,XP_022785723.1,3.989999999999999e-90,306,OG_03451
FUN_014586-T1,XP_022783430.1,2.58e-37,147,OG_03484
FUN_014816-T1,XP_022794736.1,3.13e-154,498,OG_03626
FUN_014844-T1,XP_022798902.1,9.07e-60,220,OG_03628
FUN_014916-T1,XP_022801359.1,5e-39,140,OG_03671
FUN_014924-T1,XP_022806928.1,1.1999999999999999e-28,118,OG_03673
FUN_015110-T1,XP_022803207.1,2.26e-33,135,OG_03780
FUN_015341-T1,XP_022803524.1,6.45e-86,272,OG_03850
FUN_015349-T1,XP_022803524.1,1.8799999999999997e-107,328,OG_03856
FUN_015350-T1,XP_022803524.1,0,739,OG_03857
FUN_016491-T1,XP_022789932.1,1.38e-24,94.4,OG_04115
