group_id,n_components,n_go_terms,go_terms_sample
OG_00264,35,1,flagellated sperm motility
OG_01620,35,4,retinoid metabolic process; retinol metabolic process; steroid metabolic process
OG_02537,35,22,adenylate cyclase-activating G protein-coupled receptor signaling pathway; apoptotic cell clearance; axonogenesis
OG_01636,34,3,negative regulation of activin receptor signaling pathway; negative regulation of BMP signaling pathway; negative regulation of transforming growth factor beta receptor signaling pathway
OG_01919,31,6,diacylglycerol catabolic process; phosphatidylcholine catabolic process; phosphatidylethanolamine catabolic process
OG_02927,29,5,adenylate cyclase-activating G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway; circadian behavior
OG_03269,29,1,proteolysis
OG_07218,27,4,Notch signaling pathway; protein ubiquitination; regulation of postsynaptic neurotransmitter receptor internalization
OG_08311,27,11,cilium assembly; determination of heart left/right asymmetry; notochord morphogenesis
OG_01645,26,7,actin cytoskeleton organization; basement membrane organization; cell division
OG_02341,26,7,cellular response to stress; G protein-coupled glutamate receptor signaling pathway; gene expression
OG_02998,25,5,intracellular signal transduction; negative regulation of apoptotic process; positive regulation of transcription by RNA polymerase II
OG_02929,24,8,atrial cardiac muscle cell development; heart trabecula formation; negative regulation of apoptotic process
OG_03335,23,1,negative regulation of epidermal growth factor receptor signaling pathway
OG_04437,23,31,activation of NF-kappaB-inducing kinase activity; cellular response to amyloid-beta; cellular response to diacyl bacterial lipopeptide
OG_04516,23,1,protein localization to nucleus
OG_00643,22,1,proteolysis
OG_08098,21,54,cell population proliferation; cellular response to angiotensin; cellular response to cadmium ion
OG_06663,19,26,adherens junction maintenance; cell-matrix adhesion; focal adhesion assembly
OG_00622,18,8,blastocyst development; columnar/cuboidal epithelial cell differentiation; defense response to Gram-negative bacterium
OG_03122,18,4,chloride transport; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
OG_01101,16,2,microtubule bundle formation; protein modification process
OG_02936,16,2,CDP biosynthetic process; UDP biosynthetic process
OG_04538,16,2,antibacterial innate immune response; defense response to Gram-negative bacterium
OG_05198,16,23,antiviral innate immune response; cellular response to exogenous dsRNA; cytoplasmic pattern recognition receptor signaling pathway
OG_02338,15,78,antigen processing and presentation; axon guidance; basement membrane organization
OG_08222,15,2,actin cytoskeleton organization; actin nucleation
OG_07129,14,8,inner ear development; intracellular triglyceride homeostasis; negative regulation of mitochondrial calcium ion concentration
OG_08842,14,1,sensory perception of sound
OG_07963,13,3,bradykinin catabolic process; negative regulation of programmed cell death; proteolysis
OG_00225,12,9,citrate metabolic process; intestinal absorption; intracellular iron ion homeostasis
OG_06323,12,5,DNA double-strand break processing; double-strand break repair; double-strand break repair via homologous recombination
OG_06909,12,6,apoptotic process; chitin catabolic process; immune system process
OG_06279,11,8,blastocyst development; columnar/cuboidal epithelial cell differentiation; defense response to Gram-negative bacterium
OG_08952,11,7,auditory receptor cell stereocilium organization; cilium assembly; determination of left/right symmetry
OG_07947,10,8,cellular response to glucose stimulus; cellular response to tumor necrosis factor; gluconeogenesis
OG_01210,9,12,blood circulation; defense response to bacterium; immune system process
OG_04857,9,49,adult heart development; apoptotic process involved in heart morphogenesis; atrial cardiac muscle tissue development
OG_04999,9,8,camera-type eye development; circadian regulation of gene expression; embryonic retina morphogenesis in camera-type eye
OG_05636,9,2,cellular response to nerve growth factor stimulus; endocytic recycling
OG_07887,9,9,innate immune response; pattern recognition receptor signaling pathway; positive regulation of inflammatory response
OG_08392,9,5,cartilage development; cell differentiation; ossification
OG_10182,9,1,regulation of dendrite development
OG_00797,8,1,tight junction assembly
OG_07103,8,1,unsaturated fatty acid biosynthetic process
OG_07200,8,4,heart development; mRNA processing; regulation of translation
OG_10186,8,8,epidermis development; gene expression; lymph circulation
OG_01396,7,8,chaperone cofactor-dependent protein refolding; clathrin coat disassembly; mRNA processing
OG_08313,7,15,cell adhesion; cell division; cell migration
OG_09440,7,7,cell differentiation; hematopoietic stem cell proliferation; mesenchymal cell apoptotic process
