group_id,type,avg_identity,apul,peve,ptua,annotation_source,confidence_level,species_count,conservation_level,functional_category,evolutionary_significance,sequence_length
OG_00001,three_way,71.059,FUN_000185-T1,Peve_00037402,Pocillopora_meandrina_HIv1___RNAseq.g28886.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00002,three_way,68.72583333333334,FUN_000189-T1,Peve_00038462,Pocillopora_meandrina_HIv1___RNAseq.g28888.t3,basic_analysis,medium,3,medium,core_conserved,high,
OG_00003,three_way,55.1975,FUN_000190-T1,Peve_00038463,Pocillopora_meandrina_HIv1___RNAseq.g28889.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00004,three_way,72.047,FUN_000191-T1,Peve_00038464,Pocillopora_meandrina_HIv1___RNAseq.g28890.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00005,three_way,81.15866666666666,FUN_000192-T1,Peve_00038466,Pocillopora_meandrina_HIv1___RNAseq.g28893.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00006,three_way,70.21933333333334,FUN_000193-T1,Peve_00038467,Pocillopora_meandrina_HIv1___RNAseq.g28894.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00007,three_way,77.11833333333334,FUN_000194-T1,Peve_00038470,Pocillopora_meandrina_HIv1___RNAseq.g28898.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00008,three_way,68.38,FUN_000195-T1,Peve_00038471,Pocillopora_meandrina_HIv1___RNAseq.g28899.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00009,three_way,56.498333333333335,FUN_000197-T1,Peve_00027182,Pocillopora_meandrina_HIv1___RNAseq.g28901.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00010,three_way,59.28266666666666,FUN_000198-T1,Peve_00027181,Pocillopora_meandrina_HIv1___RNAseq.g28902.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00011,three_way,83.315,FUN_000200-T1,Peve_00027179,Pocillopora_meandrina_HIv1___RNAseq.g28904.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00012,three_way,80.12266666666666,FUN_000202-T1,Peve_00024058,Pocillopora_meandrina_HIv1___RNAseq.g28907.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00013,three_way,91.96433333333331,FUN_000203-T1,Peve_00019866,Pocillopora_meandrina_HIv1___RNAseq.g28908.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00014,three_way,70.863,FUN_000206-T1,Peve_00027728,Pocillopora_meandrina_HIv1___RNAseq.g28910.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00015,three_way,63.83766666666666,FUN_000208-T1,Peve_00027726,Pocillopora_meandrina_HIv1___RNAseq.g28911.t2,basic_analysis,medium,3,medium,core_conserved,high,
OG_00016,three_way,62.794,FUN_000210-T1,Peve_00022649,Pocillopora_meandrina_HIv1___TS.g6133.t2,basic_analysis,medium,3,medium,core_conserved,high,
OG_00017,three_way,63.1635,FUN_000212-T1,Peve_00007289,Pocillopora_meandrina_HIv1___RNAseq.g28915.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00018,three_way,60.77916666666667,FUN_000213-T2,Peve_00002451,Pocillopora_meandrina_HIv1___RNAseq.g28916.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00019,three_way,61.82416666666666,FUN_000215-T1,Peve_00002445,Pocillopora_meandrina_HIv1___RNAseq.g28918.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00020,three_way,52.28366666666667,FUN_000216-T1,Peve_00018873,Pocillopora_meandrina_HIv1___RNAseq.g28926.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00021,three_way,72.92583333333333,FUN_000217-T1,Peve_00019413,Pocillopora_meandrina_HIv1___RNAseq.g28927.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00022,three_way,64.90866666666666,FUN_000219-T1,Peve_00019412,Pocillopora_meandrina_HIv1___RNAseq.g28928.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00023,three_way,77.529,FUN_000220-T1,Peve_00012034,Pocillopora_meandrina_HIv1___RNAseq.g28929.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00024,three_way,77.22633333333333,FUN_000223-T1,Peve_00012031,Pocillopora_meandrina_HIv1___RNAseq.g28933.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00025,three_way,60.776,FUN_000226-T1,Peve_00012014,Pocillopora_meandrina_HIv1___RNAseq.g28941.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00026,three_way,74.97,FUN_000229-T1,Peve_00012013,Pocillopora_meandrina_HIv1___RNAseq.g28944.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00027,three_way,54.19533333333334,FUN_000230-T1,Peve_00012012,Pocillopora_meandrina_HIv1___RNAseq.g28945.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00028,three_way,54.33083333333334,FUN_000231-T1,Peve_00012025,Pocillopora_meandrina_HIv1___RNAseq.g28946.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00029,three_way,73.66199999999999,FUN_000232-T1,Peve_00033351,Pocillopora_meandrina_HIv1___RNAseq.g28949.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00030,three_way,51.7605,FUN_000236-T1,Peve_00033366,Pocillopora_meandrina_HIv1___TS.g6172.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00031,three_way,74.7705,FUN_000237-T1,Peve_00033367,Pocillopora_meandrina_HIv1___RNAseq.g28953.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00032,three_way,62.998666666666665,FUN_000238-T1,Peve_00033352,Pocillopora_meandrina_HIv1___RNAseq.g28954.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00033,three_way,97.61933333333332,FUN_000239-T1,Peve_00033353,Pocillopora_meandrina_HIv1___RNAseq.g28955.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00034,three_way,44.82333333333333,FUN_000240-T1,Peve_00033355,Pocillopora_meandrina_HIv1___TS.g6176.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00035,three_way,67.30566666666667,FUN_000243-T1,Peve_00033358,Pocillopora_meandrina_HIv1___RNAseq.g28959.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00036,three_way,68.59933333333333,FUN_000245-T1,Peve_00033360,Pocillopora_meandrina_HIv1___RNAseq.g28960.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00037,three_way,71.2625,FUN_000247-T2,Peve_00033364,Pocillopora_meandrina_HIv1___RNAseq.g28974.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00038,three_way,62.275,FUN_000260-T1,Peve_00027791,Pocillopora_meandrina_HIv1___RNAseq.g28975.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00039,three_way,77.24933333333334,FUN_000261-T1,Peve_00027784,Pocillopora_meandrina_HIv1___RNAseq.g28976.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00040,three_way,82.65166666666667,FUN_000263-T1,Peve_00027785,Pocillopora_meandrina_HIv1___RNAseq.g28977.t2,basic_analysis,medium,3,high,core_conserved,high,
OG_00041,three_way,65.873,FUN_000264-T1,Peve_00027786,Pocillopora_meandrina_HIv1___RNAseq.g28978.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00042,three_way,91.153,FUN_000265-T1,Peve_00027789,Pocillopora_meandrina_HIv1___RNAseq.g28979.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00043,three_way,78.31466666666667,FUN_000270-T1,Peve_00027796,Pocillopora_meandrina_HIv1___RNAseq.g28983.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00044,three_way,70.59733333333334,FUN_000272-T1,Peve_00027798,Pocillopora_meandrina_HIv1___RNAseq.g28985.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00045,three_way,70.16666666666667,FUN_000276-T1,Peve_00044046,Pocillopora_meandrina_HIv1___RNAseq.g28996.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00046,three_way,55.50666666666667,FUN_000281-T1,Peve_00033554,Pocillopora_meandrina_HIv1___RNAseq.g29077.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00047,three_way,79.09333333333333,FUN_000283-T1,Peve_00033555,Pocillopora_meandrina_HIv1___RNAseq.g29073.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00048,three_way,75.66833333333334,FUN_000285-T1,Peve_00033562,Pocillopora_meandrina_HIv1___RNAseq.g29071.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00049,three_way,56.049,FUN_000289-T1,Peve_00033565,Pocillopora_meandrina_HIv1___TS.g6289.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00050,three_way,79.55166666666666,FUN_000319-T1,Peve_00033573,Pocillopora_meandrina_HIv1___RNAseq.g29015.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00051,three_way,81.34316666666668,FUN_000320-T1,Peve_00033574,Pocillopora_meandrina_HIv1___RNAseq.g29014.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00052,three_way,71.85166666666667,FUN_000322-T1,Peve_00012600,Pocillopora_meandrina_HIv1___RNAseq.g29012.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00053,three_way,82.90066666666667,FUN_000323-T1,Peve_00012596,Pocillopora_meandrina_HIv1___RNAseq.g29002.t2,basic_analysis,medium,3,high,core_conserved,high,
OG_00054,three_way,98.41266666666668,FUN_000329-T1,Peve_00033549,Pocillopora_meandrina_HIv1___RNAseq.g29081.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00055,three_way,89.4465,FUN_000330-T1,Peve_00033547,Pocillopora_meandrina_HIv1___RNAseq.g29083.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00056,three_way,52.14833333333333,FUN_000334-T1,Peve_00033540,Pocillopora_meandrina_HIv1___RNAseq.g29089.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00057,three_way,42.8425,FUN_000348-T1,Peve_00033538,Pocillopora_meandrina_HIv1___RNAseq.g29111.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00058,three_way,92.17333333333332,FUN_000350-T1,Peve_00033537,Pocillopora_meandrina_HIv1___RNAseq.g29114.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00059,three_way,75.824,FUN_000351-T1,Peve_00033536,Pocillopora_meandrina_HIv1___RNAseq.g29115.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00060,three_way,77.85483333333333,FUN_000352-T1,Peve_00033531,Pocillopora_meandrina_HIv1___RNAseq.g29116.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00061,three_way,84.897,FUN_000371-T1,Peve_00033529,Pocillopora_meandrina_HIv1___RNAseq.g29119.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00062,three_way,91.26166666666668,FUN_000372-T1,Peve_00033530,Pocillopora_meandrina_HIv1___RNAseq.g29118.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00063,three_way,32.86933333333334,FUN_000374-T1,Peve_00033526,Pocillopora_meandrina_HIv1___TS.g6338.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00064,three_way,70.61166666666666,FUN_000375-T1,Peve_00028988,Pocillopora_meandrina_HIv1___RNAseq.g12644.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00065,three_way,81.29066666666667,FUN_000378-T1,Peve_00033520,Pocillopora_meandrina_HIv1___RNAseq.g29123.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00066,three_way,70.015,FUN_000384-T1,Peve_00033599,Pocillopora_meandrina_HIv1___RNAseq.g29126.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00067,three_way,83.94266666666667,FUN_000387-T1,Peve_00033598,Pocillopora_meandrina_HIv1___TS.g6342.t3c,basic_analysis,medium,3,high,core_conserved,high,
OG_00068,three_way,49.54833333333334,FUN_000390-T1,Peve_00033596,Pocillopora_meandrina_HIv1___RNAseq.g2524.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00069,three_way,47.93233333333333,FUN_000391-T1,Peve_00033595,Pocillopora_meandrina_HIv1___RNAseq.g2525.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00070,three_way,74.39316666666667,FUN_000392-T1,Peve_00033592,Pocillopora_meandrina_HIv1___RNAseq.g2526.t1b,basic_analysis,medium,3,medium,core_conserved,high,
OG_00071,three_way,82.34016666666666,FUN_000393-T1,Peve_00033591,Pocillopora_meandrina_HIv1___RNAseq.g2528.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00072,three_way,78.31366666666668,FUN_000395-T1,Peve_00033589,Pocillopora_meandrina_HIv1___RNAseq.g2531.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00073,three_way,50.99,FUN_000397-T1,Peve_00033585,Pocillopora_meandrina_HIv1___RNAseq.g2533.t1a,basic_analysis,medium,3,low,core_conserved,high,
OG_00074,three_way,88.96866666666666,FUN_000398-T1,Peve_00033583,Pocillopora_meandrina_HIv1___RNAseq.g2535.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00075,three_way,93.53266666666669,FUN_000399-T1,Peve_00033552,Pocillopora_meandrina_HIv1___RNAseq.g2540.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00076,three_way,67.23816666666667,FUN_000401-T1,Peve_00033535,Pocillopora_meandrina_HIv1___RNAseq.13430_t,basic_analysis,medium,3,medium,core_conserved,high,
OG_00077,three_way,81.73866666666666,FUN_000402-T1,Peve_00033527,Pocillopora_meandrina_HIv1___RNAseq.g2543.t1,basic_analysis,medium,3,high,core_conserved,high,
OG_00078,three_way,79.21583333333334,FUN_000403-T1,Peve_00033519,Pocillopora_meandrina_HIv1___RNAseq.g2544.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00079,three_way,54.79116666666667,FUN_000407-T2,Peve_00033597,Pocillopora_meandrina_HIv1___RNAseq.g2545.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00080,three_way,59.73233333333334,FUN_000408-T1,Peve_00033593,Pocillopora_meandrina_HIv1___RNAseq.g2518.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00081,three_way,55.74733333333334,FUN_000409-T1,Peve_00033505,Pocillopora_meandrina_HIv1___RNAseq.g2517.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00082,three_way,32.01166666666666,FUN_000411-T1,Peve_00010961,Pocillopora_meandrina_HIv1___RNAseq.g2317.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00083,three_way,53.89533333333333,FUN_000413-T1,Peve_00010960,Pocillopora_meandrina_HIv1___RNAseq.13206_t,basic_analysis,medium,3,low,core_conserved,high,
OG_00084,three_way,57.719,FUN_000418-T1,Peve_00010959,Pocillopora_meandrina_HIv1___RNAseq.g2319.t1,basic_analysis,medium,3,low,core_conserved,high,
OG_00085,three_way,73.84433333333334,FUN_000433-T1,Peve_00011195,Pocillopora_meandrina_HIv1___RNAseq.g2325.t1,basic_analysis,medium,3,medium,core_conserved,high,
OG_00086,three_way,77.881,FUN_000437-T1,Peve_00011193,Pocillopora_meandrina_HIv1___RNAseq.g2323.t1,basic_analysis,medium,3,medium,core_conserved,high,
