ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q94887	Neurexin IV(Nrx-IV)	Drosophila melanogaster			GO:0003015~heart process,GO:0007391~dorsal closure,GO:0008039~synaptic target recognition,GO:0008104~protein localization,GO:0008366~axon ensheathment,GO:0019991~septate junction assembly,GO:0021682~nerve maturation,GO:0035151~regulation of tube size, open tracheal system,GO:0045216~cell-cell junction organization,GO:0060857~establishment of glial blood-brain barrier,GO:0061343~cell adhesion involved in heart morphogenesis,GO:0072553~terminal button organization,GO:0097105~presynaptic membrane assembly,	GO:0005886~plasma membrane,GO:0005919~pleated septate junction,GO:0016020~membrane,GO:0045202~synapse,GO:0048786~presynaptic active zone,GO:0070161~anchoring junction,		IPR000421:FA58C,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR003585:Neurexin-like,IPR008979:Galactose-bd-like_sf,IPR013320:ConA-like_dom_sf,IPR050372:Neurexin-related_CASP,				SM00181:EGF,SM00231:FA58C,SM00282:LamG,SM00294:4.1m,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0965~Cell junction,KW-1003~Cell membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:EGF-like,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:F5/8 type C,DOMAIN:Laminin G,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,DOMAIN:Laminin G-like 3,DOMAIN:Laminin G-like 4,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q9PTY5	RAN binding protein 9 L homeolog(ranbp9.L)	Xenopus laevis				GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,		IPR001870:B30.2/SPRY,IPR003877:SPRY_dom,IPR006594:LisH,IPR006595:CTLH_C,IPR013144:CRA_dom,IPR013320:ConA-like_dom_sf,IPR024964:CTLH/CRA,IPR035782:SPRY_RanBP9/10,IPR043136:B30.2/SPRY_sf,IPR050618:Ubq-SigPath_Reg,				SM00449:SPRY,SM00667:LisH,SM00668:CTLH,SM00757:CRA,		KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,						DOMAIN:B30.2/SPRY,DOMAIN:CTLH,DOMAIN:LisH,REGION:Disordered,
Q6AYK1	RNA binding protein with serine rich domain 1(Rnps1)	Rattus norvegicus			GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008150~biological_process,GO:0008380~RNA splicing,GO:0043065~positive regulation of apoptotic process,GO:0048025~negative regulation of mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016607~nuclear speck,GO:0061574~ASAP complex,	GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,	IPR000504:RRM_dom,IPR012677:Nucleotide-bd_a/b_plait_sf,IPR034201:RNPS1_RRM,IPR035979:RBD_domain_sf,	rno03013:Nucleocytoplasmic transport,rno03015:mRNA surveillance pathway,			SM00360:RRM,	KW-0507~mRNA processing,KW-0508~mRNA splicing,KW-0866~Nonsense-mediated mRNA decay,	KW-0539~Nucleus,KW-0963~Cytoplasm,				KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:RRM,REGION:Disordered,REGION:Interaction with SAP18 and ACIN1,REGION:Necessary for interaction with PNN and exon-skipping,REGION:Necessary for interaction with SRP54, nuclear localization and exon-skipping,REGION:Necessary for interaction with TRA2B, nuclear localization and exon-skipping,REGION:Necessary for interaction with the cleaved p110 isoform of CDC2L1,REGION:Necessary for interactions with UPF2 and UPF3B and UPF2-dependent NMD,
O35182	SMAD family member 6(Smad6)	Mus musculus			GO:0001657~ureteric bud development,GO:0003148~outflow tract septum morphogenesis,GO:0003170~heart valve development,GO:0003180~aortic valve morphogenesis,GO:0003183~mitral valve morphogenesis,GO:0003184~pulmonary valve morphogenesis,GO:0003281~ventricular septum development,GO:0006355~regulation of DNA-templated transcription,GO:0006357~regulation of transcription by RNA polymerase II,GO:0006955~immune response,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007352~zygotic specification of dorsal/ventral axis,GO:0008285~negative regulation of cell population proliferation,GO:0009653~anatomical structure morphogenesis,GO:0030154~cell differentiation,GO:0030279~negative regulation of ossification,GO:0030509~BMP signaling pathway,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0031589~cell-substrate adhesion,GO:0032496~response to lipopolysaccharide,GO:0032926~negative regulation of activin receptor signaling pathway,GO:0034616~response to laminar fluid shear stress,GO:0035904~aorta development,GO:0042310~vasoconstriction,GO:0043066~negative regulation of apoptotic process,GO:0043627~response to estrogen,GO:0045444~fat cell differentiation,GO:0045668~negative regulation of osteoblast differentiation,GO:0045907~positive regulation of vasoconstriction,GO:0060392~negative regulation of SMAD protein signal transduction,GO:0060395~SMAD protein signal transduction,GO:0060948~cardiac vascular smooth muscle cell development,GO:0060976~coronary vasculature development,GO:0060977~coronary vasculature morphogenesis,GO:1902895~positive regulation of miRNA transcription,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription regulator complex,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0016604~nuclear body,GO:0032991~protein-containing complex,GO:0071144~heteromeric SMAD protein complex,	GO:0000976~transcription cis-regulatory region binding,GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0031625~ubiquitin protein ligase binding,GO:0034713~type I transforming growth factor beta receptor binding,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0070410~co-SMAD binding,GO:0070411~I-SMAD binding,GO:0070412~R-SMAD binding,GO:0070698~type I activin receptor binding,GO:0140311~protein sequestering activity,GO:0140416~transcription regulator inhibitor activity,	IPR001132:SMAD_dom_Dwarfin-type,IPR003619:MAD_homology1_Dwarfin-type,IPR008984:SMAD_FHA_dom_sf,IPR013019:MAD_homology_MH1,IPR013790:Dwarfin,IPR017855:SMAD-like_dom_sf,IPR036578:SMAD_MH1_sf,	mmu04350:TGF-beta signaling pathway,			SM00523:DWA,SM00524:DWB,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0479~Metal-binding,KW-0862~Zinc,		KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:MH1,DOMAIN:MH2,MUTAGEN:R->A: Strongly decreased methylation.,REGION:Disordered,
Q8JGT5	SUMO1 activating enzyme subunit 1 L homeolog(sae1.L)	Xenopus laevis			GO:0016925~protein sumoylation,GO:0032446~protein modification by small protein conjugation,GO:0036211~protein modification process,	GO:0005634~nucleus,GO:0031510~SUMO activating enzyme complex,	GO:0008641~ubiquitin-like modifier activating enzyme activity,GO:0016874~ligase activity,GO:0019948~SUMO activating enzyme activity,	IPR000011:UBQ/SUMO-activ_enz_E1-like,IPR000594:ThiF_NAD_FAD-bd,IPR035985:Ubiquitin-activating_enz,IPR045886:ThiF/MoeB/HesA,	xla04120:Ubiquitin mediated proteolysis,				KW-0833~Ubl conjugation pathway,	KW-0539~Nucleus,				KW-0436~Ligase,		DOMAIN:THIF-type NAD/FAD binding fold,
O18405	Surfeit 4(Surf4)	Drosophila melanogaster			GO:0007030~Golgi organization,GO:0015031~protein transport,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0012505~endomembrane system,GO:0016020~membrane,GO:0045169~fusome,		IPR002995:Surf4,IPR045214:Surf1/Surf4,					KW-0653~Protein transport,KW-0813~Transport,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,				MOTIF:Di-lysine motif,TRANSMEM:Helical,
P16157	ankyrin 1(ANK1)	Homo sapiens	h_PDZsPathway:Synaptic Proteins at the Synaptic Junction,	General function prediction only,	GO:0006887~exocytosis,GO:0006888~endoplasmic reticulum to Golgi vesicle-mediated transport,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0010638~positive regulation of organelle organization,GO:0045199~maintenance of epithelial cell apical/basal polarity,GO:0072659~protein localization to plasma membrane,	GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0009898~cytoplasmic side of plasma membrane,GO:0014731~spectrin-associated cytoskeleton,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016529~sarcoplasmic reticulum,GO:0030018~Z disc,GO:0030673~axolemma,GO:0031430~M band,GO:0042383~sarcolemma,GO:0043005~neuron projection,GO:0045211~postsynaptic membrane,GO:0170014~ankyrin-1 complex,	GO:0005198~structural molecule activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0008093~cytoskeletal anchor activity,GO:0019899~enzyme binding,GO:0019903~protein phosphatase binding,GO:0030507~spectrin binding,GO:0044325~transmembrane transporter binding,GO:0051117~ATPase binding,	IPR000488:Death_domain,IPR000906:ZU5_dom,IPR002110:Ankyrin_rpt,IPR011029:DEATH-like_dom_sf,IPR036770:Ankyrin_rpt-contain_sf,IPR040745:Ankyrin_UPA,IPR051165:Multifunctional_ANK_Repeat,	hsa05205:Proteoglycans in cancer,	182900~Spherocytosis, type 1,		SM00005:DEATH,SM00218:ZU5,SM00248:ANK,		KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0703~Sarcoplasmic reticulum,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0250~Elliptocytosis,KW-0360~Hereditary hemolytic anemia,	KW-0040~ANK repeat,KW-0677~Repeat,KW-0732~Signal,			KW-0379~Hydroxylation,KW-0449~Lipoprotein,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Death,DOMAIN:ZU5,DOMAIN:ZU5 1,DOMAIN:ZU5 2,MUTAGEN:K->E: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:R->G: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:T->P: Abolishes interaction with OBSCN (in isoform Mu17).,REGION:55 kDa regulatory domain,REGION:89 kDa domain,REGION:Disordered,REGION:UPA domain,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 10,REPEAT:ANK 11,REPEAT:ANK 12,REPEAT:ANK 13,REPEAT:ANK 14,REPEAT:ANK 15,REPEAT:ANK 16,REPEAT:ANK 17,REPEAT:ANK 18,REPEAT:ANK 19,REPEAT:ANK 2,REPEAT:ANK 20,REPEAT:ANK 21,REPEAT:ANK 22,REPEAT:ANK 23,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:ANK 9,
Q8IWZ3	ankyrin repeat and KH domain containing 1(ANKHD1)	Homo sapiens		General function prediction only,	GO:0045087~innate immune response,	GO:0005737~cytoplasm,	GO:0003723~RNA binding,GO:0005515~protein binding,	IPR002110:Ankyrin_rpt,IPR004087:KH_dom,IPR004088:KH_dom_type_1,IPR036612:KH_dom_type_1_sf,IPR036770:Ankyrin_rpt-contain_sf,IPR047374:KH-I_ANKHD1,IPR051631:Ankyrin-KH/SAM_domain,				SM00248:ANK,SM00322:KH,		KW-0963~Cytoplasm,		KW-0040~ANK repeat,KW-0175~Coiled coil,KW-0677~Repeat,		KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:K Homology,DOMAIN:KH,REGION:Disordered,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 10,REPEAT:ANK 11,REPEAT:ANK 12,REPEAT:ANK 13,REPEAT:ANK 14,REPEAT:ANK 15,REPEAT:ANK 16,REPEAT:ANK 17,REPEAT:ANK 18,REPEAT:ANK 19,REPEAT:ANK 2,REPEAT:ANK 20,REPEAT:ANK 21,REPEAT:ANK 22,REPEAT:ANK 23,REPEAT:ANK 24,REPEAT:ANK 25,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:ANK 9,
Q7SC45	btn-1(NCU08408)	Neurospora crassa OR74A			GO:0015819~lysine transport,GO:0051453~regulation of intracellular pH,GO:1903826~L-arginine transmembrane transport,	GO:0000324~fungal-type vacuole,GO:0005773~vacuole,GO:0005774~vacuolar membrane,GO:0016020~membrane,		IPR003492:Battenin_disease_Cln3,IPR018460:Battenin_disease_Cln3_subgr,IPR036259:MFS_trans_sf,	ncr04142:Lysosome,		PIRSF015974:CLN3_BTN1,		KW-0029~Amino-acid transport,KW-0813~Transport,	KW-0472~Membrane,KW-0926~Vacuole,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,
Q3UY96	cilia and flagella associated protein 74(Cfap74)	Mus musculus			GO:0008150~biological_process,GO:0035082~axoneme assembly,	GO:0005575~cellular_component,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005930~axoneme,GO:0036126~sperm flagellum,	GO:0003674~molecular_function,	IPR013783:Ig-like_fold,						KW-0206~Cytoskeleton,KW-0282~Flagellum,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0969~Cilium,		KW-0175~Coiled coil,				REGION:Disordered,
A7SMR1	eukaryotic translation initiation factor 3 subunit D(LOC5506418)	Nematostella vectensis			GO:0001732~formation of cytoplasmic translation initiation complex,GO:0002191~cap-dependent translational initiation,GO:0006413~translational initiation,	GO:0005737~cytoplasm,GO:0005852~eukaryotic translation initiation factor 3 complex,GO:0016282~eukaryotic 43S preinitiation complex,GO:0033290~eukaryotic 48S preinitiation complex,	GO:0003743~translation initiation factor activity,GO:0098808~mRNA cap binding,	IPR007783:eIF3d,			PIRSF016281:EIF-3_zeta,		KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,				KW-0396~Initiation factor,KW-0694~RNA-binding,		COMPBIAS:Acidic residues,REGION:Disordered,REGION:RNA gate,
