"ortho_id","module","MM","GS","MM_p","GS_p","accession","id","protein_name","label"
"OG_00696","brown",0.68903983776869,0.246064264906708,8.87574194963118e-18,0.00748934262525242,NA,NA,NA,"OG_00696"
"OG_00719","brown",0.602098873728542,0.324620786092746,6.94040012035539e-13,0.000355865581875032,"Q9NQU5","PAK6_HUMAN","Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)","PAK6_HUMAN"
"OG_00774","brown",0.601041924018296,0.309137490431463,7.79613067144351e-13,0.000695367119892291,NA,NA,NA,"OG_00774"
"OG_00829","brown",0.668966336492777,0.306384920718179,1.675552287429e-16,0.000780399146318758,"O97827",NA,NA,"OG_00829"
"OG_00924","brown",0.601339472512441,0.130040178310384,7.54540936807236e-13,0.162281640538588,NA,NA,NA,"OG_00924"
"OG_00959","brown",0.636647508249629,0.255779999921565,1.20990019420202e-14,0.00537860928655027,"P16066","ANPRA_HUMAN","Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)","ANPRA_HUMAN"
"OG_01184","brown",0.599249809566643,0.0845909150411445,9.48578253751978e-13,0.364516069909615,"Q9UKP4","ATS7_HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7) (EC 3.4.24.-)","ATS7_HUMAN"
"OG_00020","brown",0.708779408749102,0.102098269290262,3.87924354915139e-19,0.273354677861413,NA,NA,NA,"OG_00020"
"OG_00009","brown",0.69946580012094,0.101222210986611,1.75368189860586e-18,0.277513467337919,"Q8TCT7",NA,NA,"OG_00009"
"OG_00105","brown",0.615837450238767,0.282311700962424,1.47157009943388e-13,0.00204329713994713,"Q9BWV3",NA,NA,"OG_00105"
"OG_00114","brown",0.588647035335458,0.214175470344837,2.95438170521404e-12,0.0204078374138127,"P22671",NA,NA,"OG_00114"
"OG_00373","brown",0.653758804341925,0.0532273652743377,1.33910978391967e-15,0.568701624950519,"O08684",NA,NA,"OG_00373"
"OG_00483","brown",0.676550348162894,0.303134077620273,5.67404123458997e-17,0.00089303852888822,"Q61824",NA,NA,"OG_00483"
"OG_00488","brown",0.604912895673384,0.0613761964517305,5.08204951981689e-13,0.510938320468501,NA,NA,NA,"OG_00488"
"OG_00591","brown",0.609686732826224,0.288324813296638,2.9741883186909e-13,0.00161904395405127,"Q9I8C7",NA,NA,"OG_00591"
"OG_00599","brown",0.712283840245437,0.224741413309031,2.16526390572869e-19,0.0148466132396147,NA,NA,NA,"OG_00599"
"OG_00642","brown",0.662127333208237,0.141491490128402,4.33081599609456e-16,0.128084557065519,"P55814",NA,NA,"OG_00642"
"OG_01494","brown",0.596166733996323,0.151834724585644,1.32557950381091e-12,0.10221688572943,"Q9QXG2",NA,NA,"OG_01494"
"OG_01552","brown",0.629123705675079,0.151993307340052,3.0510250170247e-14,0.101854902870378,"Q8BHH2",NA,NA,"OG_01552"
"OG_01652","brown",0.636250621448958,0.238340044076896,1.27120298592697e-14,0.00966001743053624,"Q9WU06","AVIL_RAT","Advillin (Peripheral nervous system villin-like protein) (Pervin)","AVIL_RAT"
"OG_01826","brown",0.613860761050771,0.254627650901419,1.84804686555135e-13,0.00559759664153739,NA,NA,NA,"OG_01826"
"OG_01869","brown",0.704871406765702,0.109139145718954,7.35821143785668e-19,0.241458823337997,"E7FEV0",NA,NA,"OG_01869"
"OG_02024","brown",0.661435951040889,0.173929743530713,4.76063019889532e-16,0.0607294787845034,"A0A8J1LLF7","DICRS_XENLA","Endoribonuclease Dicer-S (EC 3.1.26.3)","DICRS_XENLA"
"OG_02121","brown",0.708314395830513,0.106743552601044,4.18859965514977e-19,0.252007227651905,"Q3B7D2","SPTC2_RAT","Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Serine-palmitoyl-CoA transferase 2) (SPT 2)","SPTC2_RAT"
"OG_02237","brown",0.630938018899099,0.241708604502344,2.44669255873185e-14,0.00865326936023348,"Q32LN1","UBE2H_BOVIN","Ubiquitin-conjugating enzyme E2 H (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme H) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme H) (Ubiquitin carrier protein H) (Ubiquitin-protein ligase H)","UBE2H_BOVIN"
"OG_02375","brown",0.734383063580333,0.278248721227812,4.43765756871706e-21,0.00238446523933307,"O35491","CLK2_MOUSE","Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)","CLK2_MOUSE"
"OG_02454","brown",0.636396204876304,0.152201770037861,1.24837404546227e-14,0.101380596392698,"Q148N0",NA,NA,"OG_02454"
"OG_02546","brown",0.62614592135713,0.21402382642652,4.36954101246419e-14,0.0204992072220871,"Q6P0J3","SP8_DANRE","Transcription factor Sp8","SP8_DANRE"
"OG_02690","brown",0.67830917957002,0.23994009797381,4.39367178060096e-17,0.00916964026037803,"Q7TN88",NA,NA,"OG_02690"
"OG_02772","brown",0.665781636616211,0.26312068719586,2.61548129441417e-16,0.00415413414359532,"P56476","GBRR2_MOUSE","Gamma-aminobutyric acid receptor subunit rho-2 (GABA(A) receptor subunit rho-2) (GABAAR subunit rho-2) (GABA(C) receptor)","GBRR2_MOUSE"
"OG_02773","brown",0.640812344386538,0.225966553247223,7.17147424403632e-15,0.0142962352330526,"Q9UBS5",NA,NA,"OG_02773"
"OG_02850","brown",0.59956677900285,0.233496279869749,9.16312250698682e-13,0.0112879305944321,"O14602",NA,NA,"OG_02850"
"OG_02919","brown",0.591691332194995,0.158284954154265,2.14111105895111e-12,0.0882888176251505,NA,NA,NA,"OG_02919"
"OG_02967","brown",0.599844059301869,0.264817663561918,8.88959972261577e-13,0.00390933922548417,"B3EWY9",NA,NA,"OG_02967"
"OG_03093","brown",0.753743566973427,0.225703928803112,1.05555696041635e-22,0.0144126965043536,"Q9JKK0",NA,NA,"OG_03093"
"OG_03184","brown",0.620773998370052,0.0992052546260002,8.27297499526014e-14,0.287249236790577,"Q5THJ4","VP13D_HUMAN","Intermembrane lipid transfer protein VPS13D (Vacuolar protein sorting-associated protein 13D)","VP13D_HUMAN"
"OG_03189","brown",0.65577537539664,0.179176523719493,1.02351654929777e-15,0.0532417565505714,"Q8C811",NA,NA,"OG_03189"
"OG_03227","brown",0.685193008573822,0.199484233027483,1.58723306580235e-17,0.0310597099497223,"Q68EJ0","NB5R4_RAT","Cytochrome b5 reductase 4 (EC 1.6.2.2) (Flavohemoprotein b5/b5R) (b5+b5R) (N-terminal cytochrome b5 and cytochrome b5 oxidoreductase domain-containing protein) (cb5/cb5R)","NB5R4_RAT"
"OG_03235","brown",0.710567370013405,0.175275197038856,2.88413223011339e-19,0.0587317878661637,"Q6IWH7","ANO7_HUMAN","Anoctamin-7 (Dresden transmembrane protein of the prostate) (D-TMPP) (IPCA-5) (New gene expressed in prostate) (Prostate cancer-associated protein 5) (Transmembrane protein 16G)","ANO7_HUMAN"
"OG_03306","brown",0.652353479234596,0.125380373997443,1.6130086823647e-15,0.177994097421374,"Q5QD15","TAAR4_MOUSE","Trace amine-associated receptor 4 (TaR-4) (Trace amine receptor 4) (mTaar4) (2-phenylethylamine receptor)","TAAR4_MOUSE"
"OG_03312","brown",0.706975940677515,0.23252273888779,5.21935323006242e-19,0.0116427007136491,"Q26613",NA,NA,"OG_03312"
"OG_03495","brown",0.644343595018061,0.206451002074836,4.5738428232738e-15,0.0255325022621701,"A2BGR3",NA,NA,"OG_03495"
"OG_03714","brown",0.60237885671508,0.121251740288051,6.72941831164273e-13,0.192825085154882,NA,NA,NA,"OG_03714"
"OG_03821","brown",0.593606800651996,0.182782725696916,1.74545246543078e-12,0.0485501938191429,"P09482","ACHA4_CHICK","Neuronal acetylcholine receptor subunit alpha-4","ACHA4_CHICK"
"OG_03889","brown",0.618851731345378,0.335680179061956,1.03652234117603e-13,0.000215679025446026,"Q7KZ85","SPT6H_HUMAN","Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)","SPT6H_HUMAN"
"OG_03899","brown",0.600539653244407,0.184205877504499,8.23776969671625e-13,0.0467955337326581,"Q9EP89","LACTB_MOUSE","Serine beta-lactamase-like protein LACTB, mitochondrial (EC 3.4.-.-)","LACTB_MOUSE"
"OG_04080","brown",0.637260312702035,0.186174017600935,1.12084432505517e-14,0.0444559958224343,NA,NA,NA,"OG_04080"
"OG_04243","brown",0.64390601657574,0.066762992585908,4.83752998426122e-15,0.474487196472328,"Q5RD44","B3A2_PONAB","Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Solute carrier family 4 member 2)","B3A2_PONAB"
"OG_04309","brown",0.624699119951298,0.273424983103952,5.19547686959266e-14,0.00285580163376976,"Q6AXJ9",NA,NA,"OG_04309"
"OG_04487","brown",0.63317262014777,0.0227074403446135,1.86053281709183e-14,0.80799553259946,"A0JPF9","ISPD_DANRE","D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein)","ISPD_DANRE"
"OG_04504","brown",0.683641414275885,0.0702362675448718,2.00154509865901e-17,0.451753724483735,"P07228",NA,NA,"OG_04504"
"OG_04513","brown",0.637454736685563,0.143047007911627,1.09394395664946e-14,0.123901669372896,"Q8WVP7","LMBR1_HUMAN","Limb region 1 protein homolog (Differentiation-related gene 14 protein)","LMBR1_HUMAN"
"OG_04654","brown",0.667622092832207,0.157480728117594,2.02338117183691e-16,0.0899382085672928,"P63080","GBRB3_MOUSE","Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3)","GBRB3_MOUSE"
"OG_04686","brown",0.69490008431529,0.107211363547447,3.59783279509763e-18,0.249922817797974,"Q32L53","LFG1_BOVIN","Protein lifeguard 1 (Glutamate [NMDA] receptor-associated protein 1) (NMDA receptor glutamate-binding subunit)","LFG1_BOVIN"
"OG_04723","brown",0.739432962774675,0.126001866453456,1.72796612546256e-21,0.175836180694823,"Q9BE31",NA,NA,"OG_04723"
"OG_04729","brown",0.725657752721519,0.219943439293904,2.15457570383078e-20,0.0171832007487144,"Q91559",NA,NA,"OG_04729"
"OG_04917","brown",0.703863694864048,0.0958890211136975,8.66421754279089e-19,0.30374555396177,"A9ULG4","AUP1_XENTR","Lipid droplet-regulating VLDL assembly factor AUP1 (Ancient ubiquitous protein 1)","AUP1_XENTR"
"OG_04927","brown",0.657090253247897,0.189363142807752,8.58043626658076e-16,0.0408722371477596,"Q3B7T1","EDRF1_HUMAN","Erythroid differentiation-related factor 1","EDRF1_HUMAN"
"OG_04941","brown",0.666265608241877,0.206939797088331,2.44520068042614e-16,0.0251784236091072,NA,NA,NA,"OG_04941"
"OG_05081","brown",0.629626836676976,0.308158736783426,2.87027679693318e-14,0.000724577447166154,"Q13332",NA,NA,"OG_05081"
"OG_05113","brown",0.689591105546849,0.184045401204886,8.1603532299717e-18,0.046990718714882,"Q14582",NA,NA,"OG_05113"
"OG_05158","brown",0.641656650564344,0.334003495868048,6.44373057967052e-15,0.000232974109916969,"Q708S6","ASI1C_DANRE","Acid-sensing ion channel 1C (ASIC1-C) (Acid-sensing ion channel 1.3-C) (Amiloride-sensitive cation channel 2-C, neuronal-C) (ZASIC1.3)","ASI1C_DANRE"
"OG_05176","brown",0.588492350104195,0.233619582460727,3.00284269555741e-12,0.0112436804976506,"Q8WZ42","TITIN_HUMAN","Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)","TITIN_HUMAN"
"OG_05274","brown",0.831376944943764,0.0883216887477012,4.04250799910359e-31,0.343669294905021,"Q3V2Q8","N42L1_MOUSE","NEDD4-binding protein 2-like 1","N42L1_MOUSE"
"OG_05304","brown",0.614506590670676,0.232889213670601,1.71579582159261e-13,0.0115080232461716,"Q9HBW9","AGRL4_HUMAN","Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)","AGRL4_HUMAN"
"OG_05499","brown",0.615501217396807,0.241384398612449,1.52988234620735e-13,0.00874596563005465,"Q9Y673","ALG5_HUMAN","Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5 homolog)","ALG5_HUMAN"
"OG_05528","brown",0.657321442645984,0.271424174309438,8.31772057565706e-16,0.00307479915193585,"Q5BK09",NA,NA,"OG_05528"
"OG_05587","brown",0.688276296748814,0.121239753691898,9.96827474508972e-18,0.192869409956291,"A1L1R5",NA,NA,"OG_05587"
"OG_05606","brown",0.677869304828692,0.182718871726853,4.68464169264628e-17,0.0486301829449751,"O70475",NA,NA,"OG_05606"
"OG_05644","brown",0.597744860758903,0.176033488443138,1.11739907802867e-12,0.0576298351325713,"Q5PQN7",NA,NA,"OG_05644"
"OG_05705","brown",0.726584972596056,0.164402871840464,1.82682012606109e-20,0.07651597178561,"Q2TA03","UB2J2_BOVIN","Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2)","UB2J2_BOVIN"
"OG_05737","brown",0.690681724459624,0.116941156137802,6.90664372225734e-18,0.209245009125524,"Q9UPW0","FOXJ3_HUMAN","Forkhead box protein J3","FOXJ3_HUMAN"
"OG_05786","brown",0.675130268957955,0.106277150215372,6.96640814473689e-17,0.254097238930086,"Q6PFM4",NA,NA,"OG_05786"
"OG_05815","brown",0.647807406607804,0.108692425655648,2.92544692742953e-15,0.243402208228798,"Q9TUI4",NA,NA,"OG_05815"
"OG_06001","brown",0.596353086016164,0.240960450039832,1.29916786506831e-12,0.0088685007063682,"O57683",NA,NA,"OG_06001"
"OG_06048","brown",0.587715151019911,0.146872767664207,3.25820402489573e-12,0.114061743381959,"Q6DEJ5",NA,NA,"OG_06048"
"OG_06064","brown",0.670392990244912,0.047282720814914,1.37009160510939e-16,0.612693126194314,"P34275",NA,NA,"OG_06064"
"OG_06069","brown",0.661897750001938,0.0801851611765302,4.46917972201129e-16,0.390115559458956,"A2VD33",NA,NA,"OG_06069"
"OG_06111","brown",0.614327138685429,0.267038825830272,1.75159352105726e-13,0.00360849227127501,NA,NA,NA,"OG_06111"
"OG_06283","brown",0.677141199855611,0.133903633315451,5.20795860111136e-17,0.150057352588017,"Q17LW0",NA,NA,"OG_06283"
"OG_06329","brown",0.629660267632458,0.239243115124933,2.85864218146607e-14,0.00938048628617197,"Q28FE4",NA,NA,"OG_06329"
