FUN_000236-T1	XP_022780303.1	6.14e-24	102
FUN_000857-T1	XP_022795459.1	1.39e-159	447
FUN_000867-T1	XP_022780694.1	1.60e-34	125
FUN_001009-T1	XP_022789591.1	7.04e-107	338
FUN_001088-T1	XP_022783044.1	3.90e-35	130
FUN_001089-T1	XP_022783044.1	2.17e-23	93.2
FUN_001101-T1	XP_022783044.1	1.22e-31	118
FUN_001107-T1	XP_022795459.1	9.45e-59	190
FUN_001118-T1	XP_022801359.1	1.33e-35	124
FUN_001185-T1	XP_022798902.1	0.0	870
FUN_001225-T1	XP_022789591.1	1.01e-78	259
FUN_001338-T1	XP_022794736.1	2.99e-40	157
FUN_001392-T1	XP_022783044.1	4.15e-35	125
FUN_001402-T1	XP_022792212.1	1.39e-26	95.9
FUN_001497-T1	XP_022808082.1	0.0	855
FUN_001507-T1	XP_022783430.1	5.01e-145	485
FUN_001631-T1	XP_022806928.1	3.49e-25	104
FUN_001855-T1	XP_022808045.1	3.88e-34	123
FUN_001887-T1	XP_022780694.1	1.22e-61	197
FUN_002810-T1	XP_022798258.1	0.0	932
FUN_004006-T1	XP_022792212.1	8.17e-22	83.2
FUN_004093-T1	XP_022780694.1	2.08e-47	156
FUN_004094-T1	XP_022779720.1	0.0	1802
FUN_004455-T1	XP_022780694.1	1.40e-44	158
FUN_004661-T1	XP_022780694.1	6.67e-38	137
FUN_004684-T1	XP_022810585.1	7.43e-46	175
FUN_004740-T1	XP_022792212.1	2.17e-29	103
FUN_004766-T1	XP_022788977.1	5.71e-95	319
FUN_004816-T1	XP_022799541.1	0.0	3272
FUN_004905-T1	XP_022810585.1	9.27e-22	97.4
FUN_005057-T1	XP_022784107.1	2.63e-95	306
FUN_005175-T1	XP_022798258.1	4.44e-76	278
FUN_005182-T1	XP_022803808.1	1.64e-22	97.8
FUN_005265-T1	XP_022785805.1	2.77e-29	108
FUN_005267-T1	XP_022785805.1	4.98e-35	124
FUN_005352-T1	XP_022803851.1	4.76e-50	189
FUN_005720-T1	XP_022789591.1	2.28e-124	383
FUN_005908-T1	XP_022785723.1	0.0	1947
FUN_006038-T1	XP_022800339.1	0.0	927
FUN_006162-T1	XP_022795871.1	4.03e-153	437
FUN_006165-T1	XP_022798258.1	0.0	1204
FUN_006563-T1	XP_022790556.1	5.05e-69	241
FUN_006613-T2	XP_022800320.1	0.0	1102
FUN_006652-T1	XP_022798258.1	0.0	2523
FUN_006656-T1	XP_022798258.1	1.18e-74	264
FUN_006744-T1	XP_022784808.1	0.0	795
FUN_007013-T1	XP_022803207.1	3.26e-31	124
FUN_007019-T1	XP_022789591.1	3.95e-105	334
FUN_007073-T1	XP_022803207.1	7.54e-32	128
FUN_007075-T1	XP_022789591.1	3.69e-116	363
FUN_007094-T1	XP_022810585.1	1.53e-21	89.4
FUN_007101-T2	XP_022810585.1	1.33e-35	141
FUN_007154-T1	XP_022803207.1	1.16e-24	104
FUN_008088-T1	XP_022803207.1	0.0	727
FUN_008110-T1	XP_022803207.1	1.36e-34	138
FUN_008111-T1	XP_022803207.1	0.0	986
FUN_008185-T1	XP_022803207.1	1.66e-27	112
FUN_008285-T1	XP_022804012.1	6.71e-24	100
FUN_008314-T1	XP_022794351.1	1.76e-65	196
FUN_008328-T1	XP_022803207.1	0.0	896
FUN_008381-T1	XP_022808576.1	1.09e-31	120
FUN_008418-T1	XP_022795459.1	1.59e-115	335
FUN_008453-T1	XP_022783430.1	4.00e-65	214
FUN_008456-T1	XP_022782704.1	3.15e-55	207
FUN_008469-T2	XP_022782703.1	4.41e-58	216
FUN_008499-T1	XP_022798902.1	3.93e-49	185
FUN_008525-T2	XP_022783430.1	2.14e-28	119
FUN_008537-T1	XP_022806928.1	0.0	1347
FUN_008540-T1	XP_022783430.1	1.75e-70	257
FUN_008544-T1	XP_022804785.1	1.53e-53	172
FUN_008614-T1	XP_022795459.1	2.62e-63	211
FUN_008615-T1	XP_022784808.1	2.00e-116	410
FUN_008707-T1	XP_022803851.1	0.0	2573
FUN_008907-T1	XP_022806326.1	1.19e-54	178
FUN_008908-T1	XP_022806326.1	5.47e-156	440
FUN_008961-T1	XP_022797264.1	2.34e-172	592
FUN_009228-T2	XP_022803808.1	3.99e-25	106
FUN_009459-T2	XP_022803808.1	1.37e-26	109
FUN_010620-T1	XP_022804608.1	1.50e-24	105
FUN_010760-T1	XP_022803524.1	5.99e-113	352
FUN_010885-T1	XP_022803207.1	1.43e-32	127
FUN_010950-T1	XP_022782704.1	4.56e-58	217
FUN_012011-T3	XP_022810585.1	2.93e-23	96.7
FUN_012040-T1	XP_022807807.1	3.51e-27	113
FUN_012126-T1	XP_022783430.1	8.53e-29	117
FUN_013135-T1	XP_022780694.1	4.85e-55	175
FUN_013137-T1	XP_022780694.1	7.42e-48	160
FUN_013138-T1	XP_022788730.1	1.89e-77	233
FUN_013139-T1	XP_022783952.1	4.40e-36	126
FUN_013329-T1	XP_022789591.1	1.53e-134	411
FUN_013330-T1	XP_022789591.1	1.98e-125	387
FUN_013350-T1	XP_022808089.1	1.37e-33	128
FUN_013365-T1	XP_022789591.1	2.27e-141	429
FUN_013421-T1	XP_022789591.1	0.0	867
FUN_014485-T1	XP_022785805.1	4.72e-164	456
FUN_014525-T1	XP_022785723.1	3.99e-90	306
FUN_014586-T1	XP_022783430.1	2.58e-37	147
FUN_014816-T1	XP_022794736.1	3.13e-154	498
FUN_014844-T1	XP_022798902.1	9.07e-60	220
FUN_014916-T1	XP_022801359.1	5.00e-39	140
FUN_014924-T1	XP_022806928.1	1.20e-28	118
FUN_015110-T1	XP_022803207.1	2.26e-33	135
FUN_015341-T1	XP_022803524.1	6.45e-86	272
FUN_015349-T1	XP_022803524.1	1.88e-107	328
FUN_015350-T1	XP_022803524.1	0.0	739
FUN_016491-T1	XP_022789932.1	1.38e-24	94.4
FUN_016646-T1	XP_022795459.1	8.37e-94	299
FUN_016791-T1	XP_022790556.1	1.20e-52	190
FUN_017759-T1	XP_022780694.1	1.88e-46	164
FUN_017765-T1	XP_022788270.1	0.0	1765
FUN_017773-T1	XP_022788307.1	0.0	1470
FUN_017932-T1	XP_022777933.1	2.24e-86	262
FUN_017939-T1	XP_022789932.1	0.0	746
FUN_018031-T1	XP_022779335.1	4.39e-21	90.5
FUN_018864-T3	XP_022798902.1	4.90e-144	476
FUN_019433-T2	XP_022803207.1	1.13e-24	102
FUN_022047-T1	XP_022803207.1	1.86e-125	437
FUN_022048-T1	XP_022782704.1	3.06e-72	265
FUN_022093-T1	XP_022806326.1	5.36e-43	149
FUN_022094-T1	XP_022806326.1	3.95e-35	129
FUN_022170-T1	XP_022804012.1	0.0	987
FUN_022199-T1	XP_022779335.1	7.77e-57	208
FUN_022386-T3	XP_022780694.1	2.10e-102	309
FUN_022486-T1	XP_022806928.1	3.89e-28	112
FUN_022495-T1	XP_022803207.1	6.84e-28	117
FUN_022586-T1	XP_022806928.1	8.97e-26	106
FUN_022642-T1	XP_022798258.1	1.68e-25	108
FUN_022703-T1	XP_022792212.1	1.69e-23	87.8
FUN_022718-T3	XP_022780694.1	5.20e-38	139
FUN_023162-T1	XP_022780694.1	3.03e-57	181
FUN_023324-T2	XP_022806326.1	1.09e-32	124
FUN_023383-T1	XP_022803524.1	1.39e-47	165
FUN_023597-T1	XP_022788730.1	1.48e-38	129
FUN_023641-T1	XP_022784623.1	0.0	1379
FUN_023697-T1	XP_022797021.1	7.43e-47	148
FUN_023974-T2	XP_022803207.1	5.16e-24	101
FUN_023976-T1	XP_022803207.1	3.41e-22	99.0
FUN_023982-T1	XP_022806928.1	2.01e-31	121
FUN_024155-T1	XP_022803207.1	5.83e-23	96.3
FUN_024160-T1	XP_022803207.1	9.63e-34	135
FUN_024557-T1	XP_022809269.1	0.0	976
FUN_024614-T1	XP_022788227.1	0.0	1704
FUN_024804-T1	XP_022786582.1	0.0	706
FUN_025338-T2	XP_022808163.1	1.86e-93	267
FUN_025441-T1	XP_022783430.1	1.31e-133	461
FUN_025598-T1	XP_022789591.1	2.62e-104	328
FUN_025607-T1	XP_022808089.1	1.54e-35	132
FUN_025610-T1	XP_022808089.1	1.65e-62	211
FUN_025681-T1	XP_022780694.1	9.12e-35	128
FUN_025826-T1	XP_022784808.1	0.0	2110
FUN_025935-T1	XP_022789591.1	1.85e-117	366
FUN_026023-T1	XP_022779335.1	1.81e-123	418
FUN_026024-T1	XP_022779335.1	3.06e-155	505
FUN_026200-T1	XP_022783430.1	0.0	702
FUN_026214-T1	XP_022806326.1	3.71e-31	120
