Coords	Name	MIRNA	1A10-fastp-adapters-polyG-31bp-merged_condensed	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A12-fastp-adapters-polyG-31bp-merged_condensed	1A1-fastp-adapters-polyG-31bp-merged_condensed	1A2-fastp-adapters-polyG-31bp-merged_condensed	1A8-fastp-adapters-polyG-31bp-merged_condensed	1A9-fastp-adapters-polyG-31bp-merged_condensed	1B10-fastp-adapters-polyG-31bp-merged_condensed	1B11-fastp-adapters-polyG-31bp-merged_condensed	1B12-fastp-adapters-polyG-31bp-merged_condensed	1B1-fastp-adapters-polyG-31bp-merged_condensed	1B2-fastp-adapters-polyG-31bp-merged_condensed	1B5-fastp-adapters-polyG-31bp-merged_condensed	1B9-fastp-adapters-polyG-31bp-merged_condensed	1C10-fastp-adapters-polyG-31bp-merged_condensed	1C4-fastp-adapters-polyG-31bp-merged_condensed	1D10-fastp-adapters-polyG-31bp-merged_condensed	1D3-fastp-adapters-polyG-31bp-merged_condensed	1D4-fastp-adapters-polyG-31bp-merged_condensed	1D6-fastp-adapters-polyG-31bp-merged_condensed	1D8-fastp-adapters-polyG-31bp-merged_condensed	1D9-fastp-adapters-polyG-31bp-merged_condensed	1E10-fastp-adapters-polyG-31bp-merged_condensed	1E11-fastp-adapters-polyG-31bp-merged_condensed	1E12-fastp-adapters-polyG-31bp-merged_condensed	1E1-fastp-adapters-polyG-31bp-merged_condensed	1E3-fastp-adapters-polyG-31bp-merged_condensed	1E5-fastp-adapters-polyG-31bp-merged_condensed	1E9-fastp-adapters-polyG-31bp-merged_condensed	1F11-fastp-adapters-polyG-31bp-merged_condensed	1F4-fastp-adapters-polyG-31bp-merged_condensed	1F8-fastp-adapters-polyG-31bp-merged_condensed	1G5-fastp-adapters-polyG-31bp-merged_condensed	1H12-fastp-adapters-polyG-31bp-merged_condensed	1H7-fastp-adapters-polyG-31bp-merged_condensed	1H8-fastp-adapters-polyG-31bp-merged_condensed	2B2-fastp-adapters-polyG-31bp-merged_condensed	2B3-fastp-adapters-polyG-31bp-merged_condensed	2C1-fastp-adapters-polyG-31bp-merged_condensed	2C2-fastp-adapters-polyG-31bp-merged_condensed	2D2-fastp-adapters-polyG-31bp-merged_condensed	2E2-fastp-adapters-polyG-31bp-merged_condensed	2F1-fastp-adapters-polyG-31bp-merged_condensed	2G1-fastp-adapters-polyG-31bp-merged_condensed
ntLink_7:3056-3471	Cluster_1	N	6	0	19	39	6	6	9	16	0	0	15	31	10	3	1	2	30	36	51	8	26	3	0	0	0	1	33	3	12	17	30	2	4	7	4	6	7	30	1	36	7	0	5	46
ntLink_7:9758-10311	Cluster_2	N	12	0	47	150	21	13	93	58	0	0	36	109	13	9	27	9	63	290	141	13	315	6	1	0	0	7	107	6	62	36	105	8	63	11	7	2	13	32	24	156	55	4	5	400
ntLink_7:22564-22979	Cluster_3	N	16	0	19	48	5	6	5	9	1	0	14	30	6	6	3	8	26	44	46	9	27	4	0	0	0	3	45	1	11	5	30	1	3	8	10	8	13	27	3	25	22	3	3	36
ntLink_7:29267-29820	Cluster_4	N	10	0	32	157	28	10	105	68	0	0	34	83	11	9	38	12	54	392	131	23	202	6	0	0	0	10	112	2	72	69	117	18	64	11	8	8	11	37	26	77	85	4	7	408
ntLink_7:42050-42468	Cluster_5	N	18	0	19	20	6	5	6	14	0	0	8	31	11	0	5	0	33	121	35	7	12	7	0	0	0	0	44	0	8	13	42	1	0	6	3	4	24	6	0	61	21	5	5	48
ntLink_7:43122-43555	Cluster_6	N	0	0	45	53	12	40	1	31	0	0	44	99	8	2	68	47	3	271	98	2	46	11	0	0	0	4	1	0	51	2	58	1	29	4	16	52	1	293	1	262	24	2	0	4
ntLink_7:48749-49302	Cluster_7	N	14	0	36	132	27	15	99	72	0	0	41	82	10	7	31	16	51	295	145	17	331	5	0	0	0	8	62	7	64	83	122	13	91	8	5	2	12	40	38	116	82	6	9	411
ntLink_7:61554-61972	Cluster_8	N	15	0	24	45	4	8	3	10	0	0	12	26	12	3	4	4	33	108	32	7	11	4	0	0	0	1	42	0	12	7	41	2	5	7	4	8	24	10	1	40	34	1	4	31
ntLink_7:68251-68803	Cluster_9	N	20	0	263	166	22	11	24	36	0	0	62	75	7	5	22	21	39	232	324	18	335	2	0	0	0	7	108	6	34	103	351	11	49	7	3	8	26	47	15	239	74	3	7	221
ntLink_7:81064-81482	Cluster_10	N	16	0	35	42	6	8	1	9	0	0	10	32	15	7	6	2	31	70	30	7	25	7	0	0	0	3	42	0	9	4	37	2	5	7	4	6	25	9	0	39	28	3	8	31
ntLink_7:87769-88322	Cluster_11	N	14	0	213	99	12	8	74	70	0	0	54	71	11	10	32	28	41	195	146	23	412	2	0	0	0	8	99	6	59	116	312	17	75	2	3	9	14	49	25	95	69	0	8	294
ntLink_7:100578-100995	Cluster_12	N	11	0	23	36	6	8	8	16	0	0	14	29	10	3	2	7	31	46	59	8	29	3	0	0	0	1	24	2	11	15	30	0	2	5	5	10	8	25	2	33	7	1	7	55
ntLink_7:107282-107835	Cluster_13	N	12	0	41	146	24	8	99	58	0	0	41	79	7	6	29	15	55	363	151	27	225	5	0	0	0	7	110	2	54	71	267	12	63	10	4	8	13	40	23	117	88	3	8	419
ntLink_7:120080-120498	Cluster_14	N	16	0	15	21	3	4	10	17	0	0	9	16	10	1	2	0	42	127	38	9	14	4	0	0	0	0	47	2	12	15	40	3	0	2	2	4	24	18	1	56	24	2	7	45
ntLink_7:126781-127334	Cluster_15	N	14	0	214	55	22	13	70	36	0	0	57	74	13	4	33	25	24	225	234	18	303	4	0	0	0	12	64	5	38	134	271	15	77	2	5	9	9	50	28	134	64	3	7	65
